"Gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"SLC35D3",6638.86904433751,0.00683241060423314,0.0514541100580578,0.669894085455493,0.923280184766225
"IL20RA",2888.31450597607,0.0118269368071343,0.0562355914315268,0.427879440784933,0.838806547162295
"IL22RA2",17.7548541418944,-0.410860755046747,0.504698297883379,0.00047343876613516,0.0720459826058459
"IFNGR1",2016.04738377958,-0.0128815992365965,0.0510147651410048,0.458696981969739,0.850840445143887
"LOC106887325",697.45056058741,0.0176765577958112,0.0510175497024852,0.334851845081538,0.788528424154629
"LOC106888514",34.1813049293863,0.0219353762108829,0.0722986773974907,0.169427356012396,0.663617396583348
"LOC106889615",249.05382674656,0.00503595186190696,0.0559339822541981,0.708532425551956,0.932613411998005
"ENTPD4",1173.3374893901,-0.00348097814887085,0.0421995006504016,0.884709270660966,0.972288018008779
"LOXL2",744.331963530102,-0.0602655323195159,0.15394955962804,0.0266112102504403,0.386052964269783
"R3HCC1",2070.68862312215,0.0210704348754819,0.0449506439653293,0.351725757911163,0.801425238197534
"LOC106893840",5.74596804817863,-0.0116187391980038,0.0955745617678456,0.314452992558864,0.773432743905396
"CHMP7",2953.36295373054,-0.0036520630202371,0.0432656329010894,0.875725817584854,0.971629356424874
"LOC106894569",23.7168227357024,0.00200316518633937,0.0798909352263084,0.84653667180049,0.966119290650828
"LOC106890301",818.158501792716,0.00961146504196286,0.0620169108757565,0.466952085901774,0.851633098381865
"RHOBTB2",1081.12068091821,0.0116598263520809,0.060560837072382,0.403953681189307,0.829588052902866
"PEBP4",176.562186374319,0.0173755799505489,0.0893658705059701,0.215656227423178,0.707447125289408
"EGR3",314.584598928768,0.00657362060709608,0.0781325449630515,0.559864068534652,0.885386444810851
"BIN3",934.514740393399,-0.031240950061053,0.0484667929420767,0.152257323788906,0.645472144120679
"PDLIM2",107.356518945826,0.017411994748619,0.0767369831924852,0.227654389028882,0.714723675711748
"RFC5",519.310739890648,-0.0011976524951522,0.0473871881478848,0.951288945453088,0.989899495546264
"WSB2",1144.841269177,-0.0200130154398409,0.0473091565677121,0.339251745526462,0.792129115669608
"LOC106902700",8.98313105300026,-0.304954417958123,0.453950366727495,0.000923373455145273,0.0936768070081023
"DTX1",37.7627755294926,0.00208895694489603,0.0601928239495534,0.86269439397009,0.970246046189021
"EWSR1",2475.47882274291,-0.0141712587381617,0.0388448976965105,0.575327941848625,0.890953189567872
"GAS2L1",1741.96809751673,0.0296773659462702,0.0468123830811721,0.183405324472095,0.677972673796419
"AP1B1",5347.77032813845,-0.000717359439732023,0.0459303454627958,0.972904863202014,0.994383795194347
"LOC106884545",4.12244769295984,0.00282997549387104,0.105197081382341,0.585437381232386,0.893831597180156
"LOC106886774",74.41077700574,-0.00495683704281714,0.0518299808308436,0.749100699811099,0.94246880512864
"NEFH",1892.97447819727,0.0137207485109185,0.0619212902661551,0.339271278203999,0.792129115669608
"THOC5",2771.24710842614,0.0274139197251007,0.0440770938702615,0.243076070050865,0.725491721464765
"NF2",1786.97457206665,0.0094078795653968,0.039203532498006,0.70890520320886,0.932613411998005
"ZMAT5",722.188401509863,0.0281124616293682,0.050832113523432,0.16942515922265,0.663617396583348
"LOC106885327",4190.96495263298,0.0134848230048168,0.0489640791101837,0.476173739106932,0.854917566334108
"ASCC2",1871.76382879187,-0.0230494036508669,0.0416140257971038,0.346963561306537,0.797515812332162
"MTMR3",2951.08166756635,0.00252395478328199,0.0458602479307025,0.905234034874249,0.97820509981973
"LOC106887058",1458.47839034744,0.0309014011931447,0.043821855016243,0.194147492626471,0.68712098588574
"LOC106888081",4142.91737364109,-0.037003230990372,0.130821623404367,0.0627763208011519,0.506992055217165
"HORMAD2",42.3280139961307,0.0160733553871799,0.0802896222860066,0.247604266586798,0.728475858645607
"LIF",50.040135314815,-0.00512832879712928,0.0664662884578638,0.662496647051358,0.922275560887792
"LOC106886083",5.81271573189328,0.000759105752932889,0.0913603922493212,0.930704859163518,0.984131762767139
"LOC106885400",113.521669332147,-0.00115275596341176,0.0552525803630804,0.930884757360473,0.984131762767139
"LOC106884710",9.98896221441772,-0.00896521395032945,0.0748022681966562,0.457226382784321,0.850539400233199
"TBC1D10A",3274.87858215097,0.000166597110636886,0.0452618647625699,0.993889437857635,0.99886301487049
"SF3A1",7976.16170350556,-0.00129563738250896,0.0467465949901932,0.949090168138948,0.989237500847515
"CCDC157",421.35440378389,-0.0167107482106303,0.0503063208753369,0.367154721523576,0.811049403322983
"RNF215",1334.66832891116,0.00992729990341569,0.0403651255886221,0.68962922624553,0.929286775728777
