"Gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"SLC35D3",6638.86904433751,-0.00481734810422169,0.0336006114319231,0.52687735093136,0.93049471248324
"IL20RA",2888.31450597607,-0.00454454945852173,0.0352110810723685,0.508442298423015,0.927085887784732
"IL22RA2",17.7548541418944,-0.0811595420512337,0.255890677272948,0.00155663351826408,0.214985477921597
"IFNGR1",2016.04738377958,0.00342887452028942,0.0321940949300336,0.671980687766105,0.952651016693938
"LOC106887325",697.45056058741,0.000259803467762367,0.0313760182512469,0.975355950538386,0.998207982520876
"LOC106888514",34.1813049293863,-0.00222567284323648,0.0353462440868597,0.720361076282039,0.95864684487341
"LOC106889615",249.05382674656,0.00196806924871851,0.0352830640896455,0.750637894309765,0.964583947761123
"ENTPD4",1173.3374893901,0.000451213386464235,0.0275307063581742,0.969332462375124,0.997433197696253
"LOXL2",744.331963530102,0.00386877708627733,0.038323265722897,0.501364289039681,0.925860736652923
"R3HCC1",2070.68862312215,0.00829894639831536,0.0295858156741055,0.450459496208957,0.912968927079037
"LOC106893840",5.74596804817863,-0.00170451017948277,0.0449988820315435,0.641565521890363,0.949003828392876
"CHMP7",2953.36295373054,-0.00236985336942986,0.0281829251954009,0.834309632883343,0.977523250389467
"LOC106894569",23.7168227357024,0.00501621212830816,0.0530020808668593,0.223738563939508,0.838241594383158
"LOC106890301",818.158501792716,0.00367849881878694,0.0377009992637443,0.529530223992503,0.931669917837938
"RHOBTB2",1081.12068091821,0.00852846939274362,0.0421998466736927,0.212635176890681,0.833625062179306
"PEBP4",176.562186374319,0.000313268076766593,0.0395013732718507,0.946273729505163,0.994552308812066
"EGR3",314.584598928768,0.0284381166533351,0.142046855899666,0.00859760885527939,0.42054077838249
"BIN3",934.514740393399,0.0111353056029904,0.0314028715165589,0.289504708848806,0.86950707069249
"PDLIM2",107.356518945826,0.00586311215642638,0.0416361984300248,0.31510238061198,0.878792707623276
"RFC5",519.310739890648,-0.00150649692849108,0.0304763489282271,0.871039569553184,0.984240974665909
"WSB2",1144.841269177,0.00626067363239272,0.0304438556502441,0.529990365376113,0.931669917837938
"LOC106902700",8.98313105300026,-0.00639606191386779,0.0480691349368546,0.215541388599731,0.835040493829619
"DTX1",37.7627755294926,0.00882656426102079,0.0475878173016463,0.162171325582841,0.803919165349149
"EWSR1",2475.47882274291,0.00234487358954847,0.0257255687294731,0.85375197881261,0.980806219193712
"GAS2L1",1741.96809751673,0.0124220448844905,0.0312471961727806,0.255806233918124,0.851959839754568
"AP1B1",5347.77032813845,-0.0284213645673125,0.0453056415953799,0.0282848160632936,0.591234497708452
"LOC106884545",4.12244769295984,0.00245058341486172,0.0704885332879636,0.279539836074031,0.866589823819076
"LOC106886774",74.41077700574,-0.0152575057445032,0.0461022625507961,0.0888503583219803,0.734774618515102
"NEFH",1892.97447819727,0.00295136631635831,0.0357593142122131,0.635717806984917,0.94800497974064
"THOC5",2771.24710842614,-0.0127790364003263,0.0299427118847292,0.275350318539517,0.865627861549628
"NF2",1786.97457206665,-0.00401471826558215,0.0260352017084004,0.751280496344654,0.964583947761123
"ZMAT5",722.188401509863,-0.00201809750305024,0.0304869979990422,0.828342798080297,0.976865015679194
"LOC106885327",4190.96495263298,-0.00895790940444359,0.0328534350683301,0.329248615478847,0.885954386483939
"ASCC2",1871.76382879187,-0.00310755360726335,0.0271772988695287,0.796373630916166,0.971017474694263
"MTMR3",2951.08166756635,0.00579263900297114,0.0300354811056929,0.570217363537164,0.939346762717996
"LOC106887058",1458.47839034744,0.0142729439963167,0.0300501351828154,0.234077336010085,0.841702449478984
"LOC106888081",4142.91737364109,-0.00878874723662958,0.0523426078470024,0.131756558872961,0.780634567432968
"HORMAD2",42.3280139961307,0.00302732204727431,0.0397139978487672,0.556106218831618,0.935506803983757
"LIF",50.040135314815,0.0134523676713409,0.065098857003088,0.0549251092923993,0.674543402974649
"LOC106886083",5.81271573189328,0.00181087044670384,0.0512214529464989,0.545333784748363,0.93396007622958
"LOC106885400",113.521669332147,0.00531544024797032,0.0376145484219954,0.408438749509232,0.9038894275719
"LOC106884710",9.98896221441772,-0.00297633630464444,0.0417906946302294,0.523662195234719,0.930130410521915
"TBC1D10A",3274.87858215097,0.0141885002942672,0.0320679426265837,0.198264300138513,0.827485853672041
"SF3A1",7976.16170350556,-0.0133270734003405,0.0334224089512015,0.194524805247584,0.824185401970622
"CCDC157",421.35440378389,-0.00613837012982956,0.0321870703130414,0.482036810565849,0.921406579982753
"RNF215",1334.66832891116,-0.00860685976469929,0.0271936204115037,0.492235316148578,0.923455961230186
"SEC14L2",970.153598778773,-0.00227060931146287,0.0397489402561076,0.643741633306784,0.949003828392876
"MTFP1",283.90779379459,-0.0246702365807353,0.0546856486162532,0.0328604082899414,0.607033463488706
"GAL3ST1",304.481268535837,0.0153473063114869,0.0431300721584934,0.0969655496232817,0.74556320746598
"PES1",3982.48785638116,0.00552349070852803,0.0289620347570301,0.616018176925639,0.945341312917528
"TCN2",1445.35777542316,-0.00125295247662015,0.0347824394488047,0.84220825937794,0.979363100630187
"SLC35E4",479.777765023613,0.00951627805605408,0.0367010169343241,0.242427015925416,0.8461737767278
"LOC106885768",153.399692655204,-0.00718187394636255,0.042330497328327,0.252303375740675,0.851959839754568
"IQCD",50.0206581152184,0.004904642410704,0.0560675775528958,0.208699835899407,0.831107778775563
"OSBP2",392.915307424908,0.00876615056307842,0.0316718667152454,0.367753311432343,0.893180637307263
"LOC106886039",140.478465987524,0.00240427115235953,0.055724107595246,0.408852206350469,0.9038894275719
"RTN4R",1218.81591660101,0.00195951378353033,0.0380831387487544,0.710174185153367,0.95864684487341
"LOC106887820",2070.75335806484,0.0445663078392982,0.0960149130549169,0.0079295588531849,0.416705597581414
"SCARF2",2316.2605297272,0.01169547234192,0.0386383341440215,0.170683101579329,0.808913170661689
"DGCR6L",4154.70175516509,0.000577064155094135,0.0300775570363984,0.952147405246512,0.995711630799885
"SLC7A4",3056.42522973381,-0.0172578139124709,0.0349678104973274,0.116784161344917,0.76816634179959
"LRRC74B",38.1198643990644,0.000198944283356047,0.0387624347424012,0.967283309137153,0.997247774637523
"P2RX6",956.120752173161,-0.00140801772240628,0.0329419788949716,0.846743762396675,0.979694172004669
"LOC106887664",305.836790434163,0.00206854124302627,0.0543271098015476,0.470820865584894,0.918764698595258
"AIFM3",741.405830565502,0.00128107764717803,0.0521666448478042,0.643578721647062,0.949003828392876
"LOC106888560",1587.60865225504,0.00156453499868078,0.0316750763948766,0.849122250866042,0.979694172004669
"LOC106889924",12235.6944889807,-0.0022567730585137,0.0331158260141255,0.756929201441049,0.965342685932856
"GLE1",709.233195707809,-0.0200031779802305,0.0318747880829177,0.112557631434728,0.764099410421212
