"Gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"IL20RA",75.5267249660976,0.00292769958724706,0.0902221808621452,0.891169479205309,0.970094699792162
"IL22RA2",5.88020612722696,0.0420772811716654,0.122219273659205,0.035106201904715,0.573653563298644
"IFNGR1",326.684469785696,-0.0220090305915392,0.0829299643339839,0.530074235720094,0.829914287666208
"LOC106887325",607.683880129066,-0.0252480566591811,0.0893764864038323,0.333109148870643,0.737422090617498
"LOC106888020",81.687043596516,0.0142252244548854,0.0917045624610606,0.479343140256046,0.807128927538395
"LOC106888514",80.1523363486386,0.0327610599020378,0.0807413888502567,0.388201754862713,0.767465105876302
"LOC106889615",243.414995547944,0.0255924365713213,0.0811146097252742,0.491613248612354,0.811431931107531
"LOC106888963",12.0888844827033,-0.0045842295489928,0.0935019877775265,0.761771643111031,0.924773296152156
"ENTPD4",4764.93031507299,0.070999497461773,0.101620774792142,0.0224850940296982,0.526216905419821
"LOXL2",259.820282026138,-0.00588398254709116,0.0805321102153354,0.874235195929653,0.963647125983312
"R3HCC1",932.116765436289,0.0133881113137948,0.0844195101981426,0.681986340713577,0.890944938868297
"LOC106893840",3.19357376903473,0.00249681285811353,0.0952088141627486,0.841616484790829,0.953283747789093
"CHMP7",5121.49719550965,0.068936400810592,0.0897435855919727,0.0480956168747787,0.589908318048881
"LOC106894569",3.52740797256519,-0.00454373983730429,0.0979068216205802,0.664551838645581,0.883694022273288
"LOC106890301",115.158601056206,0.00980843994707027,0.0853587250502637,0.752630481613725,0.921338538677501
"RHOBTB2",339.779343762298,-0.0376761617481705,0.0810103340296935,0.322010796165416,0.731068960714822
"PEBP4",335.054625609089,-0.000634094887678556,0.0862301162381345,0.982836135344056,0.99578897989343
"EGR3",213.322515405104,-0.0154688660718499,0.0900203332906416,0.50578174657116,0.817640608558553
"BIN3",558.368477586738,0.0267591594186023,0.0842791406957832,0.427360116069771,0.78829303455205
"PDLIM2",4.67712218316791,0.00170523272489227,0.0951088803766071,0.891667254277443,0.970283370643973
"RFC5",455.681177395493,0.00720799102033658,0.0848403296825288,0.820883774691101,0.945193386950904
"WSB2",747.279409421626,0.0449236616287295,0.0890506988998821,0.14036561608383,0.648431795573071
"LOC106902700",558.428757556937,-0.0177796131854049,0.090274916351018,0.443875062589212,0.795439096569035
"DTX1",16.0885389950449,-0.00330685236630636,0.0893746819822636,0.887067117551619,0.96851416688404
"EWSR1",3612.61337157061,-0.0198885351183108,0.0887989599973884,0.446123977853934,0.795517113213251
"GAS2L1",627.028026411842,0.0178105852832378,0.0816752947091262,0.623443721150822,0.871641381058516
"AP1B1",1686.94108393016,-0.0401376414511413,0.0902346752536012,0.155329312721275,0.654219355303197
"LOC106886774",20.3323982465955,-0.0238094725604557,0.0967780338477326,0.19579705611882,0.674306437186166
"NEFH",542.782887474302,0.0302511581523986,0.0875906779472023,0.306001226637242,0.723232430489461
"THOC5",3730.57789322166,-0.00115878935236004,0.0755605472506505,0.977500780083179,0.995115383891942
"NF2",1363.13910385984,-0.0442949968915229,0.0805232176344432,0.255188768190925,0.70076290359313
"CABP7",4.14204270112904,-0.0181541581025521,0.123719164120604,0.0901008549985993,0.632730623455313
"ZMAT5",1690.95163601773,0.0454631179401509,0.0890655079022805,0.136905319024583,0.64742819262375
"LOC106885327",6445.73307730651,0.0238657293968992,0.0883505751395478,0.384478969884231,0.765164791723724
"ASCC2",1776.73559543162,-0.000501437647069608,0.0697663099387035,0.990810391882282,0.998501185722415
"MTMR3",1006.30685635427,-0.028264677320161,0.0866516834107289,0.356037828981577,0.749127706314931
"LOC106887058",620.075970380417,0.0264070089339019,0.0824612450278385,0.461380620598274,0.800612440247029
"LOC106888081",1426.29735987376,0.0878002059651597,0.0871065270358172,0.0265808665874338,0.55177050415748
"HORMAD2",4008.55479682957,0.0788306185796467,0.0813918626075855,0.0571115752176357,0.597492218663842
"LIF",10.0641364130373,0.0154170955559003,0.0937235082357623,0.385992853846765,0.766083256514507
"LOC106885400",32.3570647550845,0.0318342862516064,0.0961295996726966,0.138829739588576,0.6474825897631
"TBC1D10A",2116.00183926125,0.108719354764118,0.0889559839327832,0.00971094023024154,0.481494745498077
"SF3A1",3353.64094278631,-0.0326469372076681,0.0879841664894656,0.266631834171337,0.705960567046894
"CCDC157",8290.25143355551,-0.00042129395988221,0.081783471432332,0.990609373948241,0.998501185722415
"RNF215",165.699207865273,-0.0128632800085921,0.0870907007958514,0.650366790363533,0.880495768663106
"SEC14L2",207.073645953332,0.0206808128631681,0.0878354031799389,0.457670761163463,0.799015433870623
"MTFP1",1686.7929096091,0.0541351279137097,0.0882054699483653,0.101681197662638,0.635937543834784
"LOC106884822",4.33013968392261,0.042982729724826,0.164295907036376,0.0173955186578098,0.498078755047453
