"Gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"HSD17B2",1044.17897011417,10.4045658229381,0.723401735079567,1.69892017735962e-47,1.74428134609512e-43
"LOC106896715",1440.11204870473,3.12148152442687,0.348502611421044,2.50101821671095e-21,1.28389770154857e-17
"LOC106895075",997.294727462197,3.12058869632444,0.365766986077536,1.04178050504124e-19,3.56532014841947e-16
"LOC106889031",360.877382507018,-1.9884780166659,0.240664684123775,3.09177883550757e-19,7.93582332603907e-16
"RPL38",11807.0624165132,2.85681354287553,0.363538706318234,4.57677230825999e-17,9.39794425778107e-14
"LOC106899555",3493.03662961262,-1.49481047409313,0.212823259632613,8.40508207727843e-15,1.43824962812363e-11
"PLCG2",3016.29964661409,1.66240800963603,0.261030499420475,3.73253185280586e-13,5.47455779039397e-10
"NR2C2AP",291.79510826502,2.2395479288388,0.370232391631276,5.66939961891173e-12,7.27596573592084e-09
"LOC106887527",246.378496570607,-1.56901679789427,0.320701422604394,3.44949876389024e-09,3.9351115343179e-06
"STEAP4",163.507158186371,-2.23000270843607,0.482717691845026,1.00262400731257e-08,1.02939406830781e-05
"FABP5",26.5760166228632,3.08807014989208,0.692488337206713,1.44338639317539e-08,1.34720437261197e-05
"LOC106898681",115.471381635195,-2.14976569283103,0.508950847082001,5.17143028603137e-08,4.42458956222367e-05
"TRAK1",595.33925165935,2.45376373029463,0.588939522844989,6.8976085219406e-08,5.44751897652032e-05
"CRISPLD2",98.9051394496935,-2.03682961235403,0.503878238952618,1.04138085573865e-07,7.12790483057912e-05
"LOC106898255",67.2512226169301,1.97107702886967,0.486744784807836,1.01515580348496e-07,7.12790483057912e-05
"SPATA2L",201.570536850913,1.43172432675078,0.340630459542991,1.56646201143862e-07,0.000100517909196502
"TPP2",768.205283395304,-1.05590719799198,0.229386197306901,1.95505675034374e-07,0.000118073927386936
"LOC106894049",1365.42073837468,-1.27503826808615,0.301477302260976,3.01465542262027e-07,0.000171952595689124
"MAN2A1",698.174258008012,-1.05281321245978,0.241928053928431,5.10395874434442e-07,0.000275801812779917
"SRXN1",2474.25339503478,1.21676715762772,0.294121300942649,5.58696445734014e-07,0.000286806820417556
"LOC106897900",446.507939506301,5.78854904839196,2.33740346683456,7.17123174335342e-07,0.000350604934804807
"VAT1L",94.6782250500625,-1.88537104918318,0.561618323582487,1.17635252533625e-06,0.000528986366115328
"PPOX",1465.73888155488,0.952020303209171,0.228404475951301,1.18502838420693e-06,0.000528986366115328
"BCL2L1",23337.2609975005,0.965493456600847,0.234110056988563,1.34073515688165e-06,0.000573555327320997
"LOC106887886",8387.65471436216,8.30557805021859,5.12214157344707,1.77457354754734e-06,0.00072878186450674
"RRM2",57.7308542829373,2.60040558431272,0.906981597596264,1.88112827125099e-06,0.000742828613882074
"CDH17",799.863816482089,-1.04277676505639,0.264597294387836,2.00374880488101e-06,0.000761944036285678
"SLC44A1",1267.73203219024,-0.856619132240093,0.219281714508686,2.69587500361959e-06,0.000954432712488358
"ETNK1",1235.39477605997,-1.20096819157997,0.328649675895594,2.68514104062666e-06,0.000954432712488358
"SLC39A3",834.70996586558,1.11186417037208,0.302338601140998,3.43763292366657e-06,0.00117647257424282
"LOC106899519",20.0345679830037,2.64036077973736,1.12967291211177,4.17978659282082e-06,0.00138431835317714
"LOC106896624",844.617870242813,1.575230179473,0.528675203359937,5.07326572490874e-06,0.00162772559992619
"BCL6",1112.02314870099,-1.04083502843728,0.292994532774144,5.81563446720756e-06,0.00173874512091201
"MGAT4D",257.325076064161,1.70683649395827,0.606333695558674,5.92734773857216e-06,0.00173874512091201
"THAP8",784.971549296129,1.12426661720109,0.324386825535956,5.69825558746928e-06,0.00173874512091201
"ZBED6",195.268932742676,-1.18413698818698,0.355830882266244,6.56134330877338e-06,0.0018712586597549
"SMAD7",122.732941504806,-1.32932518535899,0.426421934806248,6.76279566288249e-06,0.00187658440731931
"LOC106890512",108.529041546187,1.60630946154208,0.574152093774445,7.27627852274966e-06,0.0019659355682387
"LOC106896720",188.976403445202,-1.06711624067337,0.320595295683487,9.3184267323276e-06,0.00245313557078994
"NUP93",89.2985302863886,1.71156964085419,0.664766839029422,9.80614016284661e-06,0.00251699102629865
"LOC106897766",84.1955185789235,1.06778118599137,0.326747347289704,1.06804413924123e-05,0.00267453882380236
"MYOF",116.087089113854,-1.74404840695802,0.704116307028174,1.13121840965285e-05,0.00276529033616804
"TTC39C",229.542743762812,-0.920312335143012,0.276875176306593,1.24868081346015e-05,0.00291368316177167
"PHLPP1",212.255947817092,-0.903395132087666,0.270742035867455,1.22934957595325e-05,0.00291368316177167
"LRBA",242.157723416546,-1.43212686275908,0.531942437557373,1.3012290676288e-05,0.00296882640829886
"NAIP",830.439100739855,-1.08762527422754,0.351643548356941,1.48270911399282e-05,0.00330546560984803
"SEMA3C",14.9770382269138,-2.01742367249908,0.978499608319712,1.51316727050606e-05,0.00330546560984803
"SLC13A5",105.258488209491,-1.54063480757951,0.633376516666499,1.72948427382706e-05,0.00369929479987133
"HABP4",189.535426232069,-1.15009551836853,0.39872709188835,1.90053038583003e-05,0.00398219295332999
"LOC106899799",63.1834033337386,1.28384794955689,0.527796633554853,3.05333031076466e-05,0.00626970846012415
"LOC106891321",639.055856725893,0.999351215715064,0.356398504745634,3.32755440800127e-05,0.0066988237464606
"TMEM140",563.847736333256,1.22863225273291,0.504223898659115,3.50131707280374e-05,0.00678264573329736
"NNT",316.949049555622,-0.852273946917348,0.294009989647848,3.46347507492735e-05,0.00678264573329736
"MAPKAPK3",83.9521268291033,1.69762742673155,0.935611640539792,3.57609458838383e-05,0.0067992153960994
"CENPO",1418.13208383554,0.784604913653123,0.275612616827424,3.95966136032788e-05,0.00739160785208843
"ZHX1",588.925911042915,-0.831178948766802,0.294037672712685,4.10930517422996e-05,0.0075339707542534
"GNA12",299.018271211768,-1.10596601040858,0.440418278564559,4.3137846800003e-05,0.00777011005430931
"ARY2",63.5407954844835,1.37583112170982,0.680768325142095,4.89115142752401e-05,0.00865818132868777
"NOB1",1267.98146479913,0.775182534565349,0.282188288298856,4.97576861895574e-05,0.00865868074759638
"LOC106886672",34.6551913744828,-1.29940869520665,0.620290698782213,5.17724523256502e-05,0.00885912946712418
"LOC106888222",147.128815559618,0.945880305736661,0.360512980988814,5.29715156176626e-05,0.00891571394830397
"LOC106887165",53.1145912493384,1.18630348830815,0.541586381427593,5.91230564623644e-05,0.00898723532730858
"TRIM2",105.072534542456,1.18525609913476,0.530684700410653,5.53244831670852e-05,0.00898723532730858
"BST1",40.7403521135253,-1.30551031952115,0.644995181793586,5.70092922131251e-05,0.00898723532730858
"CDH11",16.2457988618163,1.67014597696032,1.46896058297645,5.75645506759874e-05,0.00898723532730858
"LOC106891209",11200.9124077037,0.932634598067966,0.361938306651162,5.95239117811419e-05,0.00898723532730858
"LOC106893047",1471.33308648539,0.758659932124891,0.282965821220947,5.77813975143791e-05,0.00898723532730858
"SNX22",38.5255036400482,1.35119266505179,0.688395844485732,5.64467835111508e-05,0.00898723532730858
"EMC2",734.241966120296,0.726227228663078,0.277103473259781,6.58770505623084e-05,0.00980231417569884
"LOC106885935",190.548509007834,1.00994699290811,0.424815632934842,7.06613785143516e-05,0.0102460783868979
"VPS13C",754.266736509348,-1.22660353880288,0.614064257092738,7.18532817626033e-05,0.0102460783868979
"LOC106898908",3704.65393132815,0.600945701240486,0.237225916499828,7.11895308230602e-05,0.0102460783868979
"DRD1",62.5556472721127,1.50949766152894,1.08588836725548,7.94958539673749e-05,0.0108824524357738
"LOC106894903",422.684606210472,-0.984363122402781,0.417720641364142,7.83353505080832e-05,0.0108824524357738
"LOC106900628",24.3632626672088,1.23102987046677,0.639243872845496,7.90416916873082e-05,0.0108824524357738
"TNN",70.0338284760777,1.00632517441033,0.442727979380754,8.50376120028424e-05,0.0114564696088933
"HARBI1",310.710224082795,0.691114978388089,0.276150209549914,8.59207324325298e-05,0.0114564696088933
"PROK2",18.9850610190041,-1.48262696294607,1.1695936305825,8.90350776093152e-05,0.0117195274591646
"MLKL",138.477014901667,-1.25241471178787,0.723953880917069,9.86042382840044e-05,0.0128148065121756
"SFI1",667.894111176479,-1.14220780168217,0.619607937357228,0.000111741568085091,0.0141845061656716
"PIK3R4",248.42421990175,-0.701497642162581,0.293097910919608,0.000111918344530103,0.0141845061656716
"HECTD1",37595.4820125479,-0.61616622071928,0.259957816217355,0.000113288156772677,0.0141845061656716
"MGAT5",229.529822318366,-0.899044428274464,0.401547742519311,0.000118623634402047,0.0146736006554918
"LOC106894044",329.33679707316,-1.04185696733807,0.530717897529345,0.000124678974833423,0.0152390361263661
"ZDHHC16",238.832234646973,0.706368208278424,0.304345092012306,0.000132335315236461,0.015798682343404
"GTF3C3",952.303115834784,1.00172427340849,0.499156178956935,0.000131164444237525,0.015798682343404
"UGT2B17",46.9003275535678,-0.990271047704168,0.495466505034937,0.000137230605913676,0.0160107571694967
"TSPO2",1304.16206922846,1.10421417748778,0.62263004087713,0.000136256863294836,0.0160107571694967
"ELOVL7",14.7592572330135,1.30453706073929,1.15127023117966,0.000139598528731722,0.0161040235335796
"TMEM201",1266.15388600728,-0.780184130271713,0.351158427453461,0.0001538392495258,0.0175496397209043
"VCAN",90.2524535923541,-0.995547590930405,0.529196852164475,0.000160459246951014,0.0181036822906161
"NCF1",159.418984473911,-0.88318765780351,0.425039912042877,0.00016257452885178,0.0181429639969698
"NAPEPLD",324.043672741717,-0.942920242009314,0.482189239722573,0.000167826852910101,0.0185277236433119
"NIN",30.6597948205621,-1.11670069832811,0.723292141784288,0.000174920376721913,0.01900841716404
"ARNTL2",276.266963690879,0.876174117150298,0.429180308428457,0.000175883863892452,0.01900841716404
"NPAT",71.5304220541473,-0.943756402156384,0.502392558393972,0.000187647777405824,0.0200685388606833
"LOC106900089",297.93791602254,0.865455269921437,0.435653708356742,0.000198038684924999,0.020961476063144
"CA5A",347.561938679622,-0.642726514343499,0.303228481597127,0.000215912112752478,0.0223916127437343
"LOC106893959",377.818170928425,0.798875708150267,0.393699583668128,0.000215545632026089,0.0223916127437343
"WDR4",1072.83772034644,0.572336675619144,0.271737839923506,0.000223390916980586,0.0229355454463968
"PRDX3",1882.18736916289,0.655736739820794,0.316910198619383,0.000242031679523967,0.0246033589472532
"COMMD7",182.792950192855,0.963121120472955,0.590598908849004,0.00024672770724007,0.0247952670440826
"PLXNC1",431.233713702891,-0.899716362998168,0.507330518609883,0.000248749635291761,0.0247952670440826
"TECPR1",402.64879365268,-0.772722539763079,0.391872426834683,0.000252975498149285,0.0249740330721029
"LOC106892696",49.6739585612552,-0.927561261950973,0.558640024743361,0.000265558259953877,0.0259665395709186
"LOC106889897",41.2013244893305,1.04125584798869,1.12135870956495,0.000269476911100481,0.0261011268515909
