"Gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"HSD17B2",44.0376302139729,5.84624225075877,0.397726668135463,8.90545123484178e-50,1.34944302561558e-45
"CDH3",766.732781000019,2.21213925467973,0.171880255224358,2.24348354138707e-39,1.69977530513192e-35
"ARY2",1070.99083233658,-0.616728475683472,0.0836384805912473,6.37393992897739e-16,3.21947705812648e-12
"PLBD2",1337.59428797068,-0.814244722557721,0.119016059550029,1.0055469081955e-15,3.80926307497161e-12
"PYCRL",582.561686635379,-0.6438006078467,0.090646760230564,2.58758779291746e-15,7.84194356521567e-12
"LOC106896212",207.951475049706,-1.07787223985953,0.159855886372259,1.38735176150983e-14,3.50375687369307e-11
"RPS12",3708.95815707031,-1.08468455834809,0.162658817302178,2.4574939631552e-14,5.31977228909869e-11
"LOC106897801",194.717240891568,-0.928937445567254,0.145445587698022,2.81909042837987e-14,5.33970965765501e-11
"LOC106899931",198.362713293195,0.957464327237565,0.154272258692488,1.16174946606882e-13,1.95599885103787e-10
"BORCS8",132.69689291188,-1.78908659184454,0.262935728737956,2.88167687261445e-13,4.36660496507268e-10
"PSMB2",1909.45567032292,-0.482209100109039,0.0706901837563175,3.66312229242802e-13,5.04611746337834e-10
"LOC106890715",718.954160842566,1.77951675150667,0.263586546790191,4.08244070536628e-13,5.15510200070127e-10
"FAAP100",1631.45691154185,-0.256930845196726,0.0407928619512041,4.87645187054844e-11,5.68406732264773e-08
"CYBA",1025.49469828035,-0.865497038126753,0.172216796228198,9.58782128267729e-11,1.00666355125422e-07
"LOC106900582",157.249819480717,1.45670685064007,0.255141151114261,9.9649925881431e-11,1.00666355125422e-07
"LLGL1",2879.29088887509,0.497864805397054,0.0853620301373119,1.63339161663362e-10,1.54692394792808e-07
"TESK2",1351.00787196214,0.397327017221366,0.0661560955809141,2.13982909910734e-10,1.90734296110432e-07
"CENPN",156.554118339969,-0.668898318342304,0.130492994187396,3.63965180803775e-10,3.06398021373312e-07
"CDK10",1052.36819686459,0.350698303784572,0.0600248453973826,8.45895124680952e-10,6.74623622331077e-07
"SH3TC2",608.983449541915,0.532498320428912,0.104630109941037,5.36795173748713e-09,4.06702863390712e-06
"LOC106899618",104.955406502248,-2.2038194258392,0.438511251154594,6.37011141766897e-09,4.59649039580657e-06
"NPPC",1313.03178212929,-0.639102943294803,0.141580047089745,1.2521132433299e-08,8.62421453462632e-06
"PLEKHF1",667.970201039543,0.405975829792826,0.0799483345475587,2.95608737626838e-08,1.94754747880847e-05
"MYRF",4247.22273631345,0.450680252911561,0.0932138637171412,5.68022733675714e-08,3.58635353474504e-05
"FAM168B",9929.476618166,0.166937722411652,0.0422673665374563,6.45796763748138e-08,3.91430334443021e-05
"ZEB2",5483.45855751239,0.41468721392004,0.0851912348689657,7.08269946571054e-08,4.12785173091968e-05
"LOC106900107",919.181149289976,-0.432920800101855,0.0908599887764869,9.28425897399357e-08,5.21053245307128e-05
"LOC106900021",5104.65870687284,-0.336977726799071,0.0690427241780823,9.90644826578292e-08,5.36115752040745e-05
"GINS2",347.387186860951,-0.604955097811123,0.148616895127922,1.32763004385309e-07,6.93709588086408e-05
"TMEM125",6328.77128440915,0.462723903855257,0.101438882002076,1.55052819519572e-07,7.69740053137666e-05
"LOC106898018",414.55856184296,0.576797060654927,0.13931899867216,1.57473382480483e-07,7.69740053137666e-05
"CDH1-like",114.144684423639,0.592557959845742,0.145845004087463,1.64065081244367e-07,7.76899430029965e-05
"CSPG5",1541.40530506397,-0.427671995225736,0.092832122636284,1.85079106657432e-07,8.49849607024262e-05
"DAAM2",12246.1140115273,0.464905329312539,0.103578134525192,2.0076680441947e-07,8.94770408049479e-05
"WNK1",8620.16431197193,0.351593983029254,0.0770984275370219,3.32565873543953e-07,0.000139982518939209
"TJP2",10053.0848857939,0.356093460615232,0.0779882674965745,3.23702978029714e-07,0.000139982518939209
"RASGRP3",1575.07954971617,0.336894031796912,0.074361559205272,3.70064621072499e-07,0.000151556464948961
"RGS20",935.847170651918,-0.382154549598218,0.0852337623568755,3.98852617376111e-07,0.000155475957904928
"PHLDB1",1799.26474649239,0.449261282819583,0.103432978070281,4.00155900369048e-07,0.000155475957904928
"APPL2",2365.14345552674,0.219803387833413,0.0559649285921936,4.98776957314531e-07,0.000188949180854677
"ETNK2",279.282607768246,0.600835759396936,0.164329710226608,5.46780142707298e-07,0.000202081939083992
"PIEZO1",1214.5043452091,0.465815115350302,0.114307252565614,8.15522307495131e-07,0.000294228798225565
"PCBP4",1135.4575200383,0.398195009855317,0.0944052801388355,8.9035365547861e-07,0.000313756487010869
"CLDN11",7324.86931561025,0.437361175286113,0.106100449595985,9.15148601199515e-07,0.000315164698954006
"LYPD6",2394.76155603209,0.471080745580203,0.117831111717698,9.74304231269246e-07,0.00032094852209615
"AMER2",7825.58305339112,0.307220516754013,0.073125156194385,9.64500382113979e-07,0.00032094852209615
"LOC106889597",10011.5688235834,0.411300017736231,0.101594084568768,1.37341554466463e-06,0.000442795015921344
"SMURF1",12212.5743687349,0.393834625453678,0.097862212508853,1.61820336885079e-06,0.000510846576004085
"GAB1",4544.62904582327,0.38578359178001,0.0962916458625297,1.76303300863291e-06,0.000545208962853358
"SDR42E1",113.262282396564,0.547371633876307,0.159892506037528,1.89020669111447e-06,0.000572846039809151
"LOC106896124",123.555189820676,1.12471712931367,0.454954054700452,1.99394130750066e-06,0.000592435149657991
"MYZAP",1548.85850989592,0.365369565864574,0.0939422599316856,2.57974356678098e-06,0.00075174719745062
"CGN",1016.4227006975,0.487758614212585,0.137238779260639,2.63522482929488e-06,0.000753425695062365
"SPEN",4043.04276845501,0.227859370323534,0.0657143920303504,2.78733043770739e-06,0.00078215589115889
"BCAS1",16859.570828526,0.412843185966699,0.109439265380727,2.86555942029219e-06,0.000789487670830683
"PDE4C",1280.15165270813,0.424851346630192,0.113828399839007,2.93214195565834e-06,0.000793406197394479
"LOC106897725",24.8389326687103,1.00945758695555,0.441258178759923,3.00928225039133e-06,0.000799993928775085
"DIP2B",8736.26697612388,0.267285473937332,0.073817593740189,3.45096628949189e-06,0.000881399755942452
"GPR62",2825.49666129734,0.381760217082527,0.101701028709605,3.49000101343279e-06,0.000881399755942452
"ARHGEF28",1439.48678016554,0.338488119017118,0.0894729088197165,3.46173785437407e-06,0.000881399755942452
"LOC106894287",79.8315987490486,-0.726466765773764,0.296723073142215,3.75831419450768e-06,0.000933602212940572
"ETS2",1697.44380811906,0.269092641192308,0.0749716085056129,3.84614694515048e-06,0.000938168339479316
"PLK3",534.243148575679,0.34656552646358,0.0927350572640011,3.90052170442796e-06,0.000938168339479316
"NFIC",1683.79172721682,0.298754587409618,0.0813207915642082,4.0041871042786e-06,0.000948053862361463
"IAPP",246.587882461712,-0.638379997337977,0.244037121751536,4.39125503841725e-06,0.00102370288610979
"ZC3H18",1179.97328686852,0.243822056221737,0.0718668087244572,4.68020449857888e-06,0.00107453240556009
"SBNO2",717.489866948822,0.378215155941949,0.105780232124597,5.42907235361116e-06,0.00122786169215328
"ZNF536",2153.66039035837,0.279180376510512,0.0800128145087286,5.56587248249327e-06,0.00124028920187089
"CTNNA3",967.849370897024,0.362366916809283,0.102923078023029,6.44175000315165e-06,0.00141466431590952
"HMOX1",3333.36339302982,0.41169897238471,0.120448632502026,6.57992472412229e-06,0.00142436570492322
"RB1",1701.07947158418,0.220308766569457,0.0714650773122792,7.85324847539659e-06,0.00167606019926316
"LOC106895450",221.585786684347,-0.525543071810143,0.190755766943177,8.72301543104764e-06,0.00183583128925923
"NKX6-2",2094.65389599964,0.376504042985682,0.112098295286449,8.86503562293563e-06,0.00184016280540197
"MBP",303640.149688933,0.423417253601855,0.131673048528572,9.26113461834106e-06,0.00189640503880705
"SPG7",6739.1734907025,-0.191641170675357,0.0670593241566762,9.80809464932193e-06,0.00194600096305136
"CNP",69801.0586531929,0.422710514106689,0.132731949604231,9.88860781066156e-06,0.00194600096305136
"PPP2R3B",4509.08954075375,0.31539604970079,0.0943312194087209,9.67208397320944e-06,0.00194600096305136
"CDKN2C",493.771395599707,0.435831391442006,0.146462355998483,1.32673161949198e-05,0.00257743131155923
"LOC106893768",20.0884748737748,0.750215201683007,0.441352457454899,1.35705565021173e-05,0.00260297016046308
"ENHO",11371.801364628,-0.338714965118971,0.107041779473554,1.46218014885993e-05,0.00276955197445931
"OPRK1",771.773113898543,-0.40965645126847,0.138294206690498,1.63745023007895e-05,0.00306324485634399
"LOC106896991",1517.21218529604,0.411888071671771,0.140164242331224,1.68364014685905e-05,0.00311124379821405
"STC2",525.713013896249,-0.35582981230054,0.116908707290994,1.81572330171866e-05,0.00331489821577625
"LRRC1",1721.61722456702,0.257630419883159,0.0879863932719338,1.9229660729651e-05,0.00346889344090954
"RAPGEF5",4686.88066054551,0.194349410303136,0.0730035107647284,1.9777485408916e-05,0.00349178921076838
"NCKAP5L",687.098556099575,0.231347145927776,0.0821786849222247,2.00478889551145e-05,0.00349178921076838
"MPP2",6559.71905609379,0.266071374004451,0.090571746620988,2.00072954018134e-05,0.00349178921076838
"LOC106902819",98.8664733106386,0.564253500496879,0.291990930299053,2.12153239238914e-05,0.00365313412975825
"SLAIN1",4163.44101384817,0.346899010789828,0.116845654419398,2.15705549015101e-05,0.00367256874632115
"RTKN",5604.81865075778,0.268316072446259,0.0925905292486918,2.2370668037976e-05,0.00376647480866056
"LOC106899551",1007.64314729265,0.451810710724643,0.177629886770647,2.34790916689262e-05,0.00390965578087075
"SEMA3B",565.817182091671,0.486384130819776,0.211202918598461,2.41629317376386e-05,0.00393699897441331
"SOX10",5235.89784075546,0.412479260403139,0.150986557944779,2.39533113336347e-05,0.00393699897441331
"PTK2",4259.79291256062,0.201322960846106,0.077098517482914,2.55270834392613e-05,0.00411502016335241
"LOC106899806",552.244472059917,-0.288058708241686,0.100261773819966,2.60006425649627e-05,0.00414723933459874
"RRBP1",9070.90478316283,0.337084302060593,0.117447653515087,2.68042144891217e-05,0.00423087773076731
"B3GNT2",2247.07545484443,-0.191722347138316,0.075406665106468,2.84019107420317e-05,0.00443684694303099
"TAC1",11949.0009844587,-0.320608727275642,0.112901192577553,2.90916005476049e-05,0.00448517591303392
"FA2H",1560.60742570271,0.385971447341696,0.142160210033998,2.93032676955295e-05,0.00448517591303392
"CDH20",1748.58604407808,0.188369568683163,0.0752307173814662,3.10821564136884e-05,0.00468137221403603
"LOC106889812",2421.85415465886,0.378322616165825,0.139916878548704,3.1202969287774e-05,0.00468137221403603
"GNA12",2519.75801837147,0.154313386566528,0.0637971182121968,3.25964537687982e-05,0.00484249082312352
"DCAF6",1889.0245477978,-0.134498630316129,0.0556057093874941,3.70495775001165e-05,0.00539819469095448
"NUP160",833.363774628593,0.175683894532065,0.0726662605327761,3.68173363916031e-05,0.00539819469095448
"LOC106899619",6854.82278316299,0.484122383603965,0.249220552100585,3.8066673727308e-05,0.00549356482847522
"IMPA2",2725.91726311595,0.35309028554557,0.133774451899552,3.95233520469466e-05,0.00564997503365454
"HPGDS",441.914910136664,-0.510274397105974,0.319087056030691,4.45998981026312e-05,0.00631609584999226
"MPZ",1154.85779446845,0.449249954307057,0.217908182211848,4.52138054964579e-05,0.00634374809896136
"WWP2",1791.55378065765,0.116110985853358,0.0463313131815887,4.56843845443456e-05,0.00635096769725201
"WIPI1",2744.12786486934,0.200394819107627,0.0831998335636381,4.76748630135755e-05,0.00656742908404282
"MMP17",2945.05532420577,-0.209684904369381,0.0867455228970925,5.04495604496758e-05,0.0067258201991122
"ELOVL1",3026.15896919511,0.270365633253332,0.105506457140202,4.97536408127495e-05,0.0067258201991122
"HSBP1",10575.9517148032,-0.143931865815725,0.0622925730568368,5.01087801548475e-05,0.0067258201991122
"FBXO39",20.4626276015837,0.585207760799037,0.513746427211915,5.06001123671082e-05,0.0067258201991122
"CMIP",3488.77785778319,0.25731619944108,0.102298857753987,5.30502197721876e-05,0.00692991362248241
"KANSL3",693.644133564896,0.175489616408074,0.0758677329743229,5.27847352583485e-05,0.00692991362248241
"NFASC",3346.86893939765,0.301162191213851,0.119299729341323,5.59627955663423e-05,0.00724789949757936
"NMU",469.527684696571,-0.686439495649137,0.915411878497906,6.10146089512804e-05,0.00783520652066739
"LOC106897624",19.177113099249,0.729429516633506,1.13326168283122,6.19999944521834e-05,0.00789483962969693
"HEATR5A",3494.02648310111,0.297355490262654,0.120938192701011,6.41609062775567e-05,0.00798858146593229
"GIT1",2027.48308129729,0.175004411185558,0.0775881552332904,6.40561809677102e-05,0.00798858146593229
"ICAM1",62.9503338025129,-0.461387725285352,0.289716460884169,6.4317754823714e-05,0.00798858146593229
"LOC106888562",285.215686424193,0.390520099753949,0.181241883852417,6.7519607047038e-05,0.0082872010487365
"B2M",4860.87628672337,-0.25932008199653,0.10737922899163,6.7815807433731e-05,0.0082872010487365
"RD3",1972.68900062195,0.311189581363985,0.129396247281677,6.99489433412222e-05,0.00847949070759631
"LOC106898549",87.9241766742709,0.455063431949232,0.2969346202066,7.09687709989117e-05,0.00853483957894055
"ANKRD13A",3060.10255065098,0.219311481609902,0.0945603720764042,7.18169348759157e-05,0.0085688347572815
"COL16A1",776.206428302664,0.457829419718622,0.315289385151562,7.37472004131647e-05,0.0087304009989116
"SMIM15",956.997585784454,0.259420913458134,0.11028590197339,7.85631545978601e-05,0.00922843009008818
"USP6NL",1990.89513291836,0.206503717222417,0.0915233179538626,7.92033038088965e-05,0.0092320589432016
"KDM5B",2118.63117552118,0.110835748389812,0.0460771770188336,8.11935488482354e-05,0.00932065034619175
"TTYH2",6866.27182868202,0.354619107203408,0.160267913038864,8.07339199493208e-05,0.00932065034619175
"MOSPD2",2573.92372695708,0.272952648050805,0.116621434188869,8.2350896406628e-05,0.00938242957330552
"CYB5B",2097.72638942301,-0.199862238120393,0.0904637265706256,8.73432906747463e-05,0.00987696181786889
"SLC39A6",5578.99302608841,-0.154125078445749,0.0720216956797222,9.01128345396378e-05,0.010059584265544
"SDF2L1",4425.32374951921,-0.250675972801696,0.109731209803668,9.02859803414496e-05,0.010059584265544
"LOC106891556",116.566707646378,0.424016895283688,0.273455451940392,9.1211849532596e-05,0.010088563182244
"LOC106900149",44.554046556383,0.436182403232187,0.329099246931203,9.44780655674553e-05,0.0103741023735047
"LOC106890793",986.07966282054,-0.200713515652744,0.0922875859861075,9.73553203009432e-05,0.0106131307087784
"HEG1",3777.48508314052,0.250750751713921,0.112106394148628,0.000101206226215725,0.0108764393322473
"LOC106902883",2175.01341732385,-0.101575062619381,0.0405413467443884,0.000100629775829057,0.0108764393322473
"BCO1",293.582513347689,-0.339940575007128,0.161765607652213,0.000105374062863308,0.0111398879166267
"ASIC4",2866.80424370696,0.353021134938639,0.172387652753289,0.000104578475739507,0.0111398879166267
"TXNIP",1963.39980714875,0.371985077088846,0.193320682999479,0.000105863120173844,0.0111398879166267
"ZCCHC24",4127.97143321137,0.161611157522974,0.0774062841036541,0.000108437913141051,0.0113321358470782
"CHN2",4728.29366418461,0.273782519341752,0.125035457354642,0.000114207004627143,0.0118532790487336
"VPS9D1",758.698043586473,0.257644605974839,0.11908983616717,0.000121113856731706,0.0124846140888132
"DEF6",288.737051853359,0.284661725749473,0.13251191408756,0.000122646185498571,0.0125571462760801
"SLC44A5",7375.44778428699,0.264687398680008,0.123356692470776,0.000126155383574109,0.0128297485053589
"LOC106890757",1048.49705497999,0.315902277900429,0.153161894807277,0.00012865052977749,0.012996276518122
