"Gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC106899618",245.632917572473,-2.22254853079551,0.44357937029955,3.77298619548912e-09,5.09768164872535e-05
"LOC106899931",149.675082930008,1.16220829416012,0.258173094238645,7.9298014933592e-09,5.35697739883881e-05
"PLCG2",1073.04732711081,-0.545865727501171,0.1595930294219,4.06025633645141e-08,0.000182860411205983
"CIB3",100.863102542219,-1.65760556769399,0.738513314768561,1.38048009063729e-06,0.00466291662615009
"BORCS8",54.4077213621252,-1.15481708565154,0.569967434284372,3.46211891985752e-06,0.00779611478769916
"CDH1-like",737.856670419093,0.849274876684701,0.411628081226908,3.3241351633971e-06,0.00779611478769916
"LOC106896212",40.1254426045241,-0.783702549766046,0.427216848852549,6.47748048817235e-06,0.0125024626965281
"ARL16",267.372350322129,0.643912991312751,0.37929145742065,1.19751965044248e-05,0.0178209153627374
"CDK10",292.17405509323,0.385008079800571,0.141849152753278,1.12912484546505e-05,0.0178209153627374
"DOCK3",28.5936507219503,0.437107956258952,0.836160956681963,1.3189930695535e-05,0.0178209153627374
"LOC106901071",19.4132852864467,-0.984252931332894,0.876617936902216,1.68027365140939e-05,0.0206383430038112
"LOC106891556",10.435308336909,0.880976136197446,0.687243491660175,2.0205946095432e-05,0.0210001952073371
"LOC106894433",327.378248155418,0.635064057409311,0.410576650322034,1.89294461008208e-05,0.0210001952073371
"LOC106897801",248.581759126028,-0.529684820175995,0.322220084845407,2.23707902660576e-05,0.021589410520336
"MUTYH",402.531134853768,0.41360589155815,0.22158565707382,4.09905774285301e-05,0.0308994587946616
"GALNS",286.432703295667,-0.475142369186271,0.292455552318651,3.49303996438365e-05,0.0308994587946616
"MRPS2",2681.91039550325,0.383213966727777,0.179411250157304,4.11657359413743e-05,0.0308994587946616
"FAXDC2",345.509104838438,-0.653794306050836,0.536245690855986,3.99201095583592e-05,0.0308994587946616
"ANKRD6",152.664332211852,-0.561543095189168,0.431807255398707,4.62558370188174e-05,0.0328927691558548
"LOC106890715",798.101891365841,0.638860189859867,0.751918885662962,5.77427348261931e-05,0.0390081045118347
"INA",1233.6770301466,0.586262444831803,0.633166675146006,7.67199564834304e-05,0.0417539171296536
"TYSND1",1088.61568471498,0.473710897870047,0.371595100658665,7.81171377862791e-05,0.0417539171296536
"SDR42E1",344.925724656138,-0.399156152521514,0.245482921931988,8.03494815610239e-05,0.0417539171296536
"LOC106891957",102.959450546894,0.609964438892424,0.681150697600247,6.91413909837486e-05,0.0417539171296536
"LOC106896271",404.57973446688,0.422950186705119,0.279643477352977,7.4367759426615e-05,0.0417539171296536
"MALT1",306.579098152401,-0.389866362752917,0.226045398472607,7.72639555291162e-05,0.0417539171296536
"PPM1E",23.6344584986432,-0.502597092794136,0.438485539309759,8.4526966593777e-05,0.0422979202092045
"GLB1",643.22682265529,-0.355575991250145,0.174298367841098,8.77704069512982e-05,0.0423523560113925
"THOP1",6411.32730067322,0.306719992136666,0.113863470543486,0.000101651818547011,0.0457805906796223
"TIMM9",874.77689932506,0.39131775861688,0.249045649205002,9.83095190435608e-05,0.0457805906796223
"LOC106886846",33.2271249478211,-0.415057582418798,0.307566363608277,0.000109089070352127,0.0475452396621803
"LOC106891673",173.287462220622,-0.0941074428119101,0.316806143223698,0.000116368272255804,0.0491328664515052
"UCHL5",853.36447775256,0.304756239968999,0.116622385302674,0.000127213720795793,0.0495626049831963
"ANXA7",1055.03676267593,-0.33693438367834,0.162369369378654,0.000128391027637619,0.0495626049831963
"CRLF2",1644.16064732522,0.374571568428378,0.240819954556015,0.000127847881321489,0.0495626049831963
