"Gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CDH3",117.424036756012,2.34167185884515,0.212280075150536,5.83883604601893e-30,8.93692245203657e-26
"LOC106896212",110.756796947806,-1.05993042467238,0.143126835775937,1.01848718406783e-14,7.7944824196711e-11
"RPS12",2918.27555849826,-1.2710501885937,0.18001951899175,4.37194990212804e-14,2.23056884006572e-10
"HSD17B2",18.4933774254011,3.3211958382152,0.494168657728915,4.03260781191398e-13,1.54307737922888e-09
"PYCRL",379.158407524402,-0.827018768052666,0.12031848519641,1.41260309282468e-12,4.3242605877549e-09
"BORCS8",59.9566623583783,-1.74642739476955,0.3062045254264,7.51440880754264e-11,1.91692568680413e-07
"LOC106899931",118.145418044525,0.971719593923861,0.165217187069973,4.69882318690805e-10,9.23319223021306e-07
"LOC106900107",505.879500777427,-0.478603688654484,0.0782552583922683,4.82592041302133e-10,9.23319223021306e-07
"LOC106900582",73.5220987636259,1.52785811878027,0.302084561661969,3.92762228205108e-09,6.67957629434154e-06
"GINS2",233.787858583714,-1.02258874909597,0.215046588198135,8.6168828908722e-08,0.00013189000952769
"HOMER3",265.210225137104,-0.623675301401754,0.126342863360513,9.60349502964098e-08,0.000133628268112441
"PLBD2",419.311376805806,-0.802276245531672,0.167958866801542,1.39921347515864e-07,0.000158587588072059
"CENPN",89.8451670344154,-0.929616227803659,0.197724875880028,1.33573414931844e-07,0.000158587588072059
"PSMB2",1041.17943929031,-0.450078638111686,0.100062241007615,1.45055941004104e-07,0.000158587588072059
"SPG7",4132.28623607575,-0.29611140891836,0.0904811325129186,1.57503242219066e-07,0.000160716308360335
"LOC106900021",2914.72687836863,-0.374493931463188,0.102628409280562,3.33705811236359e-07,0.000319231321673982
"LOC106899618",45.2001236343983,-1.72840739802063,0.722511035015725,1.85214597347834e-06,0.00166758507470938
"BCO1",76.7312855381849,-0.656582897420067,0.249411992810233,6.29042634793232e-06,0.00534895920452511
"HPGDS",687.146217588081,-0.945645541857222,0.430905040991604,7.99133184596248e-06,0.0064376486965422
"CSPG5",1377.86087707799,-0.471249641697126,0.216217602825916,1.0008753951324e-05,0.00765969939894826
"NRAP",177.847277016741,0.552791489193242,0.254686122462189,1.18111455307765e-05,0.00860863778543164
"CYBA",386.2025431576,-0.650460496787686,0.336219152236028,1.71122742763769e-05,0.0119054759124648
"CDK10",707.885029414443,0.207503601585691,0.149307004059845,1.92792310477251e-05,0.0128299091485426
"LOC106887030",67.0676684861714,-0.618930113633953,0.348062786958284,2.21215466013323e-05,0.0141080163449997
"LOC106894854",49.4087332101949,0.765703650045654,0.581851263459877,3.10121513830878e-05,0.0189868795627817
"DPH5",410.928368189853,-0.384160810038657,0.276641236493729,4.39458324078694e-05,0.025870573493648
"ENHO",4765.72402191515,-0.367217643306506,0.29341083851077,6.11726513003245e-05,0.0340627094642094
"LOC106900353",236.958986573493,-0.301930643482112,0.250405624632561,6.23125483469139e-05,0.0340627094642094
"LOC106891379",76.6812030447234,-0.485190423774503,0.434394329635018,7.61960913155614e-05,0.0402157715060684
"MTHFD1",2109.9362720889,-0.367901979697036,0.318925631791333,7.90631852805107e-05,0.0403380371301166
