"Gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"SCEL",348.632063262383,4.70874012124695,0.349617872362569,7.13452662163077e-44,1.15108452513391e-39
"LOC106888407",117.858796932353,8.40611724618095,0.66697659174691,4.67463973556106e-40,3.7710318746771e-36
"ERO1A",1029.3046820632,1.05513271968943,0.0866920227258862,6.10156647697302e-36,3.28142245131609e-32
"RYR3",192.319422987329,3.24031218065298,0.265503547471128,1.41477196559433e-35,5.70648272322472e-32
"MSTN",95.9979628236701,4.62189393935092,0.392581921006371,1.94157084290649e-34,6.26506079589067e-31
"DPEP1",56.120311203449,3.42519051657951,0.30327093070879,5.67519262919906e-31,1.52605929799163e-27
"ADGRD2",198.081183613962,3.64535299502254,0.347993141319088,3.28377190357698e-27,7.568625127473e-24
"F8",458.589086477204,3.54660400222181,0.339530859859075,5.17779585883033e-27,1.04423197982961e-23
"GALNTL6",167.148318590931,1.43117046597736,0.138051972587413,1.0165205144594e-26,1.82228244225421e-23
"LOC106891638",15.3599835578355,2.6640698327126,0.262914017048769,1.17661551883559e-25,1.89835147808934e-22
"ZFPM2",91.78811836119,1.86077743247129,0.187562513805525,8.12081633378515e-25,1.19110227935718e-21
"SLC5A9",106.82196785207,4.42911076993182,0.459698398275852,3.16230718617194e-24,4.25172201180817e-21
"LOC106896250",359.954342406237,1.17078683733856,0.121534149373734,8.37655179860268e-24,1.03959451322043e-20
"LOC106890532",54.5517432716262,3.37838288595219,0.355898202244819,8.57672244229828e-23,9.88405999171717e-20
"LOC106887179",316.806132199973,4.09709564902788,0.452443755988105,1.57765801506774e-21,1.69692896100686e-18
"DLK2",450.727131546579,1.5716491397166,0.17330600779879,3.70552062575237e-21,3.73655436099305e-18
"WWP2",2665.2380370525,0.58261021147545,0.0628916160673768,4.44707125231848e-21,4.05160070049779e-18
"LCNL1",1036.91542414798,3.15145757882183,0.3472060427772,4.52019416195365e-21,4.05160070049779e-18
"PHF14",3695.44020309539,1.0582886559973,0.120945168614792,3.14482553106889e-20,2.67045342727713e-17
"SHC4",532.188700296779,0.771351114133282,0.0873040664396475,7.60855080284726e-20,6.13781793265689e-17
"FN1",7490.91651461867,2.67063818411225,0.315278896356281,6.66808617418367e-19,5.1229953492514e-16
"DOC2B",2042.63090375139,1.52357005602394,0.181048068644501,1.10891001818474e-18,8.1323428333603e-16
"BCO1",725.586639065281,-0.82995806890886,0.100828031919657,8.99649719608981e-18,6.310847207031e-15
"GALC",5625.19598749669,-1.32418576486668,0.164831592766984,1.84709914632977e-17,1.24171240112018e-14
"LOC106891593",17.7019430090038,3.92207866123813,0.5094827476234,2.07516360493895e-16,1.3392275840834e-13
"TCERG1L",712.344139189572,1.41325646653626,0.185999475249586,6.75999457870395e-16,4.19483663587729e-13
"SYCN",13.921275114091,3.52087477847131,0.469728390114154,1.77065285331063e-15,1.02027546911835e-12
"TPH2",311.527722009984,1.22223390664216,0.16454249499805,1.71669000554578e-15,1.02027546911835e-12
"LOC106899931",217.287100291032,0.888341074709634,0.118708810158344,2.36005540407377e-15,1.30406064547936e-12
"TRIM54",2099.65699842095,3.05015411803587,0.407732526711667,2.42480596035582e-15,1.30406064547936e-12
"FAAH2",1988.53617076471,0.436517680687038,0.0587937184663286,8.27826591439686e-15,4.30843684718964e-12
"TRPC7",160.640095252448,2.42630691510684,0.348621115294723,6.61598742740008e-14,3.33569816105228e-11
"LOC106886974",286.550668945716,0.820931367289389,0.116422705229289,9.25412044328561e-14,4.52442361309e-11
"VTN",1051.32614568694,-1.52991704905637,0.221590732840721,1.18790892584928e-13,5.6140078070013e-11
"LOC106896320",74.6847942429002,2.27440815388031,0.331493219583543,1.217864591825e-13,5.6140078070013e-11
"GJA3",320.477812992359,1.10665521684226,0.163400308518616,1.90059862391726e-13,8.51784949952254e-11
"LOC106887600",24.9334715370379,-2.60091103825721,0.38205733366943,2.19519759473552e-13,9.57224810634132e-11
"IQCJ",10.2458546350153,3.23717150823982,0.473778700655812,2.41975671207151e-13,1.02737775769899e-10
"LAMP5",471.357255869108,2.69014230834499,0.397603318510144,3.14716569439122e-13,1.2694092828327e-10
"GDPD2",100.957518285824,2.89800438234629,0.426871672887203,3.11443160530006e-13,1.2694092828327e-10
"LOC106896396",901.261235639702,2.12054219648229,0.319103811009462,5.31026532929007e-13,2.08965416640893e-10
"APOA4",44.6611747333857,4.35911563538479,0.675430528540025,5.79091838558986e-13,2.22453993412159e-10
"CACNG3",685.736527297113,2.77690907431735,0.415843325570255,6.08671190303152e-13,2.28379092659327e-10
"SEPT9",4902.59111777646,0.53474295842995,0.0777866357979825,1.03850111764594e-12,3.80799478002265e-10
"TMEM215",100.790446998725,1.2105381658746,0.186819985491284,1.40165881893189e-12,5.02541408547712e-10
"DGKK",571.588543434836,1.71340519158282,0.262478973277865,1.47951551043103e-12,5.18923983593354e-10
"KCNK1",2057.26725324959,0.886161476205285,0.134776408351921,1.64464018558539e-12,5.64566484132653e-10
"NPAS2",224.967593822282,-1.63252467025374,0.250863815440604,1.72688005442430e-12,5.8044755829337e-10
"VSTM2A",1911.4114160043,1.2821422301378,0.199956155192826,2.3587144724442e-12,7.76642842824791e-10
"SAMSN1",377.002146734988,1.43331177207107,0.222725887474277,2.47714735568642e-12,7.99325908732895e-10
"SMYD3",121.80885147544,1.27287601973955,0.199403866462565,2.81000197399138e-12,8.88952389183863e-10
"PTPRM",1082.61358191257,1.06842779023632,0.167479035789337,2.87224612561765e-12,8.91169595975292e-10
"MDGA2",1326.53903954377,0.939284866356264,0.146694618821052,3.84095412457602e-12,1.16924441218697e-09
"NADK2",1490.74040283045,-0.344755015993273,0.0553119179708157,4.37502838809406e-12,1.30716125950944e-09
"DNTT",9.11789823729356,4.32655706482685,0.713832759486701,7.21212022243287e-12,2.11564268488603e-09
