"Gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CDH3",881.989036599664,1.61049361149496,0.165052075460146,8.27528871518541e-24,1.31486062395581e-19
"RPS12",2828.28761045951,-1.25461249378053,0.141143845474868,9.68662419801189e-21,7.69553859411054e-17
"LOC106896212",153.017634821998,-1.08873448058286,0.139246035789341,7.75620278706685e-17,4.10794353612351e-13
"HSD17B2",12.830568720087,6.20891160334892,0.783570721565576,6.60164152246201e-16,2.62233705375997e-12
"PLBD2",873.669485831766,-0.825315757823504,0.109334801923942,2.71638439004395e-15,8.63212631468166e-12
"LOC106900582",116.809694282283,1.48231612766316,0.210887993206493,5.61807258931233e-14,1.48775925619306e-10
"LOC106891556",63.3094986520107,1.31083866497375,0.198028988459032,6.20006312311531e-13,1.40732575661684e-09
"BORCS8",102.151925592656,-1.96794965512453,0.297339456975184,8.80164223195015e-13,1.7481161677932e-09
"CDK10",722.80997591813,0.487815093936098,0.0695312640546159,1.04430327558383e-12,1.84365941619461e-09
"ZC3H18",896.031520286299,0.315106877556255,0.0481254316071883,6.49293139614436e-12,1.03166186953338e-08
"CENPN",148.066590785306,-0.917947743237332,0.149888193865676,3.02837155555913e-11,4.37434505875264e-08
"PSMB2",1408.57340943884,-0.509487156567487,0.0792344798760295,5.14190177820942e-11,6.80830644616412e-08
"FAM102B",1205.56164335807,-0.532645432003694,0.08327549754177,5.90191846894519e-11,7.21350635023616e-08
"LOC106899931",135.719755673507,0.848677935052764,0.144337485297333,2.15605064856659e-10,2.44696348250532e-07
"LOC106899618",89.273386854594,-2.14396950416106,0.392739423993996,5.16867475319975e-10,5.47500487690605e-07
"LOC106900107",675.436445004186,-0.394397410969135,0.0659301337561912,5.94027125941628e-10,5.89906062755408e-07
"BCO1",265.50013289384,-0.617693392591607,0.105059557131775,9.58549750052222e-10,8.95905704622338e-07
"PYCRL",436.671183702818,-0.772912772935851,0.136232798624501,1.21907362723604e-09,1.0761033812863e-06
"LOC106890715",471.163861046994,1.38626422170133,0.260358418334446,1.74057096772518e-09,1.45557537400975e-06
"CYBA",554.184549653018,-0.713463922482835,0.129306594192655,4.20096020307849e-09,3.33745283333571e-06
"GINS2",284.995774787268,-0.623499413931971,0.113476875056748,7.45137338244684e-09,5.63785103208085e-06
"VPS9D1",562.037840558088,0.52340400284738,0.0982050076970827,1.91298773333805e-08,1.38161191340947e-05
"NFAT5",2568.44492921071,0.484306359941065,0.0914562839025658,2.04270016471223e-08,1.41115056161359e-05
"LOC106897801",144.627221502503,-0.699313977310233,0.138684099833778,4.15446341730745e-08,2.75042788489992e-05
"WFDC1",111.176940851741,1.06471009620122,0.262787670176932,2.9845936018747e-07,0.000189688830960749
"DPEP1",5.81629969481559,2.71374613853485,1.07989418408379,4.25433572798434e-07,0.000259989001469012
"CBFA2T3",171.061357509943,0.691941483658166,0.17598311340394,8.80696607854842e-07,0.000518273644526133
"SLC6A8",7295.70734632398,-0.275176569821627,0.122206490464558,3.49661323942673e-06,0.00198420313433041
"TM6SF2",31.7251327292454,1.1107599504336,0.449181780608277,4.16824116978681e-06,0.00228376496368078
"DPH5",457.490260804069,-0.478179764377016,0.177282634348354,6.0220172123344e-06,0.00318946104955938
"CSPG5",682.885879943291,-0.379878033820209,0.165412771881315,8.54833184290583e-06,0.00438143369844938
"TSEN2",1239.4576192082,-0.274987120173088,0.144499360627686,1.0449635076313e-05,0.00518857036648554
"LOC106887030",99.6198492911575,-0.651953059376018,0.300335310825312,1.31880385321795e-05,0.00634984073447877
"ARY2",552.230442273603,-0.434519616824689,0.210265141646202,1.64918513726485e-05,0.00770703019000037
"PRRC2B",5583.90770610519,0.1240006761087,0.0691232864027879,2.09049484953885e-05,0.00949024933266363
"UTS2",95.0253039375994,-0.924708978946755,1.12849306995333,2.27458168657966e-05,0.0100391190050178
"ARID5B",526.786056341891,0.173956972797227,0.11906990719128,2.85150220718547e-05,0.0119230312026236
"LOC106889776",756.38880349129,0.441545718532694,0.245987300934959,2.78070578652918e-05,0.0119230312026236
"UBXN2A",1521.34774942757,-0.116993523978653,0.0661581129493318,3.19214149559293e-05,0.0130051118521734
"SURF2",658.472328614471,-0.21659373394705,0.155103476021634,4.13058448875783e-05,0.0164077142354683
"ICAM1",82.3739595590233,-0.46434649022001,0.311834556277247,4.82106310182028e-05,0.0186833833231274
"LOC106902819",94.8909128016353,0.535410181855203,0.405395722172852,5.44808224140951e-05,0.0201312973799432
"MRS2",3044.76044196085,-0.152997580824371,0.11520307586372,5.38868709813746e-05,0.0201312973799432
"SLC7A5",8096.72810049538,0.12576966331358,0.087853937684141,5.83733639960397e-05,0.0210794177393881
"LOC106900191",897.796038943403,-0.321963170795193,0.235817351030015,6.41898561367491e-05,0.0226647249812624
"PIM1",227.826654895843,0.242586455202103,0.192303650891766,7.45114158136509e-05,0.0257372149100674
"SPON2",181.756365322777,-0.445968472854507,0.373345947634515,8.16186857941792e-05,0.0275923255017811
"GMNN",472.874232095517,-0.252790741987748,0.215487769407878,0.00010265403991568,0.0339806258379215
"GALNS",932.484109780959,-0.117785302896818,0.0900232994352765,0.000107087600200849,0.0347247934610467
"MLX",723.453673213426,-0.130722485401744,0.110399495026721,0.000120311970746298,0.0382327380637584
"FAM173B",395.756498317816,0.328780144662578,0.316630226790265,0.000142478997242242,0.0438476488221082
"CHMP2A",519.476823450376,0.202033247286833,0.189959547214757,0.000143500392645832,0.0438476488221082
"ASAH1",10449.0101721632,-0.12384281685272,0.106802113774464,0.000147422117503687,0.0441960382078506
"VWF",407.828762990673,-0.243909238248107,0.235048673255084,0.00015842083985708,0.0457663404452572
"GTF2F1",884.689696170072,0.142415812241523,0.132487209261998,0.000157429751195167,0.0457663404452572
