"Gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"TUBB3",113.446588896536,-6.8953392682415,0.489268871343682,1.44101679729299e-45,2.36831110635104e-41
"RPS29",4355.1524307185,2.2636543636057,0.167739835069846,1.46998093940598e-42,1.20795683695686e-38
"CMIP",857.93711147936,1.15029750430721,0.17015745348613,1.11275806623855e-13,6.09605960621021e-10
"FOXF1",50.8382916259649,1.95035270112685,0.330157957962763,3.9197611186133e-10,1.61053184961024e-06
"LOC106891556",52.1363515064432,1.33256556822242,0.25356405923376,3.1838006326941e-09,1.04651526796655e-05
"LOC106900149",449.787110823056,0.644942844644972,0.123907888156894,5.02693216396528e-09,1.37696050191282e-05
"GINS2",361.393777954324,-0.747376792630057,0.158007848860097,1.36561916849843e-08,2.94589534182665e-05
"LOC106901071",12.6892531394299,-2.44764399965219,0.49338196259189,1.43396183356332e-08,2.94589534182665e-05
"LOC106889174",451.32586358608,-0.45438712785217,0.0871145282086527,1.97176077950472e-08,3.60065426790667e-05
"CRISPLD2",3937.32675660968,-1.37756780005884,0.353543623704617,4.33387972986313e-07,0.000712273133603006
"LOC106895068",24107.662301687,0.537725340680099,0.128156849021358,5.18698344536567e-07,0.00077498248113259
"KLHDC4",1636.11354691935,-0.323131009057603,0.0905758698386964,6.26184029471092e-07,0.000857611210363117
"CPA6",28.7970717312122,-2.30001524838831,0.740228528757427,8.65744642714111e-07,0.00108335909913442
"LOC106887212",93.082348132188,-2.07040699352079,0.617423767020109,9.22849247817578e-07,0.00108335909913442
"CPXM1",127.558832417907,-1.80159852304605,0.535739619841134,1.21849911813274e-06,0.00133506886710077
"LOC106896042",61.4892232354428,-1.41057891408707,0.456329448980368,2.04838883410613e-06,0.00198031002873731
"LCP1",7687.67169413082,0.505662642526794,0.13908607258021,1.96252398302343e-06,0.00198031002873731
"PDHB",7204.26472170298,0.195502910461018,0.0799307522851573,3.12051909823459e-06,0.0028492072988603
"BIRC5",42.9252222994641,-1.41278619891765,0.540290138489476,4.23466726291671e-06,0.00366298718242295
"ARPC1A",3251.56236757553,0.291049430336167,0.108600932086223,4.58611383866334e-06,0.0037686390469216
"LOC106899618",137.401967455165,1.49250864230559,0.81352412397273,1.11289219834062e-05,0.00870970632368004
"MFAP3L",2143.20774378913,-0.388819126360961,0.15112862161996,1.33734839061153e-05,0.00963542742357741
"LOC106884660",44.5566638471467,-1.4232252504244,1.52053831780144,1.40660938914063e-05,0.00963542742357741
"COL1A1",6700.11812460313,-1.15532684885424,0.615882839732169,1.40705967852667e-05,0.00963542742357741
"COL1A2",20482.8122726623,-0.746297364439632,0.382832467073151,1.68662277270464e-05,0.0109077252074243
"COL3A1",23288.6824467737,-0.882945876038424,0.479883064553687,1.72559084510515e-05,0.0109077252074243
"APRT",1582.22663535544,0.273019855311125,0.128378736699637,2.08770667907788e-05,0.0122540925966589
"LOC106895259",40.836978323402,-1.22001968960314,0.771338045363361,2.06342818172207e-05,0.0122540925966589
"LOC106887179",177.179304109764,-0.923749381852003,0.567545690769385,2.41698785150977e-05,0.0136976535653666
"LOC106899718",1030.7020443279,-0.306297238776526,0.146528218784065,2.9076013005847e-05,0.0159288091250365
"LOC106896943",444.350169772166,0.858546426794822,0.59227316517393,3.46759578640545e-05,0.0183838505643786
"LOC106887928",30.9842900977327,-0.934026635557247,0.682133634459382,3.71976895932803e-05,0.018614168262676
"NUP160",2236.8113254097,0.642972116144945,0.405891596518369,3.73755736336056e-05,0.018614168262676
"AGBL1",148.520735506054,-0.638512903040509,0.42194417140049,4.22088878744891e-05,0.0204030315358009
"COMMD4",1235.05718926071,0.395003738262427,0.201279626131775,4.57640643573631e-05,0.0214894970775218
"LOC106902769",29.1808912747219,0.561141551998051,1.4757556056007,4.77937115409384e-05,0.0218191569215367
"CACNA1G",162.440340451026,-0.558411164275927,0.38488087120456,5.72804364788148e-05,0.0254433506359276
"LDAH",4125.07489624956,0.238355055610438,0.136066316526841,5.93099588576055e-05,0.0256515572059144
"ALKBH2",533.391812687109,0.409952375504616,0.255564941139359,8.21265086919048e-05,0.0346089530859348
"ISYNA1",2893.99055053909,-0.401560073803751,0.252242876945345,8.64320763859556e-05,0.0347180751904868
"CUX2",293.67130817369,0.423768099337341,0.288337483752766,9.42536264712667e-05,0.0347180751904868
"LOC106885860",90.0699883667557,-0.475365819435061,0.360398260176306,9.18467070021602e-05,0.0347180751904868
"ASUN",3618.39148117981,0.132549839892995,0.0686145182887654,9.50601389456591e-05,0.0347180751904868
"MUT",4192.05854663008,0.233833161460238,0.142935290224241,8.73107237712864e-05,0.0347180751904868
"LOC106899931",377.299636822901,0.449187723541838,0.321934341682657,9.28510627856677e-05,0.0347180751904868
"SLC19A2",660.442341484713,0.2895993643179,0.179268331195578,0.000101656007677904,0.0363199236127468
"COL4A2",13629.6545983232,-0.363879901962424,0.249630942138308,0.000124258619064204,0.0434508596663872
"HS3ST6",10.7857673397667,-0.632170665211539,0.773266476267338,0.000133382654001911,0.0456696649691961
