"Gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC106894392",111.877438395248,-5.09918812536452,0.438486689911078,8.53363179643716e-32,1.42878597167747e-27
"LOC106901071",870.47934378612,-3.82200450110504,0.34705164939355,1.65805028622895e-28,1.38803679711656e-24
"LOC106895994",38.860595370794,-5.54945272644521,0.889888932113564,8.9870988903062e-11,5.01569989067989e-07
"KIAA1456",115.888721452351,-2.1726397126302,0.427676408254757,4.22630123118582e-10,1.76902403784361e-06
"LOC106899931",216.12411806029,1.08745754626831,0.208632882440862,1.19159392359761e-08,3.99017141255896e-05
"LOC106891638",16.9400725146238,1.34438922211924,0.332038599817823,1.15240469446285e-07,0.000321578529989858
"LNX1",139.669985657133,0.868623718131672,0.194198199533895,2.58969809307831e-07,0.000619418788177287
"GINS2",3350.86612791304,-0.993996217384519,0.280885835040549,1.07594438505961e-06,0.00225181710488163
"LOC106892024",3.56419387448778,3.09560114816852,1.86404800347737,3.27285979922389e-06,0.00608861017982285
"GABBR2",230.912223743279,0.581875603476709,0.227921874265048,5.01147206743232e-06,0.00816504019594778
"LOC106890434",3075.92889363244,1.01186204238887,0.470799106221755,5.36435777073557e-06,0.00816504019594778
"LOC106899248",160.684033762316,0.926350658992481,0.669179750925958,1.30888348421896e-05,0.018262196813565
"RPS29",7460.47925975516,0.797995517601378,0.51727343252941,1.76903047247733e-05,0.0206101426050719
"LOC106887129",76.3809081147077,1.74690044708994,2.67080641661887,1.67515776311627e-05,0.0206101426050719
"LOC106900029",127.250411742818,0.828279749174136,0.633439198755063,1.84645606567568e-05,0.0206101426050719
"CBLN1",209.848721328744,0.463751142539974,0.283306613456925,2.27116349696831e-05,0.0237663065185877
"BCHE",352.413344149797,0.510871021401981,0.375274594320159,4.28939561061587e-05,0.0422455004167892
"LOC106892949",418.257397049887,0.392279057409038,0.310594543037045,5.31174276116439e-05,0.0494080605834307
