"Gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"TUBB3",315.195871995996,-8.46980177800729,0.474666459801497,3.9304593113861e-72,6.32371598608909e-68
"RPS29",4884.2965795505,2.18491027506699,0.166828758348899,1.13795656322295e-39,9.15429157284704e-36
"PLCG2",195.773676718812,-0.777417027709947,0.103116240519783,1.66406808178355e-15,8.92439712260515e-12
"HSD17B2",44.0376302139729,1.70796162146552,0.255494819095215,1.82025996042623e-12,7.32154062582441e-09
"LOC106896042",30.0099645510458,-3.72586354872181,0.678175272351785,1.73882335369682e-09,4.91679138357417e-06
"FAAP100",1631.45691154185,-0.221147634944755,0.0623750840806511,2.13919694729437e-09,4.91679138357417e-06
"LOC106899931",198.362713293195,0.849809990479344,0.163480835961964,1.98566703345027e-09,4.91679138357417e-06
"LOC106887212",5.6219746134238,-6.25516406437099,1.17532350020587,6.31131993374623e-09,1.26928533017554e-05
"SLC7A5",12292.3555984741,0.217735663916879,0.0944903644792289,6.47812630798857e-07,0.00115807304632476
"CCDC40",2268.59678755602,0.363404447544333,0.155694626562091,1.98385943590465e-06,0.00290166495129726
"CMIP",3488.77785778319,0.327185732761196,0.146707264072184,1.93287957207202e-06,0.00290166495129726
"GINS2",347.387186860951,-0.572970008653411,0.237143177115995,3.11350093162009e-06,0.00417442637406964
"LOC106902370",8.30182004213614,2.3528848588571,1.44327060048871,3.62780906163544e-06,0.00448983230712712
"MSH4",92.7151284394428,-1.01225428230001,0.677963805498569,5.74028072227273e-06,0.00659681261004614
"FBXW8",2211.62230483482,-0.267344522462873,0.159577256130139,8.76143997206391e-06,0.00939752051403575
"KCNE4",984.41051375278,-0.447014755737224,0.248955398481572,9.64416330309252e-06,0.00969780896146597
"LOC106896136",478.180523328333,0.437105183475562,0.258566165653483,1.19136621956777e-05,0.0108555584263439
"ICAM1",62.9503338025129,-0.59063439680462,0.423992694232825,1.21449469621599e-05,0.0108555584263439
"ARHGDIG",3557.24580742165,0.256411460316431,0.1656254404917,1.36345651288895e-05,0.0115456062294054
"PDHB",7769.14777902796,0.138041378335875,0.0620512806181532,1.5393116543694e-05,0.0123829926035746
"LOC106885478",40.1139810025516,0.898043692431167,0.919266314096906,1.69427693099389e-05,0.0129805816870289
"AMPD1",27.2556007957648,-0.629722265889826,0.687962027759127,2.27818851172414e-05,0.0166608068023316
"KCNE3",116.032960157058,-0.488968636866562,0.491300977984681,2.67832247692975e-05,0.0187354479701403
"CDKN2C",493.771395599707,0.333345799240413,0.257691078229149,3.1450452118144e-05,0.0210835968387008
"LOC106898850",258.912193531403,-0.347291906880992,0.334253482157336,4.81448591259345e-05,0.0309841055390864
"LOC106888396",517.438320461656,-0.295328621083585,0.289131161466937,6.35639725361019e-05,0.0393338751589747
"CANT1",23.8524932663132,-0.418384555286555,0.758593087958787,7.32356933215303e-05,0.0420817524946465
"PLK3",534.243148575679,0.166204108860782,0.137176103735511,7.19359604259892e-05,0.0420817524946465
"LOC106891612",2418.72495451482,0.102945529234186,0.0347926937993279,7.80057650286108e-05,0.04327706046708
"WBP2",14289.4276546888,0.109811573514649,0.0440898303858416,0.000102572382831829,0.0446023531724673
"SLX4IP",289.783383151758,0.137181350784729,0.101352645474261,9.39202916161562e-05,0.0446023531724673
"PKIA",10695.7173023581,0.112059022865878,0.0472105742313721,9.7517568062278e-05,0.0446023531724673
"PGM3",782.207918736658,0.187529822239311,0.178013597096702,9.59320838973199e-05,0.0446023531724673
"HOXB2",43.0870325378278,-0.461671226136476,0.943579487396158,8.34098556780089e-05,0.0446023531724673
"PHKA2",781.925397198474,-0.18632960658093,0.176262138116664,9.5681811685426e-05,0.0446023531724673
"COMMD4",1798.26521152398,0.240140002761887,0.247460188481152,9.14796000838836e-05,0.0446023531724673
"DNAJC15",1368.40593521936,0.167287933577839,0.152633365238618,0.000101462715291083,0.0446023531724673
