"Gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"TUBB3",162.131250695359,-6.46648116882308,0.348690250743199,3.28195858220034e-77,5.12773208882981e-73
"RPS29",4924.32002736524,2.05061031409895,0.174818696581492,4.52798088715897e-34,3.53725866904858e-30
"LOC106899931",169.636083829835,1.23052520316372,0.195427870929425,3.44271817665663e-12,1.79296762640277e-08
"CYBA",765.709617966975,-0.645092497600631,0.154885843851396,1.86792173014896e-07,0.000729610227796183
"LOC106895584",6225.19237769676,0.611951653830988,0.157752793993515,4.10484769874852e-07,0.00128268280890494
"WWP2",1497.39611305202,0.295582241538514,0.0693921496978036,5.08966255698656e-07,0.0013253481298393
"CMIP",2593.91393477546,0.412303674833196,0.12317441939344,1.75174997424495e-06,0.00390990594251472
"GINS2",341.524288736802,-0.726164670972325,0.219924009002926,2.31432796730972e-06,0.00451988252015588
"GPR78",4478.48363481199,0.339926868053119,0.104142794541437,4.76421315652223e-06,0.00827067403972259
"ITGB5",953.045068291194,-0.247359233321565,0.0654075079676124,5.51845890084652e-06,0.0086220401866826
"PAK1",319.620391296665,-0.707173735438691,0.265415167027033,7.80534204879759e-06,0.0110864240154921
"CRISPLD2",160.068361363846,-0.82672627478332,0.335355843640418,8.67872795124014e-06,0.0112997037925147
"EFHC1",197.355980805242,-0.820659428249016,0.340256495501841,9.50794991126964e-06,0.0114270930318213
"CCDC40",1545.75598971926,0.366219151268763,0.134867237040698,1.32127623143738e-05,0.0147454427428412
"XDH",50.9677427719736,-0.840112928193988,0.413141173165187,1.54027161514044e-05,0.0160434691433028
"SRM",2860.84801415982,0.208669318999888,0.0610590604821382,1.7644853312964e-05,0.0172301992601093
"APRT",1230.15761534778,0.311002603637291,0.116704836150118,2.54091473117243e-05,0.0220551398665767
"SAG",107.866241730911,-0.871292884459762,0.857311407493567,2.47528812636462e-05,0.0220551398665767
"ARHGDIG",2317.76283215468,0.269044253086122,0.0936413584431608,2.95914847742839e-05,0.0243335451638638
"LOC106900117",43.5236363480953,-0.716688668281598,0.825321168030935,4.0324038179119e-05,0.0315011386255278
"PROCA1",3558.79583536139,-0.691681395628477,0.497677352001225,4.96286561642181e-05,0.0369237201861783
"BIRC5",253.798760984295,-0.426370595353029,0.228635067942933,5.30736712401759e-05,0.0376919563389322
"LOC106888165",280.337696639229,-0.418173534809678,0.232353247714878,6.13295154400804e-05,0.0380868239985196
"CCSAP",2743.88487581544,0.196521702769889,0.0686582738757507,5.74555788098049e-05,0.0380868239985196
"SERPINF1",123.070907528325,-0.594382044057557,0.771437531273405,6.33805314875518e-05,0.0380868239985196
"LOC106898469",74.2986436478822,0.623160351460492,0.432816512349778,5.85382917943628e-05,0.0380868239985196
"LOC106885813",137.1506127034,-0.322419435459372,0.867234899476303,7.32123741734438e-05,0.0381013203613746
"RAMP3",1171.33447383198,0.25931891875218,0.10670844705624,7.00269963703212e-05,0.0381013203613746
"LOC106896651",25.2328950411606,0.367129650661078,0.854152653829745,6.73284083832732e-05,0.0381013203613746
"TNNT3",63.8921376093194,-0.392512705083903,0.817666765805127,7.09072942982484e-05,0.0381013203613746
"PCDH8",1162.75935884174,0.405444437613332,0.23751729109395,7.55978578598702e-05,0.0381013203613746
"LOC106894900",52.6983374618993,-0.506307799659292,0.749084235286215,8.17799532085669e-05,0.0399290621540828
"LOC106895786",48.5464949239708,-0.582382923685425,0.534100927671407,9.23534734591503e-05,0.0437251717977504
"CRISPLD1",1247.38206458818,0.442406012238724,0.298765317390459,9.77826108831455e-05,0.044933985659949
"DLX5",1300.44671084215,0.380440132757767,0.244770010389092,0.000108387709411203,0.0483842734811612
"LOC106894049",42.1872605273027,-0.316205017416372,0.710564005632502,0.000113263514163874,0.0491563651471213
