"Gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"TUBB3",17.595303651691,-4.50986242563833,0.447441344388742,3.58938349710939e-27,5.79111133423629e-23
"LOC106888407",117.858796932353,6.22031238185828,0.702705975008804,5.75647759749654e-22,4.64375047790046e-18
"RYR3",192.319422987329,2.74241821392785,0.30268360597988,5.76551471255339e-21,3.10069381241121e-17
"LOC106891638",15.3599835578355,2.7880548015347,0.317986886753352,7.38878026357726e-20,2.98026451931389e-16
"F8",458.589086477204,3.29454894296954,0.389806117230916,3.96588270851305e-19,1.27971103238299e-15
"MSTN",95.9979628236701,3.41456200103621,0.442461701632149,1.1785153153785e-16,3.1690276830528e-13
"LOC106896250",359.954342406237,0.991175853583847,0.137327452738072,3.25670394850218e-14,7.50623735787631e-11
"GALNTL6",167.148318590931,1.11896896238552,0.158429512559772,5.41238610063447e-14,1.09154296684546e-10
"ADGRD2",198.081183613962,2.58395132273924,0.397035103378512,2.91712488846968e-12,5.22943255006332e-09
"SLCO2B1",1753.52834062691,-1.91750627399177,0.300232352592538,4.01563716327144e-12,6.47882899922214e-09
"ERO1A",1029.3046820632,0.624835687386149,0.0970090949439611,3.81463521140675e-11,5.59502950007605e-08
"GPR50",53.3882223639425,1.69122149545952,0.290787309903669,9.62615420050874e-11,1.2942364322584e-07
"SHC4",532.188700296779,0.610110987734037,0.0988494039840615,2.13809033937821e-10,2.59717871037808e-07
"LGR6",134.98574629654,2.35223544210321,0.405919746663385,2.25365699425394e-10,2.59717871037808e-07
"PHF14",3695.44020309539,0.807143168826732,0.134719612129826,3.24708632419387e-10,3.49256605030293e-07
"WWP2",2665.2380370525,0.438380197330796,0.0740730865569665,3.9954105587398e-10,3.58121966415044e-07
"WDR37",1869.19536284226,-0.393459799718593,0.0679303929025193,3.57227235081086e-10,3.58121966415044e-07
"LOC106896591",122.830132167396,3.42353447756203,0.62864688154082,3.77977768624436e-10,3.58121966415044e-07
"ZFPM2",91.78811836119,1.20915887019414,0.216876030135595,6.04841355037828e-10,5.13605811693701e-07
"SYCN",13.921275114091,2.91360052199853,0.53843193216505,1.21453573626481e-09,9.79765978444822e-07
"SCEL",348.632063262383,2.16663730870794,0.40335949854537,2.02443548913804e-09,1.55534486579777e-06
"LOC106899931",217.287100291032,0.753406258935203,0.132909426246782,2.76860227915585e-09,2.03039223508639e-06
"ESRRB",561.636045065633,-1.45388166677718,0.283432281332076,4.4010717163634e-09,3.08725613355683e-06
"SMYD3",121.80885147544,1.1858588450493,0.227818823482929,5.17395484247849e-09,3.47819114285616e-06
"KCNK1",2057.26725324959,0.812608610168551,0.150757336498134,1.01059898611108e-08,6.52200161676644e-06
"LAD1",40.4041915207903,2.49365559517492,0.49498768844714,1.11722108939496e-08,6.93278656011473e-06
"SLC30A3",5.62188883055244,2.81321903813805,0.567661268118457,1.26158408941395e-08,7.538665814298e-06
