"Gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"RPS29",3691.35587226074,1.96645551382715,0.14187927639998,3.44464904809678e-46,5.47320287252098e-42
"TUBB3",253.182381639838,-10.3485375567651,0.835885769455746,1.20926790815876e-35,9.60702889636725e-32
"PLCG2",216.786430173287,-0.775405221761311,0.118421498596324,1.55411426572223e-11,8.23110718935349e-08
"TSEN2",1239.4576192082,-0.583361753635799,0.091396727452486,8.44510500179855e-11,3.35460683433943e-07
"GINS2",284.995774787268,-0.735996246542685,0.12334480296245,7.08759561808791e-10,2.25229613551598e-06
"LOC106899931",135.719755673507,0.887354019415211,0.15699605101041,2.3488171616674e-09,6.22005931362221e-06
"LOC106896042",21.5062102373568,-2.94048008877684,0.601299961453534,1.34284594855954e-08,3.04806846809464e-05
"CDH3",881.989036599664,0.898422056185968,0.184526734047488,7.04403819831458e-08,0.000139903403666275
"LOC106891556",63.3094986520107,1.01564456447193,0.216657948300848,8.43566357023121e-08,0.000148926953852671
"LOC106900117",18.951321927074,-2.56872023143602,0.743785008837125,2.26249580434486e-07,0.000359487958352354
"LOC106887212",3.22223838430081,-2.98830080671903,2.37911762280389,2.49732367938595e-06,0.00360727054016031
"SLC4A1",179.252319094508,0.95313994130574,0.406248892832853,4.31035692746713e-06,0.00570727176837711
"CCDC40",1581.99095217926,0.344325878377654,0.183049602960171,7.91507237296821e-06,0.00967404499493015
"CA7",94.4170253972638,-0.919028333441863,0.523227365709593,8.8072887388755e-06,0.00999564362657091
"WFDC1",111.176940851741,0.820199500268104,0.436511236638859,9.63997825558637e-06,0.0102113076335341
"SLC7A5",8096.72810049538,0.152436379221297,0.12336014316858,2.19438562727705e-05,0.0217916207698781
"FAM65C",274.121427988294,0.414047795924588,0.275698295449472,2.50443043509315e-05,0.0234075854018795
"OTOS",80.8564905180512,-0.692532208067755,0.765812788887159,3.08141858555998e-05,0.0272003666144236
"KIF18B",64.1682710336518,-0.550041014616041,0.602900897283212,4.89455037911743e-05,0.0409313215651562
"CPNE4",751.321357440693,-0.134599823356562,0.13128365107763,6.22223724962643e-05,0.0481365052287465
"LOC106887380",4531.23491265165,-0.178127633190357,0.177791115420263,6.66500796168684e-05,0.0481365052287465
"KCNS1",1297.08981871249,-0.313977522219328,0.289565324392816,6.48326558968155e-05,0.0481365052287465
"TM6SF2",31.7251327292454,0.462873725185443,0.571360965231584,7.05744108711578e-05,0.0487546441013838
