"Gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"TUBB3",113.446588896536,7.77823748899583,0.428301292780555,3.85624657138912e-74,6.33774124007802e-70
"RPS29",4355.1524307185,-1.8463996302773,0.142416933703286,3.17424290621099e-39,2.60843410817888e-35
"RPS12",5257.17596584598,-1.32974298776798,0.114009260041677,7.72014720878614e-32,4.22935397921334e-28
"LOC106890715",486.527205045514,1.5492020473366,0.156098693206006,9.60379441578337e-24,3.94595903058499e-20
"PSMB2",1897.34095532286,-0.571626086414842,0.0729199970990672,3.48349833817317e-17,1.07866048084243e-13
"LOC106899618",137.401967455165,-3.27737102702733,0.433895271367926,4.59423387033586e-17,1.07866048084243e-13
"LOC106900107",1363.68675270864,-0.464313761435988,0.0572524171381186,4.48870134814418e-17,1.07866048084243e-13
"BORCS8",97.1789549638578,-2.07063557902753,0.25897955572185,1.12413336358256e-16,2.30939147880991e-13
"LOC106896212",90.0962297619367,-1.06250256515615,0.152459718486856,1.00629006102548e-13,1.83759746143931e-10
"CDK10",803.974275606233,0.424174703232446,0.0606428571418316,3.99779280108022e-13,6.57037246857535e-10
"PLBD2",2428.24130733144,-0.594963754933456,0.0950119598517907,1.55847088411747e-12,2.32849718004279e-09
"PYCRL",612.87646903465,-0.638059129024163,0.109676579709316,9.62384557090408e-12,1.3180658496484e-08
"LOC106898934",541.316759060857,-1.16226318933689,0.198086010464658,2.09102515014814e-10,2.64353833405266e-07
"LOC106897801",345.307107452007,-0.816339806570226,0.177869128240501,4.22728346448958e-09,4.96252883849187e-06
"LOC106900582",226.896980472988,1.12782563643739,0.220920670053398,5.99861218710586e-09,6.57247941967232e-06
"LOC106895068",24107.662301687,-0.490852096770326,0.103333976365004,5.55330786394899e-08,5.70428842150011e-05
"LOC106891948",2820.57919120349,-0.451311391888477,0.0976478275954157,1.45459995005518e-07,0.000140625589289158
"LOC106884660",44.5566638471467,2.80005343620749,1.17588110362121,7.05524003317418e-07,0.000644182610806765
"CDH1-like",618.961577226513,0.578956717282264,0.168832442503848,8.78136927537285e-07,0.000759588442319751
"ACSF3",1341.47619743443,-0.364424571919154,0.0908719056766404,1.0969472064313e-06,0.000901416366884919
"LRIG2",747.990318198758,-0.293160886755445,0.0784265890779536,1.41317955786332e-06,0.0011059812396897
"LOC106896736",2024.28470765826,0.586229951040406,0.214690287589789,3.09073270662968e-06,0.00230891781970267
"EXOSC6",106.022144365977,-0.717035195588804,0.301244757333622,3.85735884243871e-06,0.00275633445980349
"LOC106887212",93.082348132188,1.53144909259318,0.697851542771406,4.12097820523749e-06,0.00282201153346159
"ATP5H",2697.04702498709,-0.362456456592868,0.110358347321874,4.42575264307514e-06,0.0029094897875576
"NPEPPS",4738.07290173418,-0.236701209999556,0.0872699014592188,6.91012549866205e-06,0.00436799663732734
"LOC106898227",7706.08910521387,-0.30681687686944,0.103707888106929,7.29233416803937e-06,0.00443887081673063
"ARPC1A",3251.56236757553,-0.240557346066924,0.0915439267331174,8.8386826727164e-06,0.00518799106164621
"LOC106900021",5358.86129842804,-0.241880418343582,0.104255805150782,1.82115689622375e-05,0.0103209357204956
"LOC106895075",19.6331424772105,1.11660830956818,0.904813150948202,1.94440406786602e-05,0.0106520936184593
"SPATA13",2896.4126989621,0.28738576538217,0.12436591303381,2.27244752348668e-05,0.0120476371124205
"LOC106897903",1299.36677945477,-0.374679879862208,0.181063913120303,2.64826116720751e-05,0.0136013038384548
"HP",6922.20542157285,-0.849990449256108,0.838790082304806,3.67129174688569e-05,0.0182841454121413
"MARS",3834.58753999769,-0.201974260938086,0.106698557265592,3.98569013374494e-05,0.0192661227494406
"CISH",1471.38046858616,0.575711398771094,0.554747843232395,4.85644328801046e-05,0.022804470125272
"PKM",22292.8201898918,-0.305213387466844,0.165519444355173,5.03965224541847e-05,0.0230074124037368
"SALL3",13.0719099603555,-0.643248140464411,0.819228492154229,6.80393943035677e-05,0.0302223633886253
"STYX",557.700762339822,-0.229211133889663,0.134095258838728,7.11566580416792e-05,0.0302989066338122
"PFKL",1970.53162679637,-0.253719107451277,0.149629029212722,7.37423952146327e-05,0.0302989066338122
"LOC106895212",6394.10907039528,0.138959959389813,0.0866457372190719,7.35005924076215e-05,0.0302989066338122
"PENK",3759.14472198897,0.296238390414716,0.973731009265721,0.000120032904149759,0.0480078419933705
"ASUN",3618.39148117981,-0.106896121483965,0.0693511250611259,0.000122685084497813,0.0480078419933705
