"Gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC106891644",18.1056445314678,-3.82054321924448,0.484501932694914,3.61331854413756e-16,6.04977923844951e-12
"LOC106895994",38.860595370794,6.81026439121668,0.882691984496044,1.72815372803903e-15,1.44672389342788e-11
"PLCG2",885.235421943451,-0.860845081553523,0.119559274579428,2.88201693080677e-13,1.60845364908326e-09
"LOC106900582",299.207351430325,1.59972706111112,0.231876271657847,6.18307887599628e-13,2.58808224052014e-09
"LOC106897624",474.64893498981,6.34964632338127,1.04794578410742,2.11968915807607e-10,7.09799111473353e-07
"KIAA1456",115.888721452351,1.94167489728814,0.354485578079529,9.35342942022112e-10,2.6100744797127e-06
"STAR",3133.04250125504,1.28985443110404,0.237016594306971,7.9582521440264e-09,1.66556269559292e-05
"LOC106899618",41.1300350523008,-3.28707824865139,0.67027490515621,7.67370427276064e-09,1.66556269559292e-05
"DPEP1",162.777311435945,1.09129960368122,0.205551048540943,1.13988742404612e-08,2.12057057120046e-05
"GAN",362.883204095578,0.796287700886509,0.184717148440892,2.63246111105371e-08,4.40752963823723e-05
"SPIRE2",224.708388052404,-0.815686957565923,0.201946763763741,6.01540959985103e-08,9.15600026639143e-05
"LOC106892024",3.56419387448778,-4.37290359330513,1.06615739582971,1.48823185520532e-07,0.000207645549597522
"BORCS8",230.842497021853,-1.60335099455086,0.375718617158434,1.82086372498156e-07,0.000234513241133586
"SV2C",56.0128795659282,-2.19037696908952,0.583254235484634,2.11929166497141e-07,0.000253452145332974
"ANKRD22",116.427788385186,1.63143527599454,0.453804336527202,5.63654966491593e-07,0.000629151673597916
"LOC106893787",34.6388918692569,1.2062967883819,0.374815605204426,1.11806273443069e-06,0.00116998277266081
"VPS4A",3738.58366531607,0.390600889789543,0.203157608107033,1.32537661670949e-06,0.00130534004079806
"LOC106887129",76.3809081147077,-3.84014677261407,2.95122329543764,4.9231718639329e-06,0.00457937036210159
"LOC106890715",649.987385402426,1.5944541282861,0.887440106485647,6.10561817403601e-06,0.00538033500462552
"PHYKPL",195.800326862669,-0.338070213649151,0.224284089937585,1.00570542022215e-05,0.00841926292538975
"LOC106897604",10802.2072607689,0.797477356756309,0.505259607603398,1.40383420090913e-05,0.0111925695361055
"LOC106898755",67.7098705869154,0.40230117809131,0.328129217112678,2.69123507691429e-05,0.0204815222239891
"RPS29",7460.47925975516,-0.589511287683344,0.525034520290458,4.35194321820951e-05,0.0308612765574148
"LOC106891625",18.7905274950166,0.884558115397668,0.984866360217511,4.42376298977456e-05,0.0308612765574148
"OBSL1",46.8796898924397,0.482702804422791,0.443276594966647,4.74603107341669e-05,0.0317851193048863
"HTR1A",38.1476770352518,-0.713243445516019,0.764040419200784,5.97552545685903e-05,0.0384800856631503
"LOC106890434",3075.92889363244,-0.515103659319496,0.514558182689371,6.45118100288766e-05,0.0400044901967956
"C1QB",64.0005954185521,-0.698472682604464,0.817098523493898,6.75480477545726e-05,0.0403913201269575
"LOC106886834",52.2552855631467,0.667220932630409,0.762673257178661,7.07756750975272e-05,0.0408619699364792
"RYR2",632.910191206223,-0.233534496736907,0.1752055738133,7.36723719980573e-05,0.0411165508121158
"PLBD2",643.073839408428,-0.38835338813668,0.402079353419695,7.83660214700374e-05,0.0423252354023496
"BCAT1",24972.5325804037,0.206045774002377,0.115615201086624,9.48230189964169e-05,0.0496131814705315
