"Gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"TUBB3",315.195871995996,8.46698350247846,0.375649992963782,2.15865206465183e-113,3.40548949719473e-109
"RPS29",4884.2965795505,-2.00480399930411,0.14767241432283,2.45109356616243e-43,1.93342260498892e-39
"PYCRL",582.561686635379,-0.979179830399483,0.090280078047689,7.86210454045993e-30,4.13441870767653e-26
"HSD17B2",44.0376302139729,4.14673138787831,0.411662256803213,6.74461881466116e-25,2.66007766050236e-21
"CDH3",766.732781000019,1.55864749853545,0.175482629427229,3.56950232693015e-21,1.126249374193e-17
"PSMB2",1909.45567032292,-0.63344129024636,0.070522800364185,4.98220966288392e-20,1.30998899402761e-16
"RPS12",3708.95815707031,-1.26860081514943,0.157349975901091,5.08076383682398e-19,1.14505900413907e-15
"LOC106890715",718.954160842566,2.02057334583475,0.258705325574295,1.50513872779588e-16,2.96813357121348e-13
"LOC106899618",104.955406502248,-3.39548899453477,0.442660035427848,1.85850632858492e-16,3.25775509330619e-13
"KCNE4",984.41051375278,0.97888021814037,0.133104154258531,8.0134260309444e-16,1.26419809064179e-12
"ARY2",1070.99083233658,-0.617224606180672,0.0811428021521847,4.46775219765145e-15,6.40756897001357e-12
"PLBD2",1337.59428797068,-0.787978101284848,0.107633672376057,1.17975327528288e-14,1.55098230590523e-11
"BORCS8",132.69689291188,-1.84531968239686,0.263020788610318,3.62236075388942e-14,4.39587409641226e-11
"PLCG2",195.773676718812,0.613826449234086,0.0875116539272809,2.83736138231135e-13,3.19730094052456e-10
"HSBP1",10575.9517148032,-0.296849214673942,0.0541276575328759,6.66206378053873e-13,7.00671454678527e-10
"LOC106896212",207.951475049706,-0.926110619906016,0.149246503317977,4.51442510320007e-12,4.45122315175527e-09
"CENPN",156.554118339969,-0.752863149340111,0.121833374900909,3.39129228721572e-11,2.97227928461751e-08
"LOC106900582",157.249819480717,1.46480036321998,0.260593508554683,3.34360471644621e-11,2.97227928461751e-08
"LOC106887212",5.6219746134238,5.79096159229216,0.941142237924327,1.3240013434378e-10,1.09933922074077e-07
"CSPG5",1541.40530506397,-0.559515672710329,0.0980359817071614,1.89646133420929e-10,1.49592870042429e-07
"ARHGDIG",3557.24580742165,-0.506474580304306,0.0964047122821297,3.60435660420761e-10,2.70772998990377e-07
"LOC106896042",30.0099645510458,3.06479720523869,0.610137830526371,3.02807925371093e-09,2.1714081048429e-06
"TAC1",11949.0009844587,-0.510698594382698,0.108447959954856,3.44853398846135e-09,2.36539444356375e-06
"VPS9D1",758.698043586473,0.476027289747758,0.107413716928994,4.08001113042196e-09,2.68192731639737e-06
"MAP6D1",1866.25865742753,0.454314076378079,0.112082858965218,1.03842599898111e-08,6.55288342397037e-06
"MOCOS",472.201789554576,0.707086327904534,0.144232911559789,1.48497531701973e-08,9.01037330819358e-06
"IAPP",246.587882461712,-0.95259618033891,0.209178746019257,1.79882286570693e-08,1.05104553812565e-05
"CDK10",1052.36819686459,0.264465764607415,0.067355092407309,2.31576853996348e-08,1.30477016023085e-05
"LOC106899806",552.244472059917,-0.388243928816848,0.111087654517652,2.82229700937836e-08,1.4841519206651e-05
"LOC106900628",98.1220870182355,0.821671809172306,0.176914692186355,2.7926621424738e-08,1.4841519206651e-05
"LOC106900510",280.538034060468,0.565814616252538,0.134088822652673,4.8318302695536e-08,2.45893401072508e-05
"ARHGEF5",186.534883779635,0.571736059365512,0.137016440070045,5.98709141513876e-08,2.95163606766341e-05
"SDR42E1",113.262282396564,0.698258712501953,0.159068258269266,7.28343282993927e-08,3.48192231288248e-05
"KCNE3",116.032960157058,1.10063923555325,0.281303311794942,8.43755900602754e-08,3.91502737879678e-05
"LOC106900307",166.040360059388,-0.85191327497957,0.201042636845196,8.68861408253075e-08,3.91633073617158e-05
"DHFR",625.05840857212,-0.281015691907207,0.0831805891514206,1.06946968744587e-07,4.68665383031836e-05
"CYTH3",3105.22485195321,0.213397746101682,0.0504510446773649,2.81748439304049e-07,0.0001201314426611
"LOC106893998",849.297232657525,-0.626266479217797,0.166425253913533,2.91110282478699e-07,0.000120856732010104
"PHLDB1",1799.26474649239,0.424268712813897,0.143295661471883,4.68036893490967e-07,0.00018932692389009
"PLEKHF1",667.970201039543,0.299315478450411,0.10406087018601,5.70009528025805e-07,0.000223397794297591
"SURF2",970.154885710971,-0.360934757292078,0.129616536040609,5.80585038425534e-07,0.000223397794297591
"WNK1",8620.16431197193,0.274269837073598,0.0907022362733569,6.16187427135371e-07,0.000231451734535419
"LOC106898118",185.840900085551,0.467597617467952,0.159052959454708,8.13916330927292e-07,0.000291826000834294
"APPL2",2365.14345552674,0.188825822832311,0.0436582489230597,8.1173379966091e-07,0.000291826000834294
"LLGL1",2879.29088887509,0.311229682264764,0.113437380705036,8.44605086097388e-07,0.000296099774183831
"LOC106900107",919.181149289976,-0.328064567474551,0.124853791686842,1.21343420659691e-06,0.000416155174853757
"FNBP1",3084.45492982066,0.426912001619267,0.159506656783475,1.43598345046932e-06,0.000459847658896028
"CEP97",1432.23626650785,0.171000558451571,0.0390999129043965,1.37388158081976e-06,0.000459847658896028
"STRADB",2136.03535537401,0.330234877915018,0.12782699492459,1.45742792500009e-06,0.000459847658896028
"HMOX1",3333.36339302982,0.421854350997518,0.15840828467621,1.45045714318295e-06,0.000459847658896028
"LOC106897801",194.717240891568,-0.49098714534011,0.176774573432812,1.69888836952177e-06,0.0005255228023054
"PPFIBP2",678.042320462593,0.683639649684592,0.228846115912895,1.94915726055453e-06,0.000591344325817465
"ELP6",569.647392881208,-0.224654367117533,0.0653596989274257,2.00372410951756e-06,0.000596429274561303
"SH3TC2",608.983449541915,0.365345632321873,0.148860944202916,2.46658224793239e-06,0.000720607435988544
"SSPO",209.720948954036,0.797388400665915,0.289946389649058,2.57008053988051e-06,0.000737192556311909
"HEATR5A",3494.02648310111,0.314504732187459,0.128020823238451,2.82910792641541e-06,0.0007941897773003
"LOC106895068",8102.26073054337,-0.160853551464219,0.0375893935109655,2.86947371362304e-06,0.0007941897773003
"RAB3B",8999.44572689199,-0.235861020558523,0.0764418294934782,3.01592900648981e-06,0.000820332689765228
"LOC106897903",2480.58659023628,-0.459073766208395,0.183091302297453,3.28091973937086e-06,0.000877284573022283
"EPHX4",3130.57179397597,-0.168883050237766,0.0404035429968291,3.35608283901673e-06,0.000882426047805466
"TXNIP",1963.39980714875,0.540485559937228,0.207708938632224,3.6769457204209e-06,0.000950942552219019
"ANKRD13A",3060.10255065098,0.223535262748544,0.0692345850900725,4.05650208115092e-06,0.00103218349729414
"NPM1",9739.89977431094,-0.156099034174547,0.0375280293884721,5.48415741289959e-06,0.00133104718993698
"TMEM185A",2259.54509608686,-0.185164844753523,0.0477102712264759,5.40144017531912e-06,0.00133104718993698
"FABP5",6376.97175327107,-0.196659902274798,0.0531937032240687,5.41846121261335e-06,0.00133104718993698
"LRRC66",1004.94284166928,0.762021524526377,0.32568967409795,5.7019029027951e-06,0.00136292757870448
"MMP17",2945.05532420577,-0.206887799668088,0.0599617106836656,6.13797451661075e-06,0.00144526396976196
"CLASP1",3581.37952421118,0.206622880072987,0.0600115613157103,6.37738258307893e-06,0.00147955275927431
"HN1",5739.16677797528,-0.202384377365856,0.0576586050477688,6.83852362349024e-06,0.00155886545686728
"GPATCH8",1125.066803329,0.631362112967518,0.266082245524239,6.91687259005512e-06,0.00155886545686728
"LOC106900946",113.311735754824,0.694025781486271,0.304558666877346,7.46130435026681e-06,0.00165788080887055
"CCDC40",2268.59678755602,-0.250355534871165,0.0972523141272761,7.75843518657302e-06,0.00169995935421356
"ADAMTS12",89.549270897362,0.43003068295545,0.194735604534756,7.91329130028142e-06,0.0017101381308663
"JAKMIP3",2651.03514525488,0.214277978121055,0.0672067239177655,8.0821497987192e-06,0.00172302696249452
"LOC106900269",105.823593977221,0.684460464120284,0.320203292618671,9.78259935839624e-06,0.00205773716637412
"B3GALNT2",2122.30829928669,0.163677760051423,0.0414431128663764,1.01157448347267e-05,0.00209840014250368
"MTHFD1",594.259585421243,-0.236413312460389,0.0884777069870608,1.02419378152119e-05,0.00209840014250368
"CGN",1016.4227006975,0.398599751654914,0.190067146241183,1.08078302939019e-05,0.00218595295790508
"ANKRD17",1237.79442747851,0.238804197055099,0.0925636418227174,1.20970391712246e-05,0.00241573278437012
"PPA1",9138.85377471347,-0.196286603025989,0.0572503650484063,1.26242342254315e-05,0.0024894989892551
"CTXN1",8004.42585310294,-0.216576869384297,0.0732026368080418,1.30488682635033e-05,0.0025414684657411
"ARHGEF28",1439.48678016554,0.232361418781173,0.087925869811765,1.34190166854754e-05,0.00258168789304952
"TAOK1",4638.79973611702,0.257349711030976,0.110351423182657,1.36269581926374e-05,0.00259010713791624
"FAM105A",1242.4619560509,-0.2043915400951,0.0637663249957326,1.42399687484366e-05,0.00267440174970638
"ARPC1A",5210.61243196449,-0.198670825665323,0.0599797879203032,1.51630386693662e-05,0.00281425997703436
"ATP5H",3189.57613984354,-0.217233742904008,0.0756208605144589,1.57150748308478e-05,0.00288280256431925
"TANGO6",1317.91079063522,-0.212243123841206,0.0717244077779971,1.67566826592716e-05,0.00303854512221458
"HEG1",3777.48508314052,0.2257356645157,0.0865480633896657,2.01104459537551e-05,0.00360525449280046
"GAL",5368.29279895336,-0.608588293056791,0.3327789846701,2.05331084770289e-05,0.00363966650936639
"ATP11C",2699.38739695945,0.224390365061343,0.0868570806770279,2.2868305779391e-05,0.0040085599108408
"NPPC",1313.03178212929,-0.355656613358133,0.190561729932663,2.51991933851415e-05,0.00436859862465926
"LOC106901166",109.892090489458,0.387346379640981,0.210121748875005,2.63304483090869e-05,0.0045150994839582
"COL4A3",41.4321132580207,0.630150201516441,0.398960674742713,2.87311801411857e-05,0.00487379675169189
"PDHB",7769.14777902796,-0.1669787667743,0.0462312459634777,3.09052490426462e-05,0.00518682137124241
"GEMIN2",1568.149738137,-0.178351831093128,0.0517006463933592,3.16992801475668e-05,0.00526408256429488
"ABHD6",3719.37780748641,-0.166664859524792,0.0464792743453846,3.41922955892955e-05,0.00561893390850757
"CNOT1",4670.52927560079,0.138179664351087,0.0364930954186884,3.93788844851513e-05,0.00640454929523451
"LOC106890757",1048.49705497999,0.284963764602268,0.15306594609754,3.99998346390498e-05,0.00643915705373111
"LOC106891587",50260.879521473,-0.164368771139592,0.0465496577696209,4.49541125199399e-05,0.00716359675873305
"TPCN1",1147.29298346485,0.237623986593593,0.111655460562028,4.60742481830813e-05,0.00722568473426066
"MYZAP",1548.85850989592,0.218418877729736,0.0906174364625195,4.62597716886617e-05,0.00722568473426066
"UCHL3",1921.45636221867,-0.17510315479804,0.0519518707207794,4.7096938521576e-05,0.00728432649133708
"SPG7",6739.1734907025,-0.161475396671728,0.0456325588803245,4.88402082627046e-05,0.00740868389954257
"RPGRIP1L",407.159797761459,0.262114988160029,0.137323622759678,4.86197789574173e-05,0.00740868389954257
"PPP2R3B",4509.08954075375,0.206834978674037,0.0787407393025406,4.97399488022678e-05,0.00747330887909121
