"Gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"TUBB3",253.182381639838,10.3346571792122,0.648656282705373,5.13998214441934e-58,8.16691762926789e-54
"RPS29",3691.35587226074,-1.9241431202136,0.126293826018612,3.02242958302215e-53,2.40116918223195e-49
"RPS12",2828.28761045951,-1.43453637108798,0.144867707534807,3.00320696638161e-26,1.59059851629458e-22
"PSMB2",1408.57340943884,-0.644868540132275,0.0807509271534151,1.00929978056769e-16,4.00919105336e-13
"VPS9D1",562.037840558088,0.751264216572792,0.0959003055239943,7.08946575333313e-16,2.2528904270942e-12
"LOC106900582",116.809694282283,1.59871143058807,0.220687176643257,1.22551439147768e-15,3.24536636103146e-12
"LOC106899618",89.273386854594,-3.00269484774468,0.391908350169209,3.16499148503034e-15,7.18407852937815e-12
"CDK10",722.80997591813,0.499796127483561,0.0820886587802184,2.55425123933048e-14,5.07306224271525e-11
"HSD17B2",12.830568720087,5.78411962482142,0.822408725366298,3.50242491614141e-14,6.18333661028564e-11
"LOC106896212",153.017634821998,-0.917379011168459,0.131593894651508,1.5839789296574e-13,2.51678412133264e-10
"PLBD2",873.669485831766,-0.752232253775178,0.107977176493802,3.25372195620943e-13,4.69985346929197e-10
"BORCS8",102.151925592656,-1.9050493016186,0.308957210383496,1.58523444229361e-11,2.09898250446694e-08
"BCO1",265.50013289384,-0.655310762885068,0.112327324193877,4.12959563120341e-11,5.04731884493777e-08
"PYCRL",436.671183702818,-0.806393134250362,0.13698236045802,1.63946363452338e-10,1.86067412063871e-07
"LOC106896042",21.5062102373568,2.69812804726494,0.490015157823479,3.84684236383097e-09,4.07483188792735e-06
"CENPN",148.066590785306,-0.727771768139211,0.163830732792963,1.89946975426959e-08,1.88629218284934e-05
"LOC106887212",3.22223838430081,4.7139710426604,1.01150612673135,2.34078738623556e-08,2.0662650433276e-05
"LOC106900107",675.436445004186,-0.277717024328087,0.0645416407346574,2.24188475576065e-08,2.0662650433276e-05
"FAM102B",1205.56164335807,-0.337115063461441,0.101956549395209,6.00347249514592e-08,5.02048286712492e-05
"LOC106890715",471.163861046994,1.11554998962201,0.305636933156694,1.74902096201885e-07,0.000138052788532655
"LOC106897801",144.627221502503,-0.59499603356293,0.186140811216618,1.82460101906083e-07,0.000138052788532655
"LOC106887443",1672.8542783715,-0.582692144790154,0.186248945643634,2.00057305067903e-07,0.00014448684182836
"KCNE3",72.8735862945337,1.02042796299035,0.308687148655903,4.08419966220953e-07,0.000282147167099336
"DPEP1",5.81629969481559,2.97935368392373,0.941038519152629,6.97725634520581e-07,0.000461923441954063
