N_unmapped	5926304	5926304	5926304
N_multimapping	2266330	2266330	2266330
N_noFeature	11653831	47005702	12406800
N_ambiguous	194162	2202	56903
SLC35D3	32	0	32
IL20RA	694	6	688
IL22RA2	0	0	0
IFNGR1	1309	22	1287
OLIG3	0	0	0
LOC106887325	237	7	230
LOC106888020	4	0	4
LOC106888514	25	0	25
LOC106889615	224	5	219
LOC106888963	0	0	0
ENTPD4	1554	19	1535
LOXL2	68	13	55
R3HCC1	1414	33	1381
LOC106893840	4	0	4
CHMP7	1961	24	1937
LOC106894569	0	0	0
LOC106890301	175	3	172
RHOBTB2	1331	21	1310
PEBP4	212	1	211
EGR3	91	4	87
BIN3	565	10	555
PDLIM2	8	0	8
RFC5	424	14	410
WSB2	790	10	780
LOC106902700	24	0	24
DTX1	37	0	37
EWSR1	3846	76	3770
GAS2L1	788	23	765
AP1B1	3142	49	3093
LOC106884545	7	0	7
LOC106886774	30	1	29
NEFH	2511	39	2472
THOC5	2063	21	2042
NF2	1410	19	1391
CABP7	1	0	1
ZMAT5	633	3	630
LOC106885327	2267	33	2234
ASCC2	1823	22	1801
MTMR3	2008	24	1984
LOC106887058	1790	25	1766
LOC106888081	723	17	706
HORMAD2	15	0	15
LIF	14	0	14
LOC106886083	0	0	0
LOC106885400	89	0	89
LOC106884710	3	0	3
TBC1D10A	2843	46	2797
SF3A1	6322	90	6232
CCDC157	523	9	514
RNF215	970	14	956
SEC14L2	733	22	711
MTFP1	238	1	237
LOC106884822	1	0	1
GAL3ST1	32	1	32
PES1	2149	51	2098
TCN2	465	60	405
SLC35E4	528	12	516
LOC106885768	442	9	433
IQCD	132	1	131
OSBP2	404	7	397
LOC106886039	1	0	1
RTN4R	28	0	28
LOC106887820	516	14	502
SCARF2	854	11	843
DGCR6L	2532	47	2485
SLC7A4	2021	34	2186
LRRC74B	43	208	34
P2RX6	1390	24	1368
LOC106887664	89	3	88
AIFM3	118	0	118
LOC106888560	1376	23	1353
LOC106889924	8703	111	8592
GLE1	834	13	821
ODF2	2512	31	2481
PTGES2	1528	20	1508
LOC106892294	824	21	805
CIZ1	3730	179	3554
DNM1	16083	219	15865
GOLGA2	5847	269	5578
TRUB2	703	39	664
COQ4	630	9	621
TRNAR-UCU	0	0	0
SLC27A4	1817	29	1788
URM1	1677	32	1645
CERCAM	273	4	269
PTRH1	377	2	375
LOC106893081	22	143	38
TOR2A	515	72	602
SH2D3C	759	6	753
CDK9	426	5	421
FPGS	759	15	744
ENG	1054	32	1022
AK1	1965	34	1931
ST6GALNAC6	2529	33	2496
ST6GALNAC4	122	0	122
LOC106893344	55	2	53
DPM2	628	4	624
LOC106890302	0	0	0
FAM102A	189	7	182
LOC106890977	73	1	72
NAIF1	1001	43	958
SLC25A25	3172	41	3131
LOC106890377	0	0	0
LOC106889864	0	0	0
COL27A1	1655	45	1613
LOC106892427	27	0	30
MEGF9	536	10	526
LOC106890517	0	0	0
CDK5RAP2	1015	15	1000
BRINP1	3193	49	3144
LOC106889715	130	5	125
LOC106889763	7	0	7
LOC106889816	2	0	2
TLR4	16	0	16
LOC106890599	111	3	108
LOC106891030	9	0	9
LOC106890683	325	8	317
BRIP1	516	8	508
LOC106898033	2	1	1
TBX4	259	6	253
TBX2	553	20	533
BCAS3	2518	44	2474
PPM1D	2326	38	2288
APPBP2	2107	42	2065
LOC106897904	22	1	21
LOC106897027	41	1	40
USP32	3503	62	3441
CA4	114	3	111
LOC106902655	82	20	62
ZNHIT3	769	20	757
LOC106902563	902	39	871
LOC106894333	46	5	55
PIGW	696	333	377
GGNBP2	2501	42	2459
DHRS11	1281	12	1269
LOC106894423	3	0	3
LOC106894037	235	1	234
LHX1	118	1	117
AATF	764	19	745
ACACA	3024	61	2963
LOC106894643	169	166	3
TADA2A	1331	31	1300
DUSP14	4703	63	4640
SYNRG	4354	64	4291
LOC106897083	1	0	1
LOC106895116	283	10	273
LOC106895606	105	0	105
HNF1B	0	0	0
HEATR6	1549	22	1527
DYNLL2	6807	90	6717
SRSF1	15229	249	14980
VEZF1	4329	80	4249
CUEDC1	2124	47	2078
MRPS23	2536	36	2500
MSI2	1868	354	1514
AKAP1	3227	41	3186
LOC106896883	2314	1403	912
NF1	1236	197	1044
EVI2A	20	1	19
EVI2B	21	3	18
OMG	423	9	414
WSB1	8304	131	8177
KSR1	769	8	761
NOS2	332	5	327
LYRM9	331	4	327
NLK	2027	38	1989
TMEM97	676	15	661
