N_unmapped	4430486	4430486	4430486
N_multimapping	1576409	1576409	1576409
N_noFeature	10103566	35406782	10699868
N_ambiguous	148890	2458	44309
SLC35D3	24	0	24
IL20RA	258	3	255
IL22RA2	3	0	3
IFNGR1	1235	25	1210
OLIG3	0	0	0
LOC106887325	238	10	228
LOC106888020	7	0	7
LOC106888514	21	2	19
LOC106889615	139	0	139
LOC106888963	0	0	0
ENTPD4	1192	19	1173
LOXL2	72	11	61
R3HCC1	935	36	899
LOC106893840	5	0	5
CHMP7	1620	19	1601
LOC106894569	0	0	0
LOC106890301	189	6	183
RHOBTB2	795	6	789
PEBP4	83	0	83
EGR3	198	10	188
BIN3	565	6	559
PDLIM2	5	0	5
RFC5	217	15	203
WSB2	771	8	764
LOC106902700	15	0	15
DTX1	21	0	21
EWSR1	2773	48	2725
GAS2L1	505	17	488
AP1B1	1944	38	1906
LOC106884545	0	0	0
LOC106886774	33	3	30
NEFH	1557	26	1531
THOC5	1394	14	1380
NF2	1050	6	1045
CABP7	5	3	2
ZMAT5	336	6	330
LOC106885327	1683	30	1653
ASCC2	1204	20	1185
MTMR3	2191	38	2153
LOC106887058	1250	15	1237
LOC106888081	206	7	199
HORMAD2	10	1	9
LIF	17	0	17
LOC106886083	2	0	2
LOC106885400	73	2	71
LOC106884710	9	0	9
TBC1D10A	2428	29	2399
SF3A1	3838	64	3774
CCDC157	350	2	348
RNF215	764	15	749
SEC14L2	554	32	522
MTFP1	191	0	191
LOC106884822	0	0	0
GAL3ST1	37	2	37
PES1	1458	22	1436
TCN2	189	30	159
SLC35E4	368	11	357
LOC106885768	329	2	327
IQCD	77	0	77
OSBP2	319	1	318
LOC106886039	3	0	3
RTN4R	34	0	34
LOC106887820	713	6	707
SCARF2	923	10	913
DGCR6L	1640	58	1582
SLC7A4	1452	54	1511
LRRC74B	58	111	60
P2RX6	1200	30	1170
LOC106887664	264	3	261
AIFM3	302	2	300
LOC106888560	1335	12	1323
LOC106889924	8526	137	8389
GLE1	673	19	654
ODF2	1815	26	1789
PTGES2	981	6	975
LOC106892294	568	10	558
CIZ1	2568	143	2425
DNM1	11571	159	11413
GOLGA2	4261	627	3635
TRUB2	490	15	477
COQ4	496	6	492
TRNAR-UCU	0	0	0
SLC27A4	1334	18	1316
URM1	1281	42	1239
CERCAM	258	3	255
PTRH1	182	4	178
LOC106893081	21	137	25
TOR2A	673	38	776
SH2D3C	626	7	619
CDK9	370	2	368
FPGS	547	3	544
ENG	494	23	471
AK1	1102	7	1095
ST6GALNAC6	2306	32	2274
ST6GALNAC4	92	2	90
LOC106893344	63	0	63
DPM2	353	8	345
LOC106890302	3	0	3
FAM102A	251	6	245
LOC106890977	40	1	39
NAIF1	801	13	788
SLC25A25	2587	20	2567
LOC106890377	0	0	0
LOC106889864	0	0	0
COL27A1	1759	55	1707
LOC106892427	27	0	30
MEGF9	611	9	602
LOC106890517	0	0	0
CDK5RAP2	916	24	892
BRINP1	1824	30	1794
LOC106889715	266	1	265
LOC106889763	12	0	12
LOC106889816	3	0	3
TLR4	10	0	10
LOC106890599	9	0	9
LOC106891030	0	0	0
LOC106890683	193	5	188
BRIP1	333	5	328
LOC106898033	0	0	0
TBX4	29	0	29
TBX2	256	3	253
BCAS3	1294	26	1268
PPM1D	1661	28	1633
APPBP2	1277	29	1248
LOC106897904	7	0	7
LOC106897027	16	0	16
USP32	3343	60	3283
CA4	126	2	124
LOC106902655	80	18	62
ZNHIT3	602	13	594
LOC106902563	756	29	732
LOC106894333	69	6	83
PIGW	754	544	230
GGNBP2	1809	33	1776
DHRS11	1075	12	1063
LOC106894423	0	0	0
LOC106894037	146	0	146
LHX1	65	2	64
AATF	755	16	739
ACACA	3083	97	2987
LOC106894643	186	184	3
TADA2A	842	15	827
DUSP14	3083	51	3032
SYNRG	3698	59	3640
LOC106897083	0	0	0
LOC106895116	174	4	170
LOC106895606	56	1	55
HNF1B	0	0	0
HEATR6	1164	25	1139
DYNLL2	5697	97	5600
SRSF1	11130	187	10943
VEZF1	3748	61	3687
CUEDC1	1856	34	1822
MRPS23	1724	36	1688
MSI2	1437	301	1136
AKAP1	2547	45	2502
LOC106896883	1753	836	922
NF1	1506	173	1338
EVI2A	7	2	5
EVI2B	10	0	10
OMG	169	4	165
WSB1	5555	82	5473
KSR1	740	5	735
NOS2	159	2	157
LYRM9	161	1	160
NLK	1777	31	1746
TMEM97	704	22	682
IFT20	780	17	763
TNFAIP1	3030	48	2982
SGSM2	10326	1923	10980
LOC106901471	30	2223	384
MNT	542	11	531
PAFAH1B1	8703	103	8600
CLUH	2708	41	2667
RAP1GAP2	31702	493	31209
LOC106894782	103	34	69
WSCD1	483	12	471
XAF1	75	0	75
SLC13A5	318	9	309
MED31	533	11	522
KIAA0753	1434	339	1095
PITPNM3	3708	83	3754
FAM64A	147	155	122
LOC106897863	10	434	216
TEKT1	763	84	829
SMTNL2	2955	723	2682
LOC106897834	5943	85	5887
ASCL3	297	6	291
TMEM9B	2145	32	2113
NRIP3	611	11	600
SCUBE2	908	12	896
LOC106902749	26	0	26
DENND5A	2270	44	2226
TMEM41B	1615	35	1581
LOC106902704	61	7	55
IPO7	4269	66	4203
ZNF143	1305	25	1280
WEE1	172	2	170
LOC106902744	11	0	11
SWAP70	1560	42	1741
LOC106902813	36	246	12
LOC106902754	3	0	4
SBF2	2804	52	2752
LOC106902787	2	0	2
ADM	50	4	46
AMPD3	419	14	405
LOC106902780	91	7	84
RNF141	3626	46	3580
LYVE1	46	1	45
LOC106902940	62	0	62
MRVI1	233	3	230
CTR9	1974	34	1940
EIF4G2	46364	646	45718
GALNT18	1072	28	1044
USP47	1934	134	1801
LOC106902733	818	8	811
RASEF	462	9	453
FRMD3	1265	20	1245
IDNK	256	6	251
UBQLN1	4039	67	3973
GKAP1	414	2	412
KIF27	1103	39	1064
LOC106884592	2701	39	2662
HNRNPK	10231	154	10078
RMI1	3020	39	2982
SLC28A3	2	2	0
NTRK2	928	10	918
AGTPBP1	2037	36	2001
NAA35	2376	113	2263
GOLM1	2491	68	2423
ISCA1	1715	40	1675
ZCCHC6	2931	45	2886
GAS1	405	9	396
DAPK1	2996	42	2954
CTSL	5086	92	4994
LOC106884634	8	8	0
LOC106884560	465	4	461
LOC106884837	3444	48	3396
FANCC	705	37	668
PTCH1	1583	61	1522
ERCC6L2	2828	45	2783
HSD17B3	3819	62	3757
SLC35D2	1655	15	1640
ZNF367	1381	9	1372
HABP4	1200	24	1176
CDC14B	2921	47	2874
AAED1	488	20	468
