N_unmapped	4852767	4852767	4852767
N_multimapping	1944749	1944749	1944749
N_noFeature	10303279	35785612	10845481
N_ambiguous	201843	1705	62402
SLC35D3	564	5	559
IL20RA	39	0	39
IL22RA2	5	0	5
IFNGR1	664	14	650
OLIG3	0	0	0
LOC106887325	91	1	90
LOC106888020	5	0	5
LOC106888514	73	3	70
LOC106889615	135	0	135
LOC106888963	0	0	0
ENTPD4	1168	19	1149
LOXL2	47	6	41
R3HCC1	1890	36	1854
LOC106893840	10	0	10
CHMP7	1657	22	1635
LOC106894569	2	0	2
LOC106890301	94	4	90
RHOBTB2	1149	11	1138
PEBP4	1755	26	1729
EGR3	2723	61	2662
BIN3	302	25	277
PDLIM2	22	0	22
RFC5	128	10	118
WSB2	852	9	843
LOC106902700	677	10	667
DTX1	731	9	722
EWSR1	1435	26	1409
GAS2L1	1013	9	1004
AP1B1	3411	44	3367
LOC106884545	0	0	0
LOC106886774	9	0	9
NEFH	6717	123	6594
THOC5	1349	16	1333
NF2	733	19	714
CABP7	167	4	163
ZMAT5	583	6	577
LOC106885327	3984	47	3937
ASCC2	804	6	798
MTMR3	724	12	712
LOC106887058	1436	13	1423
LOC106888081	56	2	54
HORMAD2	4	0	4
LIF	14	0	14
LOC106886083	0	0	0
LOC106885400	74	0	74
LOC106884710	4	0	4
TBC1D10A	4200	60	4141
SF3A1	3501	40	3462
CCDC157	121	3	119
RNF215	1237	25	1263
SEC14L2	326	54	323
MTFP1	384	5	380
LOC106884822	8	1	7
GAL3ST1	1698	30	1668
PES1	1432	26	1406
TCN2	132	11	121
SLC35E4	492	6	486
LOC106885768	430	8	422
IQCD	43	0	43
OSBP2	460	8	452
LOC106886039	16	0	16
RTN4R	2552	25	2527
LOC106887820	3018	48	2970
SCARF2	1360	15	1345
DGCR6L	4712	41	4671
SLC7A4	3089	52	3371
LRRC74B	0	330	4
P2RX6	660	8	652
LOC106887664	152	8	144
AIFM3	159	3	156
LOC106888560	158	1	157
LOC106889924	10348	137	10211
GLE1	502	10	492
ODF2	1100	14	1086
PTGES2	4596	58	4538
LOC106892294	488	20	469
CIZ1	2717	129	2589
DNM1	28732	412	28321
GOLGA2	2876	52	2825
TRUB2	873	18	858
COQ4	749	17	735
TRNAR-UCU	0	0	0
SLC27A4	2481	41	2440
URM1	2981	1367	1614
CERCAM	1766	20	1746
PTRH1	295	9	286
LOC106893081	5	46	7
TOR2A	167	6	209
SH2D3C	3140	50	3090
CDK9	327	1	326
FPGS	453	8	445
ENG	356	25	331
AK1	3027	34	2993
ST6GALNAC6	2645	35	2610
ST6GALNAC4	31	0	31
LOC106893344	14	1	13
DPM2	506	6	500
LOC106890302	1	0	1
FAM102A	331	8	323
LOC106890977	32	0	32
NAIF1	729	16	713
SLC25A25	3840	39	3801
LOC106890377	1	1	0
LOC106889864	0	0	0
COL27A1	566	22	544
LOC106892427	13	0	13
MEGF9	1321	27	1294
LOC106890517	0	0	0
CDK5RAP2	286	8	278
BRINP1	8570	117	8453
LOC106889715	368	6	362
LOC106889763	6	0	6
LOC106889816	1	0	1
TLR4	32	0	32
LOC106890599	44	0	44
LOC106891030	2	0	2
LOC106890683	210	2	208
BRIP1	166	5	161
LOC106898033	2	0	2
TBX4	4	3	1
TBX2	93	0	93
BCAS3	1783	21	1762
PPM1D	943	17	926
APPBP2	2366	48	2318
LOC106897904	4	0	4
LOC106897027	23	1	22
USP32	3457	50	3407
CA4	282	4	278
LOC106902655	20	0	20
ZNHIT3	586	8	579
LOC106902563	635	19	617
LOC106894333	41	8	41
PIGW	403	220	191
GGNBP2	1287	26	1261
DHRS11	587	11	576
LOC106894423	0	0	0
LOC106894037	239	7	232
LHX1	34	6	28
AATF	612	9	603
ACACA	3620	57	3563
LOC106894643	24	24	0
TADA2A	1266	20	1246
DUSP14	5217	78	5139
SYNRG	2863	69	2794
LOC106897083	0	0	0
LOC106895116	216	5	211
LOC106895606	55	1	54
HNF1B	0	0	0
HEATR6	403	10	393
DYNLL2	9733	129	9604
SRSF1	8103	154	7949
VEZF1	2059	26	2033
CUEDC1	1797	27	1770
MRPS23	1806	36	1770
MSI2	892	13	879
AKAP1	2765	50	2715
LOC106896883	2247	2059	188
NF1	675	37	641
EVI2A	3	0	3
EVI2B	18	0	18
OMG	1848	26	1824
WSB1	3285	35	3251
KSR1	251	3	248
NOS2	120	0	120
LYRM9	225	0	225
NLK	2035	36	2001
TMEM97	913	19	894
IFT20	346	13	333
TNFAIP1	2478	47	2431
SGSM2	8407	353	9540
LOC106901471	2	1415	73
MNT	415	9	406
PAFAH1B1	9385	117	9268
CLUH	3508	52	3458
RAP1GAP2	2923	41	2882
LOC106894782	32	1	31
WSCD1	3008	52	2956
XAF1	183	5	178
SLC13A5	1798	31	1767
MED31	749	7	742
KIAA0753	700	175	525
PITPNM3	6580	112	7385
FAM64A	50	916	51
LOC106897863	3	105	71
TEKT1	203	41	188
SMTNL2	949	275	794
LOC106897834	1631	20	1615
ASCL3	191	4	187
TMEM9B	3845	59	3786
NRIP3	7779	113	7666
SCUBE2	238	4	234
LOC106902749	183	0	183
DENND5A	3521	47	3474
TMEM41B	1850	33	1819
LOC106902704	48	4	46
IPO7	3848	58	3790
ZNF143	458	3	455
WEE1	135	1	134
LOC106902744	14	0	14
SWAP70	977	22	1089
