N_unmapped	6379866	6379866	6379866
N_multimapping	2473159	2473159	2473159
N_noFeature	12716032	46959966	13012704
N_ambiguous	253115	1353	93465
SLC35D3	5845	13	5832
IL20RA	2509	24	2485
IL22RA2	43	0	43
IFNGR1	1371	0	1371
OLIG3	0	0	0
LOC106887325	711	6	705
LOC106888020	3	0	3
LOC106888514	35	0	35
LOC106889615	227	0	227
LOC106888963	11	2	9
ENTPD4	984	0	984
LOXL2	546	4	545
R3HCC1	2242	99	2146
LOC106893840	7	0	7
CHMP7	2884	2	2882
LOC106894569	3	0	3
LOC106890301	686	1	685
RHOBTB2	1248	4	1244
PEBP4	83	0	83
EGR3	207	0	207
BIN3	961	1	960
PDLIM2	49	0	49
RFC5	574	9	565
WSB2	1053	3	1050
LOC106902700	13	0	13
DTX1	32	0	32
EWSR1	2195	9	2186
GAS2L1	1995	29	1966
AP1B1	6073	14	6059
LOC106884545	0	0	0
LOC106886774	85	0	85
NEFH	1740	1	1739
THOC5	2750	3	2747
NF2	1683	0	1683
CABP7	3	0	3
ZMAT5	721	2	719
LOC106885327	4061	12	4049
ASCC2	2004	2	2002
MTMR3	2878	0	2878
LOC106887058	1375	5	1370
LOC106888081	7688	4	7684
HORMAD2	51	0	51
LIF	21	1	20
LOC106886083	13	0	13
LOC106885400	88	0	88
LOC106884710	9	0	9
TBC1D10A	2734	10	2725
SF3A1	8699	10	8689
CCDC157	361	4	358
RNF215	1483	4	1480
SEC14L2	918	50	868
MTFP1	267	0	268
LOC106884822	0	0	0
GAL3ST1	273	0	273
PES1	3987	6	3981
TCN2	1127	26	1101
SLC35E4	508	1	507
LOC106885768	135	0	135
IQCD	8	0	8
OSBP2	400	0	400
LOC106886039	1	0	1
RTN4R	2345	4	2341
LOC106887820	1785	2	1783
SCARF2	1581	4	1577
DGCR6L	3246	23	3223
SLC7A4	2865	28	3072
LRRC74B	39	241	33
P2RX6	562	0	562
LOC106887664	4	0	4
AIFM3	9	0	9
LOC106888560	1506	13	1493
LOC106889924	10660	11	10649
GLE1	649	1	648
ODF2	2160	5	2155
PTGES2	5403	0	5403
LOC106892294	763	2	764
CIZ1	1564	107	1460
DNM1	2261	5	2258
GOLGA2	3372	29	3343
TRUB2	965	43	922
