N_unmapped	5729212	5729212	5729212
N_multimapping	2013264	2013264	2013264
N_noFeature	11514623	37922174	12072069
N_ambiguous	209931	1649	60683
SLC35D3	491	5	486
IL20RA	41	2	39
IL22RA2	3	1	2
IFNGR1	507	15	492
OLIG3	0	0	0
LOC106887325	74	1	73
LOC106888020	3	0	3
LOC106888514	27	0	27
LOC106889615	132	2	130
LOC106888963	0	0	0
ENTPD4	1231	18	1213
LOXL2	43	14	29
R3HCC1	1875	57	1818
LOC106893840	10	0	10
CHMP7	1416	23	1393
LOC106894569	1	0	1
LOC106890301	69	2	67
RHOBTB2	965	14	951
PEBP4	1769	19	1750
EGR3	1946	56	1890
BIN3	316	13	303
PDLIM2	7	0	7
RFC5	185	20	165
WSB2	647	10	637
LOC106902700	604	12	592
DTX1	702	3	699
EWSR1	1291	17	1274
GAS2L1	1125	16	1109
AP1B1	3527	46	3481
LOC106884545	1	0	1
LOC106886774	8	1	7
NEFH	6528	152	6376
THOC5	1187	21	1166
NF2	702	13	689
CABP7	111	3	108
ZMAT5	484	5	479
LOC106885327	5490	84	5406
ASCC2	878	20	858
MTMR3	550	6	544
LOC106887058	1298	15	1284
LOC106888081	142	1	141
HORMAD2	4	0	4
LIF	10	1	9
LOC106886083	0	0	0
LOC106885400	70	7	63
LOC106884710	2	0	2
TBC1D10A	4094	51	4043
SF3A1	3416	44	3372
CCDC157	147	7	140
RNF215	1318	18	1300
SEC14L2	437	5	432
MTFP1	310	4	306
LOC106884822	9	0	9
GAL3ST1	1579	23	1557
PES1	1988	21	1967
TCN2	137	6	131
SLC35E4	521	7	514
LOC106885768	466	4	462
IQCD	55	0	55
OSBP2	381	5	376
LOC106886039	15	0	15
RTN4R	2438	49	2389
LOC106887820	3672	45	3627
SCARF2	1291	12	1279
DGCR6L	5567	89	5478
SLC7A4	3213	44	3503
LRRC74B	1	331	4
P2RX6	619	4	615
LOC106887664	129	11	118
AIFM3	154	3	151
LOC106888560	208	9	199
LOC106889924	8082	120	7962
GLE1	510	4	506
ODF2	1102	14	1088
PTGES2	5001	51	4950
LOC106892294	525	30	496
CIZ1	2750	208	2543
DNM1	23976	339	23638
GOLGA2	2791	50	2742
TRUB2	744	17	728
COQ4	884	9	876
TRNAR-UCU	0	0	0
SLC27A4	2453	29	2424
URM1	2972	1126	1846
CERCAM	1790	20	1770
PTRH1	390	12	378
LOC106893081	6	41	11
TOR2A	147	12	181
SH2D3C	2170	36	2134
CDK9	285	1	284
FPGS	545	9	536
ENG	388	17	371
AK1	3656	54	3602
ST6GALNAC6	2727	41	2686
ST6GALNAC4	34	0	34
LOC106893344	35	0	35
DPM2	679	6	673
LOC106890302	2	0	2
FAM102A	244	2	242
LOC106890977	23	2	21
NAIF1	789	19	770
SLC25A25	4137	52	4085
LOC106890377	2	2	0
LOC106889864	0	0	0
COL27A1	542	28	514
LOC106892427	23	0	23
MEGF9	1156	21	1135
LOC106890517	0	0	0
CDK5RAP2	351	6	345
BRINP1	8317	139	8178
LOC106889715	387	11	376
LOC106889763	16	0	16
LOC106889816	7	0	7
TLR4	52	1	51
LOC106890599	71	0	71
LOC106891030	5	0	5
LOC106890683	114	2	112
BRIP1	163	3	160
LOC106898033	2	0	2
TBX4	4	4	0
TBX2	92	2	90
BCAS3	1610	20	1590
PPM1D	1041	17	1024
APPBP2	2262	23	2239
LOC106897904	5	2	3
LOC106897027	29	11	18
USP32	3113	33	3080
CA4	453	3	450
LOC106902655	13	2	11
ZNHIT3	886	18	870
LOC106902563	497	34	465
LOC106894333	46	10	37
PIGW	329	135	195
GGNBP2	1425	20	1405
DHRS11	543	8	535
LOC106894423	1	0	1
LOC106894037	261	4	257
LHX1	40	1	39
AATF	622	11	611
ACACA	3422	41	3381
LOC106894643	11	11	0
TADA2A	1490	27	1463
DUSP14	5315	88	5227
SYNRG	3145	61	3084
LOC106897083	0	0	0
LOC106895116	265	6	259
LOC106895606	19	0	19
HNF1B	0	0	0
HEATR6	350	4	346
DYNLL2	11025	131	10894
SRSF1	8792	135	8657
VEZF1	2038	24	2014
CUEDC1	1739	24	1715
MRPS23	2250	30	2220
MSI2	971	16	955
AKAP1	2685	42	2644
LOC106896883	2050	1833	218
NF1	563	56	507
EVI2A	7	1	6
EVI2B	20	0	20
OMG	1493	25	1468
WSB1	3952	70	3882
KSR1	220	2	218
NOS2	78	0	78
LYRM9	239	3	236
NLK	2235	36	2201
TMEM97	997	21	976
IFT20	380	10	370
TNFAIP1	2348	27	2321
SGSM2	7957	351	8907
LOC106901471	7	1208	100
MNT	418	13	405
PAFAH1B1	7374	115	7259
CLUH	3336	43	3295
RAP1GAP2	2734	36	2698
LOC106894782	47	2	45
WSCD1	3182	41	3141
XAF1	292	4	288
SLC13A5	2115	21	2094
MED31	873	14	859
KIAA0753	670	108	562
PITPNM3	6686	136	7721
FAM64A	50	1161	60
LOC106897863	5	119	66
TEKT1	232	38	217
SMTNL2	1049	295	886
LOC106897834	1746	17	1730
ASCL3	238	4	234
TMEM9B	4453	48	4405
NRIP3	6398	73	6325
SCUBE2	388	6	382
LOC106902749	125	2	123
DENND5A	3881	50	3831
TMEM41B	1997	26	1972
LOC106902704	66	10	57
IPO7	3845	56	3789
ZNF143	421	6	415
WEE1	129	1	128
LOC106902744	11	0	11
SWAP70	918	21	1006
LOC106902813	9	116	2
LOC106902754	0	0	0
SBF2	1628	25	1603
LOC106902787	6	0	6
ADM	38	6	32
AMPD3	538	21	517
LOC106902780	640	10	630
RNF141	4357	81	4276
LYVE1	65	1	64
LOC106902940	2000	38	1962
