N_unmapped	4795089	4795089	4795089
N_multimapping	2434625	2434625	2434625
N_noFeature	7651848	34864743	8660919
N_ambiguous	379872	8355	86105
SLC35D3	0	0	0
IL20RA	71	32	39
IL22RA2	7	1	6
IFNGR1	196	6	190
OLIG3	3	0	3
LOC106887325	426	20	406
LOC106888020	48	1	47
LOC106888514	65	2	63
LOC106889615	253	1	252
LOC106888963	6	0	6
ENTPD4	7069	105	6964
LOXL2	171	5	167
R3HCC1	829	27	803
LOC106893840	0	0	0
CHMP7	4952	99	4853
LOC106894569	0	0	0
LOC106890301	51	1	50
RHOBTB2	336	7	329
PEBP4	296	5	291
EGR3	105	4	101
BIN3	490	5	485
PDLIM2	0	0	0
RFC5	292	18	276
WSB2	712	16	698
LOC106902700	340	2	338
DTX1	7	1	6
EWSR1	2745	52	2693
GAS2L1	469	26	443
AP1B1	1215	18	1197
LOC106884545	1	0	1
LOC106886774	6	0	6
NEFH	742	18	724
THOC5	2981	43	2938
NF2	1208	22	1186
CABP7	6	0	6
ZMAT5	1611	28	1587
LOC106885327	7212	95	7121
ASCC2	1512	40	1472
MTMR3	668	15	653
LOC106887058	557	9	548
LOC106888081	1198	24	1174
HORMAD2	3542	45	3497
LIF	2	0	2
LOC106886083	0	0	0
LOC106885400	15	3	12
LOC106884710	3	0	3
TBC1D10A	1922	32	1891
SF3A1	2238	31	2207
CCDC157	8282	138	8144
RNF215	116	3	114
SEC14L2	182	9	174
MTFP1	1715	31	1685
LOC106884822	7	2	5
GAL3ST1	485	6	479
PES1	1265	48	1217
TCN2	186	10	176
SLC35E4	28	1	27
LOC106885768	190	5	185
IQCD	10578	183	10395
OSBP2	112	5	107
LOC106886039	1503	27	1476
RTN4R	8	0	8
LOC106887820	1164	17	1147
SCARF2	246	6	240
DGCR6L	3554	58	3496
SLC7A4	106	2	117
LRRC74B	39	16	36
P2RX6	379	4	375
LOC106887664	25	3	22
AIFM3	161	4	157
LOC106888560	434	34	400
LOC106889924	1032	19	1013
GLE1	1297	63	1234
