N_unmapped	8004341	8004341	8004341
N_multimapping	3242720	3242720	3242720
N_noFeature	16603696	59459448	17529090
N_ambiguous	333335	2889	102610
SLC35D3	382	3	379
IL20RA	212	3	209
IL22RA2	12	0	12
IFNGR1	1079	21	1058
OLIG3	8	0	8
LOC106887325	214	6	208
LOC106888020	2	2	0
LOC106888514	46	0	46
LOC106889615	133	1	132
LOC106888963	0	0	0
ENTPD4	1430	18	1412
LOXL2	51	3	48
R3HCC1	3474	61	3413
LOC106893840	9	0	9
CHMP7	2306	35	2271
LOC106894569	4	0	4
LOC106890301	84	1	83
RHOBTB2	1199	17	1182
PEBP4	418	4	414
EGR3	33	0	33
BIN3	747	12	735
PDLIM2	24	0	24
RFC5	384	11	373
WSB2	1196	10	1186
LOC106902700	29	1	28
DTX1	1318	31	1288
EWSR1	2395	34	2361
GAS2L1	1494	41	1453
AP1B1	5701	99	5602
LOC106884545	3	0	3
LOC106886774	19	3	16
NEFH	17891	322	17570
THOC5	1864	30	1834
NF2	1344	24	1320
CABP7	667	8	660
ZMAT5	818	9	810
LOC106885327	6712	96	6616
ASCC2	1358	22	1336
MTMR3	1181	14	1167
LOC106887058	1746	23	1725
LOC106888081	307	8	299
HORMAD2	8	0	8
LIF	13	0	13
LOC106886083	0	0	0
LOC106885400	191	0	191
LOC106884710	18	1	17
TBC1D10A	5056	67	4989
SF3A1	5389	71	5318
CCDC157	255	4	251
RNF215	2471	42	2429
SEC14L2	1059	17	1042
MTFP1	843	5	838
LOC106884822	25	2	23
GAL3ST1	5536	74	5464
PES1	3159	38	3121
TCN2	223	17	206
SLC35E4	545	7	538
LOC106885768	242	3	239
IQCD	146	0	146
OSBP2	541	6	535
LOC106886039	65	0	65
RTN4R	1332	20	1312
LOC106887820	4372	35	4337
SCARF2	1858	18	1840
DGCR6L	5776	77	5699
SLC7A4	3071	62	3346
LRRC74B	6	336	7
P2RX6	976	19	959
LOC106887664	619	22	599
AIFM3	815	6	809
LOC106888560	553	5	548
LOC106889924	19681	248	19433
GLE1	541	4	537
ODF2	1270	17	1253
PTGES2	5699	80	5619
LOC106892294	1304	39	1272
CIZ1	2484	415	2076
DNM1	45272	737	44535
GOLGA2	5197	91	5107
TRUB2	1027	32	996
COQ4	1016	19	998
TRNAR-UCU	0	0	0
SLC27A4	7146	84	7062
URM1	11853	8919	2934
CERCAM	5414	68	5347
PTRH1	1026	26	1000
LOC106893081	12	70	24
TOR2A	304	22	364
SH2D3C	4029	74	3955
CDK9	373	2	371
FPGS	851	14	838
ENG	946	42	905
AK1	5269	65	5204
ST6GALNAC6	3023	55	2968
ST6GALNAC4	59	4	55
LOC106893344	29	0	29
DPM2	831	6	825
LOC106890302	1	0	1
FAM102A	805	19	786
LOC106890977	43	0	43
NAIF1	1309	24	1285
SLC25A25	6194	94	6100
LOC106890377	0	0	0
LOC106889864	0	0	0
COL27A1	1424	94	1338
LOC106892427	71	2	77
MEGF9	1207	20	1187
LOC106890517	0	0	0
CDK5RAP2	653	12	641
BRINP1	6760	103	6657
LOC106889715	141	1	140
LOC106889763	11	0	11
LOC106889816	4	0	4
TLR4	142	0	142
LOC106890599	12	0	12
LOC106891030	0	0	0
LOC106890683	272	2	270
BRIP1	229	7	222
LOC106898033	16	0	17
TBX4	17	11	7
TBX2	301	6	295
BCAS3	2743	43	2700
PPM1D	1681	38	1643
APPBP2	3596	63	3533
LOC106897904	10	2	8
LOC106897027	62	14	48
USP32	8449	108	8341
CA4	837	12	825
LOC106902655	84	4	80
ZNHIT3	890	20	878
LOC106902563	583	44	547
LOC106894333	45	8	41
PIGW	561	142	423
GGNBP2	2432	30	2402
DHRS11	726	8	718
LOC106894423	1	0	1
LOC106894037	488	10	478
LHX1	3379	51	3328
AATF	1216	17	1199
ACACA	4753	91	4662
LOC106894643	68	68	0
TADA2A	1609	25	1585
DUSP14	4944	92	4852
