N_unmapped	7903474	7903474	7903474
N_multimapping	3148363	3148363	3148363
N_noFeature	14789926	54675711	15583424
N_ambiguous	333566	2519	104996
SLC35D3	143	1	142
IL20RA	163	0	163
IL22RA2	7	0	7
IFNGR1	691	7	684
OLIG3	7	0	7
LOC106887325	128	5	123
LOC106888020	7	2	5
LOC106888514	64	0	64
LOC106889615	226	0	226
LOC106888963	3	0	3
ENTPD4	1574	35	1539
LOXL2	22	4	18
R3HCC1	2793	38	2755
LOC106893840	18	2	16
CHMP7	1865	17	1848
LOC106894569	5	0	5
LOC106890301	104	0	104
RHOBTB2	1122	12	1110
PEBP4	2780	33	2747
EGR3	153	2	151
BIN3	505	6	499
PDLIM2	13	0	13
RFC5	435	12	423
WSB2	1070	11	1059
LOC106902700	266	1	265
DTX1	1532	17	1515
EWSR1	2230	31	2199
GAS2L1	1486	30	1456
AP1B1	5509	70	5439
LOC106884545	0	0	0
LOC106886774	14	0	14
NEFH	12562	261	12301
THOC5	1961	30	1931
NF2	1301	14	1287
CABP7	455	6	449
ZMAT5	834	13	821
LOC106885327	7958	104	7854
ASCC2	1359	24	1335
MTMR3	795	10	785
LOC106887058	1990	21	1969
LOC106888081	299	3	296
HORMAD2	11	0	11
LIF	14	0	14
LOC106886083	0	0	0
LOC106885400	147	1	146
LOC106884710	4	0	4
TBC1D10A	5208	51	5158
SF3A1	5435	62	5373
CCDC157	355	6	349
RNF215	2256	27	2229
SEC14L2	1188	18	1170
MTFP1	637	1	637
LOC106884822	18	2	16
GAL3ST1	4581	51	4530
PES1	3245	41	3204
TCN2	193	16	177
SLC35E4	612	7	605
LOC106885768	562	10	552
IQCD	161	3	158
OSBP2	418	6	412
LOC106886039	99	3	96
RTN4R	1685	24	1661
LOC106887820	3979	38	3941
SCARF2	1538	18	1520
DGCR6L	5544	64	5480
SLC7A4	4273	57	4678
LRRC74B	13	453	22
P2RX6	1078	35	1045
LOC106887664	494	4	492
AIFM3	625	3	622
LOC106888560	446	17	429
LOC106889924	11638	134	11504
GLE1	575	6	570
ODF2	1099	18	1081
PTGES2	5114	69	5045
LOC106892294	1041	34	1015
CIZ1	2331	356	1983
DNM1	43703	581	43122
GOLGA2	4582	51	4531
TRUB2	1168	20	1148
COQ4	1168	10	1158
TRNAR-UCU	0	0	0
SLC27A4	5850	56	5794
URM1	7577	4586	2992
CERCAM	5241	66	5175
PTRH1	883	13	870
LOC106893081	28	108	33
TOR2A	279	30	362
SH2D3C	3683	66	3617
CDK9	348	4	344
FPGS	858	12	846
ENG	687	37	650
AK1	5904	83	5821
ST6GALNAC6	3043	48	2995
ST6GALNAC4	55	0	55
LOC106893344	28	0	28
DPM2	1286	11	1275
LOC106890302	1	0	1
FAM102A	391	1	390
LOC106890977	41	1	40
NAIF1	1162	25	1137
SLC25A25	5014	54	4960
LOC106890377	0	0	0
LOC106889864	0	0	0
COL27A1	1137	57	1086
LOC106892427	47	2	51
MEGF9	976	8	968
LOC106890517	0	0	0
CDK5RAP2	479	8	471
BRINP1	9778	137	9641
LOC106889715	179	1	178
LOC106889763	7	0	7
LOC106889816	0	0	0
TLR4	126	1	125
LOC106890599	24	0	24
LOC106891030	0	0	0
LOC106890683	217	1	216
BRIP1	227	2	225
LOC106898033	13	0	13
TBX4	9	7	2
TBX2	194	5	189
BCAS3	2776	36	2740
PPM1D	1776	28	1748
APPBP2	4126	85	4041
LOC106897904	15	6	9
LOC106897027	42	8	34
USP32	5519	79	5440
CA4	1491	24	1467
LOC106902655	48	5	43
ZNHIT3	1222	24	1201
LOC106902563	719	34	688
LOC106894333	35	6	34
PIGW	441	121	325
GGNBP2	2317	31	2286
DHRS11	1182	16	1166
LOC106894423	1	0	1
LOC106894037	422	4	418
LHX1	1634	22	1612
AATF	1449	22	1427
ACACA	4495	60	4435
LOC106894643	35	35	0
TADA2A	1991	26	1965
DUSP14	5610	58	5552
SYNRG	4766	84	4682
LOC106897083	0	0	0
LOC106895116	552	13	539
LOC106895606	80	0	80
HNF1B	4	0	4
HEATR6	648	4	644
DYNLL2	25794	383	25411
SRSF1	12285	197	12088
VEZF1	3555	55	3500
CUEDC1	3521	59	3462
MRPS23	3486	52	3434
MSI2	1521	36	1485
AKAP1	3587	56	3531
LOC106896883	2793	2479	318
NF1	614	89	531
EVI2A	15	0	15
EVI2B	20	0	20
OMG	2401	54	2348
WSB1	6759	70	6690
KSR1	414	5	409
NOS2	113	4	109
LYRM9	274	4	270
NLK	2538	35	2504
TMEM97	889	15	874
IFT20	607	7	600
TNFAIP1	2776	52	2724
SGSM2	7112	326	8094
LOC106901471	2	1208	101
MNT	700	17	684
PAFAH1B1	12848	179	12669
CLUH	4251	78	4174
RAP1GAP2	6726	87	6639
LOC106894782	70	0	70
WSCD1	5594	48	5546
XAF1	370	2	368
SLC13A5	4243	54	4189
MED31	1199	15	1184
KIAA0753	985	175	810
PITPNM3	4822	93	5650
FAM64A	48	918	51
LOC106897863	0	275	72
TEKT1	829	34	854
SMTNL2	1692	346	1607
LOC106897834	2308	29	2281
ASCL3	244	5	239
TMEM9B	6228	64	6164
NRIP3	3246	34	3212
SCUBE2	310	5	305
LOC106902749	294	1	293
DENND5A	7153	89	7064
TMEM41B	3623	33	3590
LOC106902704	92	2	90
IPO7	6544	96	6448
ZNF143	744	9	735
WEE1	254	2	252
LOC106902744	19	0	19
SWAP70	2016	48	2288
LOC106902813	5	316	9
LOC106902754	6	0	6
SBF2	2175	31	2144
LOC106902787	8	0	8
ADM	156	25	131
AMPD3	948	31	917
LOC106902780	1135	27	1108
RNF141	4974	65	4909
LYVE1	16	0	16
LOC106902940	55	1	54
MRVI1	64	0	64
CTR9	3091	58	3033
EIF4G2	48570	639	47931
GALNT18	1195	26	1169
USP47	3139	790	2357
LOC106902733	3724	41	3691
RASEF	107	8	99
FRMD3	923	9	914
IDNK	767	8	759
UBQLN1	6980	127	6853
GKAP1	387	6	381
KIF27	453	24	429
LOC106884592	1427	39	1388
HNRNPK	10861	173	10688
RMI1	1334	18	1316
SLC28A3	0	0	0
NTRK2	22371	337	22034
AGTPBP1	4919	65	4854
NAA35	4207	123	4087
GOLM1	2150	103	2050
ISCA1	2076	23	2053
ZCCHC6	1909	26	1883
GAS1	274	10	264
DAPK1	2499	31	2468
CTSL	11021	192	10829
LOC106884634	3	1	3
LOC106884560	225	8	217
LOC106884837	3005	25	2981
FANCC	144	10	134
PTCH1	2151	103	2048
ERCC6L2	1727	20	1707
HSD17B3	1642	22	1620
SLC35D2	537	4	533
ZNF367	650	16	634
HABP4	2135	33	2102
CDC14B	536	15	521
AAED1	344	10	334
LOC106884684	2	0	2
LRRC2	66	2	64
OGFRL1	1391	24	1367
LOC106885036	9	0	9
B3GAT2	3630	80	3981
SMAP1	8676	1424	7683
LOC106885058	645	11	634
FAM135A	2056	37	2019
COL9A1	143	4	166
COL19A1	57	26	58
LOC106885040	1	0	1
LMBRD1	3340	47	3293
ADGRB3	3712	50	3662
LOC106885019	288	23	265
EYS	300	22	278
LOC106885126	2998	33	2965
MSH4	76	0	76
RABGGTB	7089	100	6989
LOC106885376	107	1	106
SLC44A5	6938	77	6861
LHX8	244	10	234
CRYZ	1450	30	1425
TYW3	316	12	309
ERICH3	798	12	786
LOC106885174	2041	27	2014
TNNI3K	96	7	89
FPGT	853	20	833
NEGR1	236	3	233
LOC106885150	14369	164	14205
ZRANB2	4877	66	4811
PTGER3	85	1	84
CTH	624	12	612
ANKRD13C	1716	35	1681
SRSF11	6953	111	6842
LRRC40	1213	7	1206
LRRC7	1596	77	1519
DEPDC1	3	0	3
RPE65	1198	19	1193
LOC106885551	692	548	158
LOC106885306	4	0	4
WLS	835	10	825
LOC106885497	4676	55	4621
DIRAS3	717	12	705
GNG12	841	6	835
LOC106885572	1677	21	1656
