N_unmapped	4738422	4738422	4738422
N_multimapping	1958329	1958329	1958329
N_noFeature	8549889	34487914	9121506
N_ambiguous	190628	2005	68382
SLC35D3	5509	74	5435
IL20RA	2498	67	2431
IL22RA2	4	0	4
IFNGR1	1310	18	1292
OLIG3	0	0	0
LOC106887325	426	13	413
LOC106888020	0	0	0
LOC106888514	52	3	49
LOC106889615	217	3	214
LOC106888963	5	1	4
ENTPD4	804	10	794
LOXL2	407	10	397
R3HCC1	1439	67	1372
LOC106893840	1	0	1
CHMP7	1929	25	1904
LOC106894569	4	0	4
LOC106890301	611	5	606
RHOBTB2	678	13	665
PEBP4	246	7	239
EGR3	187	4	183
BIN3	722	12	710
PDLIM2	64	0	64
RFC5	296	13	283
WSB2	755	15	740
LOC106902700	4	0	4
DTX1	21	0	21
EWSR1	1922	32	1890
GAS2L1	1240	31	1209
AP1B1	4034	79	3955
LOC106884545	0	0	0
LOC106886774	59	2	57
NEFH	1626	29	1597
THOC5	2134	35	2099
NF2	1305	12	1293
CABP7	2	1	1
ZMAT5	519	6	513
LOC106885327	3067	50	3017
ASCC2	1340	19	1321
MTMR3	2120	38	2082
LOC106887058	1188	23	1165
LOC106888081	2037	24	2013
HORMAD2	32	1	31
LIF	52	1	51
LOC106886083	12	0	12
LOC106885400	69	1	68
LOC106884710	9	0	9
TBC1D10A	2379	28	2351
SF3A1	6158	92	6067
CCDC157	291	8	284
RNF215	1008	21	1027
SEC14L2	430	65	405
MTFP1	189	3	186
LOC106884822	1	1	0
GAL3ST1	204	1	203
PES1	3123	55	3068
TCN2	889	27	862
SLC35E4	345	5	340
LOC106885768	108	1	107
IQCD	54	2	52
OSBP2	317	4	313
LOC106886039	123	2	121
RTN4R	643	9	634
LOC106887820	1108	15	1093
SCARF2	1603	19	1584
DGCR6L	3130	52	3078
SLC7A4	2065	57	2189
LRRC74B	23	183	21
P2RX6	697	20	677
LOC106887664	316	8	308
AIFM3	730	15	715
LOC106888560	1300	32	1268
LOC106889924	9031	131	8900
GLE1	584	7	577
ODF2	1704	25	1679
PTGES2	3607	68	3539
LOC106892294	701	16	685
CIZ1	1358	105	1253
DNM1	2522	31	2491
GOLGA2	2750	74	2676
TRUB2	699	58	641
COQ4	468	3	465
TRNAR-UCU	0	0	0
SLC27A4	1664	22	1642
URM1	1459	24	1435
CERCAM	387	6	381
PTRH1	496	14	482
LOC106893081	31	120	45
TOR2A	501	66	569
SH2D3C	1250	16	1234
CDK9	356	7	349
FPGS	704	14	690
ENG	1917	36	1881
AK1	1977	47	1930
ST6GALNAC6	1840	43	1797
ST6GALNAC4	146	5	141
LOC106893344	98	2	96
DPM2	487	1	486
LOC106890302	4	0	4
FAM102A	274	3	272
LOC106890977	48	1	48
NAIF1	895	33	862
SLC25A25	5378	80	5298
LOC106890377	0	0	0
LOC106889864	1	0	1
COL27A1	286	7	279
LOC106892427	15	0	15
MEGF9	390	9	381
LOC106890517	0	0	0
CDK5RAP2	744	8	736
BRINP1	863	9	854
LOC106889715	19	1	18
LOC106889763	4	0	4
LOC106889816	0	0	0
TLR4	42	0	42
LOC106890599	16	0	16
LOC106891030	2	0	2
LOC106890683	145	2	143
BRIP1	150	5	145
LOC106898033	2	0	2
TBX4	7	0	7
TBX2	843	16	827
BCAS3	1392	30	1362
PPM1D	1498	18	1480
APPBP2	1271	19	1252
LOC106897904	6	0	6
LOC106897027	11	0	11
USP32	2160	42	2118
CA4	74	3	71
LOC106902655	4	1	3
ZNHIT3	512	14	504
LOC106902563	661	29	638
LOC106894333	55	5	54
PIGW	601	417	188
GGNBP2	1794	33	1761
DHRS11	865	14	851
LOC106894423	3	1	2
LOC106894037	252	6	246
LHX1	98	4	94
AATF	731	6	725
ACACA	4898	88	4810
LOC106894643	101	94	7
TADA2A	683	13	670
DUSP14	1242	16	1226
SYNRG	1713	18	1695
LOC106897083	0	0	0
LOC106895116	165	2	163
LOC106895606	42	1	41
HNF1B	536	18	518
HEATR6	927	16	911
DYNLL2	3872	62	3810
SRSF1	10059	210	9849
VEZF1	3425	59	3366
CUEDC1	1814	36	1778
MRPS23	1958	28	1930
MSI2	557	7	550
AKAP1	4520	74	4447
LOC106896883	1064	722	343
NF1	1397	97	1300
EVI2A	65	3	62
EVI2B	53	2	51
OMG	28	0	28
WSB1	7176	101	7075
KSR1	400	8	392
NOS2	94	0	94
LYRM9	331	3	328
NLK	1618	27	1591
TMEM97	1169	22	1147
IFT20	849	16	833
TNFAIP1	2405	35	2370
SGSM2	3198	81	3895
LOC106901471	0	760	18
MNT	657	8	649
PAFAH1B1	8670	146	8524
CLUH	8509	130	8379
RAP1GAP2	4922	68	4854
LOC106894782	93	5	88
WSCD1	1034	20	1014
XAF1	108	1	107
SLC13A5	1006	23	983
MED31	422	4	418
KIAA0753	1039	168	871
PITPNM3	1399	36	1411
FAM64A	33	51	30
LOC106897863	1	137	138
TEKT1	205	32	239
SMTNL2	1111	385	884
LOC106897834	1116	19	1100
ASCL3	257	6	251
TMEM9B	2304	31	2273
NRIP3	4662	59	4603
SCUBE2	2230	43	2187
LOC106902749	22	0	22
DENND5A	2511	27	2484
TMEM41B	2485	42	2443
LOC106902704	52	8	44
IPO7	7716	108	7608
ZNF143	1082	20	1062
WEE1	166	1	165
LOC106902744	9	0	9
SWAP70	1050	27	1175
LOC106902813	13	154	9
LOC106902754	7	0	9
SBF2	2958	45	2913
LOC106902787	9	3	8
ADM	621	13	608
AMPD3	3241	62	3181
LOC106902780	840	23	817
RNF141	2925	41	2884
LYVE1	750	13	737
LOC106902940	306	7	299
MRVI1	1125	13	1112
CTR9	2087	59	2028
EIF4G2	59635	844	58791
GALNT18	402	4	398
USP47	2165	162	2003
LOC106902733	468	9	459
RASEF	322	6	316
FRMD3	178	2	176
IDNK	350	9	341
UBQLN1	5566	103	5463
GKAP1	658	12	646
KIF27	521	23	498
LOC106884592	655	16	639
HNRNPK	6178	100	6078
RMI1	994	24	970
SLC28A3	75	1	74
NTRK2	689	10	679
AGTPBP1	1792	29	1763
NAA35	3041	832	2222
GOLM1	27322	481	26854
ISCA1	1519	29	1490
ZCCHC6	2295	34	2261
GAS1	613	16	597
DAPK1	1477	33	1444
CTSL	7683	165	7518
LOC106884634	0	0	0
LOC106884560	1110	20	1090
LOC106884837	1440	16	1424
FANCC	98	3	95
PTCH1	771	55	716
ERCC6L2	2351	31	2320
HSD17B3	20	0	20
SLC35D2	815	21	794
ZNF367	369	12	357
HABP4	718	12	706
CDC14B	2195	33	2162
AAED1	714	18	696
LOC106884684	0	0	0
LRRC2	0	0	0
OGFRL1	1167	12	1155
LOC106885036	10	1	9
B3GAT2	1497	65	1552
SMAP1	4747	442	4425
LOC106885058	185	6	179
FAM135A	2224	28	2196
COL9A1	11	14	0
COL19A1	1221	20	1204
LOC106885040	4	2	2
LMBRD1	1582	39	1543
ADGRB3	553	7	546
LOC106885019	93	4	89
EYS	159	23	136
LOC106885126	3788	75	3713
MSH4	13	0	13
RABGGTB	2140	33	2107
LOC106885376	59	0	59
SLC44A5	1350	22	1328
LHX8	9	6	3
CRYZ	474	16	458
TYW3	234	6	228
ERICH3	304	0	304
LOC106885174	184	4	180
TNNI3K	81	0	81
FPGT	568	7	561
NEGR1	215	1	214
LOC106885150	829	12	817
ZRANB2	2359	29	2330
PTGER3	70	0	70
CTH	472	7	465
ANKRD13C	1448	19	1429
SRSF11	4923	85	4838
LRRC40	1180	12	1170
LRRC7	176	31	147
DEPDC1	29	0	29
RPE65	3	0	3
LOC106885551	550	12	538
LOC106885306	9	0	9
WLS	1487	18	1469
LOC106885497	1748	28	1720
DIRAS3	47	0	47
GNG12	2474	33	2441
LOC106885572	2131	34	2097
SERBP1	14453	241	14213
IL12RB2	8	0	8
IL23R	15	3	12
LOC106885231	0	0	0
LOC106885242	223	8	215
MIER1	768	51	718
WDR78	180	6	174
INSL5	7	1	6
TCTEX1D1	44	0	44
SGIP1	99	3	96
PDE4B	679	9	670
LOC106885334	8	0	8
LOC106885339	0	0	0
LOC106885314	16	1	15
LEPR	102	22	80
LEPROT	4241	71	4170
DNAJC6	1376	21	1355
LOC106885457	84	0	84
AK4	142	4	139
LOC106885464	46	2	44
LOC106885191	65	2	64
JAK1	9308	177	9131
RAVER2	771	10	761
CACHD1	2973	39	2934
GTPBP3	509	3	506
LOC106885626	1807	91	1716
CILP2	26	0	26
YJEFN3	0	0	0
GATAD2A	932	18	914
LOC106885892	67	215	75
MAU2	1070	46	1247
SUGP1	924	20	904
TM6SF2	26	1	25
HAPLN4	5	0	5
NCAN	2	0	2
NR2C2AP	560	9	551
RFXANK	976	40	936
BORCS8	40	1	39
LOC106885817	199	15	185
TMEM221	12	0	13
MEF2B	34	1	33
LOC106885698	0	0	0
TMEM161A	642	9	633
SLC25A42	726	11	715
ARMC6	2035	35	2000
SUGP2	1699	25	1674
HOMER3	266	5	261
DDX49	1326	12	1314
COPE	3077	50	3027
CERS1	70	2	68
GDF1	147	2	145
LOC106885849	247	147	130
UPF1	4286	92	4224
LOC106885829	49	1	48
COMP	299	13	286
CRTC1	354	3	351
KLHL26	262	1	261
TMEM59L	1354	23	1331
CRLF1	78	21	75
LOC106885724	1015	25	1008
KXD1	223	8	218
FKBP8	3444	47	3400
ELL	543	7	536
ISYNA1	1230	11	1219
LRRC25	54	0	54
GDF15	30	2	28
PGPEP1	321	3	318
LSM4	884	21	863
JUND	9506	108	9398
LOC106885747	121	1	120
PDE4C	508	12	496
LOC106885809	0	0	0
RAB3A	275	4	271
MPV17L2	724	6	718
IFI30	823	21	802
PIK3R2	1148	15	1133
MAST3	331	2	329
DPP10	2443	30	2413
DDX18	1520	28	1492
LOC106886776	37	13	24
CCDC93	1225	20	1205
INSIG2	1707	28	1679
EN1	0	0	0
MARCO	177	1	176
STEAP3	318	40	278
LOC106886448	4	1	3
LOC106886427	311	9	302
DBI	8416	117	8299
TMEM37	434	8	426
SCTR	38	2	36
CFAP221	73	4	69
ESYT3	45	3	42
CEP70	171	6	166
FAIM	937	108	950
PARP9	773	131	762
DTX3L	1575	18	1557
PARP14	1954	37	1917
LOC106886596	2143	40	2103
LMLN	432	17	415
LOC106886675	2389	39	2350
OSBPL11	1326	23	1303
LOC106886795	962	25	937
LOC106886238	105	6	99
SNX4	3500	45	3455
LOC106886148	25	1	24
LOC106886319	5	2	3
SLC12A8	75	1	74
HEG1	3123	51	3072
MUC13	5	0	5
ITGB5	1658	20	1638
UMPS	732	17	715
KALRN	799	9	790
LOC106886136	19	0	19
LOC106886191	14	2	12
MYLK	10098	183	9915
HACD2	2150	34	2116
ADCY5	854	71	783
SEC22A	562	4	558
PDIA5	698	15	683
SEMA5B	241	10	231
DIRC2	964	10	954
HSPBAP1	273	0	273
SLC15A2	64	4	60
LOC106886128	0	0	0
EAF2	145	5	140
IQCB1	459	10	449
LOC106886925	387	5	382
TSN	948	12	936
NIFK	1327	15	1312
CLASP1	1507	21	1486
TFCP2L1	140	3	137
GLI2	233	1	232
INHBB	27	3	24
RALB	3734	47	3687
LOC106886655	67	5	62
LOC106886663	1	0	1
EPB41L5	620	22	598
PTPN4	1505	25	1480
TMEM177	177	4	173
MRAS	1186	11	1175
LOC106887245	13	0	13
BMPR1B	432	9	423
UNC5C	1839	39	1800
LOC106887293	2	0	2
RAP1GDS1	1232	32	1312
LOC106887310	1	109	4
LOC106887010	1573	16	1557
LOC106887198	10	0	10
EIF4E	2210	36	2174
LOC106886965	35	0	35
LOC106887021	61	8	53
LOC106887405	3140	54	3088
LOC106887426	0	0	2
LOC106887417	6	0	6
LOC106887412	5	0	5
LOC106887469	301	37	336
LOC106887518	3	46	12
LOC106887501	94	18	94
TRMT10A	287	24	266
LOC106887515	6	1	5
MTTP	27	2	25
LOC106887026	8	0	8
DAPP1	18	0	18
LAMTOR3	2373	34	2339
DNAJB14	3662	65	3597
LOC106887678	9230	127	9103
EMCN	1260	19	1241
PPP3CA	3585	74	3511
BANK1	90	1	89
LOC106887223	19	0	19
SLC39A8	317	10	307
NFKB1	1365	516	1409
MANBA	1063	340	1283
LOC106887147	111	3	108
UBE2D3	6625	128	6497
LOC106887165	103	10	93
CISD2	688	24	748
LOC106887448	85	98	71
LOC106887454	3	0	3
LOC106887432	126	12	114
LOC106887204	0	0	0
LOC106887233	2	1	1
BDH2	411	13	398
CENPE	57	3	54
LOC106887062	0	0	0
LOC106887188	323	4	319
LOC106887180	78	2	79
TACR3	25	16	12
LOC106887238	6	1	5
TET2	893	17	876
PPA2	2136	33	2103
ARHGEF38	28	3	25
LOC106887003	1	0	1
LOC106886994	5	0	5
INTS12	377	7	370
GSTCD	402	7	395
