N_unmapped	4997403	4997403	4997403
N_multimapping	2111542	2111542	2111542
N_noFeature	11149210	38643914	11714513
N_ambiguous	205983	1646	65092
SLC35D3	585	8	577
IL20RA	178	7	171
IL22RA2	23	0	23
IFNGR1	902	10	892
OLIG3	0	0	0
LOC106887325	163	2	161
LOC106888020	5	3	2
LOC106888514	40	0	40
LOC106889615	97	0	97
LOC106888963	0	0	0
ENTPD4	891	14	877
LOXL2	55	1	54
R3HCC1	2258	44	2214
LOC106893840	3	0	3
CHMP7	1395	17	1378
LOC106894569	2	0	2
LOC106890301	115	4	111
RHOBTB2	797	13	784
PEBP4	654	9	645
EGR3	83	4	79
BIN3	509	12	497
PDLIM2	15	0	15
RFC5	252	11	241
WSB2	629	8	621
LOC106902700	96	5	91
DTX1	837	20	817
EWSR1	2039	32	2007
GAS2L1	888	26	862
AP1B1	3718	59	3659
LOC106884545	1	0	1
LOC106886774	18	1	17
NEFH	14794	226	14568
THOC5	1127	13	1114
NF2	948	14	934
CABP7	453	7	446
ZMAT5	524	4	520
LOC106885327	4358	63	4295
ASCC2	907	18	889
MTMR3	823	7	816
LOC106887058	1024	17	1007
LOC106888081	165	3	162
HORMAD2	12	0	12
LIF	12	0	12
LOC106886083	2	0	2
LOC106885400	93	5	88
LOC106884710	7	0	7
TBC1D10A	2907	44	2863
SF3A1	3581	45	3537
CCDC157	196	4	193
RNF215	1418	25	1447
SEC14L2	605	66	593
MTFP1	571	7	564
LOC106884822	20	5	15
GAL3ST1	3534	43	3491
PES1	2111	36	2075
TCN2	191	14	177
SLC35E4	365	3	362
LOC106885768	225	2	223
IQCD	55	3	52
OSBP2	461	5	456
LOC106886039	17	0	17
RTN4R	755	8	747
LOC106887820	2635	32	2603
SCARF2	1442	30	1412
DGCR6L	2801	26	2775
SLC7A4	1765	23	1936
LRRC74B	0	191	3
P2RX6	798	43	756
LOC106887664	832	9	824
AIFM3	869	12	857
LOC106888560	379	6	373
LOC106889924	13784	205	13579
