"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","FDR","geneID","Count","GeneList"
"BP","GO:0031440","regulation of mRNA 3'-end processing","2/12","22/10835",0.000256579286463693,0.0578849647685729,"LOC106893757/LOC106900582",2,"Up-regulated"
"BP","GO:0032386","regulation of intracellular transport","4/12","324/10835",0.000321226044493644,0.0578849647685729,"FOXF1/LOC106887582/LOC106888173/LOC106893757",4,"Up-regulated"
"BP","GO:0050686","negative regulation of mRNA processing","2/12","25/10835",0.000332605140303292,0.0578849647685729,"LOC106893757/LOC106900582",2,"Up-regulated"
"BP","GO:0017157","regulation of exocytosis","3/12","160/10835",0.000630409233848789,0.0822849947339472,"FOXF1/LOC106887582/RAPGEF4",3,"Up-regulated"
"BP","GO:0046148","pigment biosynthetic process","2/12","42/10835",0.000944641614419022,0.0986404717372284,"APRT/LOC106888173",2,"Up-regulated"
"MF","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","2/11","77/9278",0.00356229789610784,0.0600969580225197,"HSD17B2/LOC106887833",2,"Up-regulated"
"MF","GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","2/11","88/9278",0.00462740031081772,0.0600969580225197,"HSD17B2/LOC106887833",2,"Up-regulated"
"MF","GO:0032559","adenyl ribonucleotide binding","3/11","324/9278",0.00564995927800954,0.0600969580225197,"APRT/HS3ST5/RAPGEF4",3,"Up-regulated"
"MF","GO:0030554","adenyl nucleotide binding","3/11","391/9278",0.00951762060129482,0.0600969580225197,"APRT/HS3ST5/RAPGEF4",3,"Up-regulated"
"MF","GO:0004303","estradiol 17-beta-dehydrogenase [NAD(P)] activity","1/11","11/9278",0.0129715180521631,0.0600969580225197,"HSD17B2",1,"Up-regulated"
"MF","GO:0016208","AMP binding","1/11","11/9278",0.0129715180521631,0.0600969580225197,"APRT",1,"Up-regulated"
"MF","GO:0032555","purine ribonucleotide binding","3/11","442/9278",0.0133068680575442,0.0600969580225197,"APRT/HS3ST5/RAPGEF4",3,"Up-regulated"
"MF","GO:0032553","ribonucleotide binding","3/11","453/9278",0.0142242104988803,0.0600969580225197,"APRT/HS3ST5/RAPGEF4",3,"Up-regulated"
"MF","GO:0005003","ephrin receptor activity","1/11","15/9278",0.0176503779330357,0.0600969580225197,"EFNA3",1,"Up-regulated"
"MF","GO:0034483","heparan sulfate sulfotransferase activity","1/11","15/9278",0.0176503779330357,0.0600969580225197,"HS3ST5",1,"Up-regulated"
"MF","GO:0017076","purine nucleotide binding","3/11","514/9278",0.0199750919554015,0.0600969580225197,"APRT/HS3ST5/RAPGEF4",3,"Up-regulated"
"MF","GO:0017075","syntaxin-1 binding","1/11","17/9278",0.0199822385424878,0.0600969580225197,"LOC106900582",1,"Up-regulated"
"MF","GO:0030552","cAMP binding","1/11","17/9278",0.0199822385424878,0.0600969580225197,"RAPGEF4",1,"Up-regulated"
"MF","GO:0033764","steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","1/11","17/9278",0.0199822385424878,0.0600969580225197,"HSD17B2",1,"Up-regulated"
"MF","GO:0016229","steroid dehydrogenase activity","1/11","22/9278",0.0257898914087937,0.062617734155592,"HSD17B2",1,"Up-regulated"
"MF","GO:0005085","guanyl-nucleotide exchange factor activity","2/11","217/9278",0.0260622297575552,0.062617734155592,"LOC106887582/RAPGEF4",2,"Up-regulated"
"MF","GO:0000166","nucleotide binding","3/11","585/9278",0.0281180419760344,0.062617734155592,"APRT/HS3ST5/RAPGEF4",3,"Up-regulated"
"MF","GO:1901265","nucleoside phosphate binding","3/11","586/9278",0.0282440243115153,0.062617734155592,"APRT/HS3ST5/RAPGEF4",3,"Up-regulated"
"MF","GO:0030551","cyclic nucleotide binding","1/11","26/9278",0.0304134670525236,0.062617734155592,"RAPGEF4",1,"Up-regulated"
"MF","GO:0046875","ephrin receptor binding","1/11","27/9278",0.0315662396273637,0.062617734155592,"EFNA3",1,"Up-regulated"
"MF","GO:0004693","cyclin-dependent protein serine/threonine kinase activity","1/11","28/9278",0.0327177660962968,0.062617734155592,"CDK10",1,"Up-regulated"
"MF","GO:0097472","cyclin-dependent protein kinase activity","1/11","28/9278",0.0327177660962968,0.062617734155592,"CDK10",1,"Up-regulated"
"MF","GO:0031624","ubiquitin conjugating enzyme binding","1/11","32/9278",0.0373114351457776,0.0670964978646035,"LOC106900582",1,"Up-regulated"
"MF","GO:0097367","carbohydrate derivative binding","3/11","670/9278",0.0399527638879776,0.0670964978646035,"APRT/HS3ST5/RAPGEF4",3,"Up-regulated"
"MF","GO:0004842","ubiquitin-protein transferase activity","2/11","284/9278",0.0427949563839538,0.0670964978646035,"LOC106893757/LOC106900582",2,"Up-regulated"
"MF","GO:0016763","pentosyltransferase activity","1/11","37/9278",0.043025629255677,0.0670964978646035,"APRT",1,"Up-regulated"
"MF","GO:0044390","ubiquitin-like protein conjugating enzyme binding","1/11","37/9278",0.043025629255677,0.0670964978646035,"LOC106900582",1,"Up-regulated"
"MF","GO:0019787","ubiquitin-like protein transferase activity","2/11","301/9278",0.0475558980907429,0.0699835476156675,"LOC106893757/LOC106900582",2,"Up-regulated"
"MF","GO:0008146","sulfotransferase activity","1/11","42/9278",0.0487089725952498,0.0699835476156675,"HS3ST5",1,"Up-regulated"
"MF","GO:0016755","aminoacyltransferase activity","2/11","309/9278",0.0498632776761631,0.0699835476156675,"LOC106893757/LOC106900582",2,"Up-regulated"
"MF","GO:0004714","transmembrane receptor protein tyrosine kinase activity","1/11","51/9278",0.0588617250103285,0.0799480135963715,"EFNA3",1,"Up-regulated"
"MF","GO:0003730","mRNA 3'-UTR binding","1/11","53/9278",0.0611044714090641,0.0804006202750843,"LOC106900582",1,"Up-regulated"
"MF","GO:0016782","transferase activity, transferring sulphur-containing groups","1/11","58/9278",0.0666900970053043,0.0850910328616322,"HS3ST5",1,"Up-regulated"
"MF","GO:0019199","transmembrane receptor protein kinase activity","1/11","65/9278",0.0744592275665064,0.090340195468458,"EFNA3",1,"Up-regulated"
"MF","GO:0031267","small GTPase binding","2/11","389/9278",0.0750952874831558,0.090340195468458,"LOC106887582/RAPGEF4",2,"Up-regulated"
"MF","GO:0019905","syntaxin binding","1/11","72/9278",0.0821695204798798,0.0961047023156489,"LOC106900582",1,"Up-regulated"
"MF","GO:0030695","GTPase regulator activity","2/11","425/9278",0.0875980900572392,0.0978519779577646,"LOC106887582/RAPGEF4",2,"Up-regulated"
"MF","GO:0046982","protein heterodimerization activity","2/11","427/9278",0.0883114101068826,0.0978519779577646,"LOC106887582/LOC106893757",2,"Up-regulated"
