"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","FDR","geneID","Count","GeneList"
"BP","GO:0002446","neutrophil mediated immunity","9/58","333/10492",7.91889527898684e-05,0.0703857402724964,"LOC106887527/CRISPLD2/BST1/LOC106886672/NCF1/LRG1/CTSS/ATP11A/LAMP2",9,"Down-regulated"
"BP","GO:0002444","myeloid leukocyte mediated immunity","9/58","363/10492",0.000152807578578731,0.0703857402724964,"LOC106887527/CRISPLD2/BST1/LOC106886672/NCF1/LRG1/CTSS/ATP11A/LAMP2",9,"Down-regulated"
"BP","GO:0002366","leukocyte activation involved in immune response","10/58","477/10492",0.000250644888773002,0.0703857402724964,"LOC106887527/CRISPLD2/CDH17/BCL6/BST1/LOC106886672/LRG1/CTSS/ATP11A/LAMP2",10,"Down-regulated"
"BP","GO:0002263","cell activation involved in immune response","10/58","479/10492",0.000259239992307484,0.0703857402724964,"LOC106887527/CRISPLD2/CDH17/BCL6/BST1/LOC106886672/LRG1/CTSS/ATP11A/LAMP2",10,"Down-regulated"
"BP","GO:0002443","leukocyte mediated immunity","10/58","491/10492",0.00031619648603764,0.0703857402724964,"LOC106887527/CRISPLD2/BCL6/BST1/LOC106886672/NCF1/LRG1/CTSS/ATP11A/LAMP2",10,"Down-regulated"
"BP","GO:0043312","neutrophil degranulation","8/58","318/10492",0.000333713866102949,0.0703857402724964,"LOC106887527/CRISPLD2/BST1/LOC106886672/LRG1/CTSS/ATP11A/LAMP2",8,"Down-regulated"
"BP","GO:0002283","neutrophil activation involved in immune response","8/58","320/10492",0.000348082365466386,0.0703857402724964,"LOC106887527/CRISPLD2/BST1/LOC106886672/LRG1/CTSS/ATP11A/LAMP2",8,"Down-regulated"
"BP","GO:0042119","neutrophil activation","8/58","326/10492",0.000394256663023377,0.0703857402724964,"LOC106887527/CRISPLD2/BST1/LOC106886672/LRG1/CTSS/ATP11A/LAMP2",8,"Down-regulated"
"BP","GO:0036230","granulocyte activation","8/58","330/10492",0.000427732385180599,0.0703857402724964,"LOC106887527/CRISPLD2/BST1/LOC106886672/LRG1/CTSS/ATP11A/LAMP2",8,"Down-regulated"
"BP","GO:0043299","leukocyte degranulation","8/58","350/10492",0.000631760180697043,0.093563682761232,"LOC106887527/CRISPLD2/BST1/LOC106886672/LRG1/CTSS/ATP11A/LAMP2",8,"Down-regulated"
"MF","GO:0031406","carboxylic acid binding","6/56","139/8999",0.000209813782725295,0.0257690184279058,"LOC106894049/HABP4/LOC106894903/VCAN/LOC106899783/ASS1",6,"Down-regulated"
"MF","GO:0043177","organic acid binding","6/56","143/8999",0.000244805675065105,0.0257690184279058,"LOC106894049/HABP4/LOC106894903/VCAN/LOC106899783/ASS1",6,"Down-regulated"
