"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","FDR","geneID","Count","GeneList"
"BP","GO:1901615","organic hydroxy compound metabolic process","12/46","428/10920",1.30576239521574e-07,6.68687795023639e-05,"DHCR24/DIO2/DIO3/FDPS/HMGCS1/LOC106896584/LOC106897604/MSMO1/OCA2/PNPO/SLC5A5/STAR",12,"Up-regulated"
"BP","GO:0071371","cellular response to gonadotropin stimulus","5/46","32/10920",1.9618962288757e-07,6.6979825638458e-05,"HMGCS1/LOC106896584/LOC106897604/SLC5A5/STAR",5,"Up-regulated"
"BP","GO:1901617","organic hydroxy compound biosynthetic process","8/46","196/10920",1.3581056220684e-06,0.000347746518492778,"DHCR24/FDPS/HMGCS1/LOC106896584/MSMO1/OCA2/PNPO/STAR",8,"Up-regulated"
"BP","GO:0034698","response to gonadotropin","5/46","53/10920",2.61771782776746e-06,0.000533853690887203,"HMGCS1/LOC106896584/LOC106897604/SLC5A5/STAR",5,"Up-regulated"
"BP","GO:0006694","steroid biosynthetic process","7/46","153/10920",3.12740600005864e-06,0.000533853690887203,"DHCR24/FDPS/HMGCS1/LOC106896584/LOC106897604/MSMO1/STAR",7,"Up-regulated"
"BP","GO:0016125","sterol metabolic process","6/46","119/10920",9.68301919592314e-06,0.00123968127337279,"DHCR24/FDPS/HMGCS1/LOC106896584/LOC106897604/MSMO1",6,"Up-regulated"
"BP","GO:0006590","thyroid hormone generation","3/46","13/10920",1.9426706181936e-05,0.0022107818847981,"DIO2/DIO3/SLC5A5",3,"Up-regulated"
"BP","GO:0042403","thyroid hormone metabolic process","3/46","17/10920",4.56467711408821e-05,0.00425017304498357,"DIO2/DIO3/SLC5A5",3,"Up-regulated"
"BP","GO:0008202","steroid metabolic process","7/46","235/10920",5.11682624911977e-05,0.00436725608806451,"DHCR24/FDPS/HMGCS1/LOC106896584/LOC106897604/MSMO1/STAR",7,"Up-regulated"
"BP","GO:0008203","cholesterol metabolic process","5/46","107/10920",8.18861621473624e-05,0.0052163869243745,"DHCR24/FDPS/HMGCS1/LOC106896584/MSMO1",5,"Up-regulated"
"BP","GO:0042445","hormone metabolic process","6/46","176/10920",8.83084710128589e-05,0.0052163869243745,"DIO2/DIO3/LOC106896584/LOC106897604/SLC5A5/STAR",6,"Up-regulated"
"BP","GO:0006695","cholesterol biosynthetic process","4/46","57/10920",9.24676274387782e-05,0.0052163869243745,"DHCR24/FDPS/HMGCS1/MSMO1",4,"Up-regulated"
"BP","GO:1902653","secondary alcohol biosynthetic process","4/46","57/10920",9.24676274387782e-05,0.0052163869243745,"DHCR24/FDPS/HMGCS1/MSMO1",4,"Up-regulated"
"BP","GO:0016126","sterol biosynthetic process","4/46","58/10920",9.90122795288821e-05,0.0052163869243745,"DHCR24/FDPS/HMGCS1/MSMO1",4,"Up-regulated"
"BP","GO:0010893","positive regulation of steroid biosynthetic process","3/46","22/10920",0.000101861615172781,0.0052163869243745,"FDPS/LOC106897604/STAR",3,"Up-regulated"
"BP","GO:0042537","benzene-containing compound metabolic process","3/46","22/10920",0.000101861615172781,0.0052163869243745,"LOC106896584/LOC106897604/STAR",3,"Up-regulated"
"BP","GO:1902652","secondary alcohol metabolic process","5/46","117/10920",0.00012508144927087,0.00610046366619332,"DHCR24/FDPS/HMGCS1/LOC106896584/MSMO1",5,"Up-regulated"
"BP","GO:0071372","cellular response to follicle-stimulating hormone stimulus","3/46","24/10920",0.00013308740886024,0.00619588750339776,"HMGCS1/LOC106896584/STAR",3,"Up-regulated"
"BP","GO:0032354","response to follicle-stimulating hormone","3/46","29/10920",0.000236749709454368,0.00969926178101473,"HMGCS1/LOC106896584/STAR",3,"Up-regulated"
"BP","GO:0045940","positive regulation of steroid metabolic process","3/46","29/10920",0.000236749709454368,0.00969926178101473,"FDPS/LOC106897604/STAR",3,"Up-regulated"
"BP","GO:0008207","C21-steroid hormone metabolic process","3/46","30/10920",0.000262280699184427,0.0103319481905444,"LOC106896584/LOC106897604/STAR",3,"Up-regulated"
"BP","GO:0050810","regulation of steroid biosynthetic process","4/46","82/10920",0.000379173752435344,0.0138697767338192,"FDPS/HMGCS1/LOC106897604/STAR",4,"Up-regulated"
"BP","GO:0046661","male sex differentiation","5/46","151/10920",0.000410683068515387,0.0145043421294182,"DHCR24/HMGCS1/LOC106896584/LOC106897604/STAR",5,"Up-regulated"
"BP","GO:0010817","regulation of hormone levels","8/46","442/10920",0.000455171022312911,0.0155396984108934,"CHGA/DIO2/DIO3/LOC106896584/LOC106897604/NKX6-1/SLC5A5/STAR",8,"Up-regulated"
