"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","FDR","geneID","Count","GeneList"
"BP","GO:0007272","ensheathment of neurons","14/142","100/9994",1.11390194295294e-10,1.20360036256968e-07,"CLDN11/FA2H/LOC106899619/MBP/MPZ/MYRF/NFASC/NKX6-2/PLLP/PLP1/QKI/SCD/SH3TC2/SOX10",14,"Up-regulated"
"BP","GO:0008366","axon ensheathment","14/142","100/9994",1.11390194295294e-10,1.20360036256968e-07,"CLDN11/FA2H/LOC106899619/MBP/MPZ/MYRF/NFASC/NKX6-2/PLLP/PLP1/QKI/SCD/SH3TC2/SOX10",14,"Up-regulated"
"BP","GO:0042552","myelination","13/142","98/9994",1.05850076573997e-09,7.62491955110234e-07,"FA2H/LOC106899619/MBP/MPZ/MYRF/NFASC/NKX6-2/PLLP/PLP1/QKI/SCD/SH3TC2/SOX10",13,"Up-regulated"
"BP","GO:0045216","cell-cell junction organization","15/142","185/9994",5.11231303670175e-08,2.76199438535492e-05,"CGN/COL16A1/ENPP2/FMN1/HEG1/LIMCH1/LOC106888173/LOC106898586/LOC106902819/MPZ/NFASC/PTK2/PTPRK/TESK2/TJP1",15,"Up-regulated"
"BP","GO:0022010","central nervous system myelination","5/142","16/9994",2.07827780873553e-06,0.000748544621286673,"FA2H/LOC106899619/MYRF/PLP1/SOX10",5,"Up-regulated"
"BP","GO:0032291","axon ensheathment in central nervous system","5/142","16/9994",2.07827780873553e-06,0.000748544621286673,"FA2H/LOC106899619/MYRF/PLP1/SOX10",5,"Up-regulated"
"BP","GO:0048709","oligodendrocyte differentiation","9/142","83/9994",2.46535359109205e-06,0.000761108409400298,"CNP/DAAM2/ENPP2/FA2H/LOC106899619/MYRF/PLP1/QKI/SOX10",9,"Up-regulated"
"BP","GO:0048041","focal adhesion assembly","7/142","61/9994",2.31769830030942e-05,0.00626083501386215,"COL16A1/ENPP2/FMN1/LIMCH1/PTK2/PTPRK/TESK2",7,"Up-regulated"
"BP","GO:0007043","cell-cell junction assembly","8/142","98/9994",7.30841828187473e-05,0.017548751734139,"CGN/HEG1/LOC106898586/LOC106902819/NFASC/PTPRK/TESK2/TJP1",8,"Up-regulated"
"BP","GO:0034332","adherens junction organization","8/142","101/9994",9.05618336214094e-05,0.0190866719448584,"COL16A1/ENPP2/FMN1/LIMCH1/LOC106888173/PTK2/PTPRK/TESK2",8,"Up-regulated"
"BP","GO:0014003","oligodendrocyte development","5/142","34/9994",0.000107758717692957,0.0190866719448584,"FA2H/LOC106899619/MYRF/PLP1/SOX10",5,"Up-regulated"
"BP","GO:0007044","cell-substrate junction assembly","7/142","78/9994",0.000114817534592791,0.0190866719448584,"COL16A1/ENPP2/FMN1/LIMCH1/PTK2/PTPRK/TESK2",7,"Up-regulated"
"BP","GO:0150115","cell-substrate junction organization","7/142","78/9994",0.000114817534592791,0.0190866719448584,"COL16A1/ENPP2/FMN1/LIMCH1/PTK2/PTPRK/TESK2",7,"Up-regulated"
"BP","GO:0034329","cell junction assembly","13/142","274/9994",0.000137808424565707,0.0212722327543906,"CGN/COL16A1/ENPP2/FMN1/HEG1/LIMCH1/LOC106898586/LOC106902819/NFASC/PTK2/PTPRK/TESK2/TJP1",13,"Up-regulated"
"BP","GO:0007398","ectoderm development","4/142","20/9994",0.000158582651476167,0.0220772592384051,"AMER2/ETS2/SMURF1/STX2",4,"Up-regulated"
"BP","GO:0014015","positive regulation of gliogenesis","6/142","59/9994",0.000179560347167754,0.0220772592384051,"CSF1/ENPP2/LOC106899619/PTK2/QKI/SOX10",6,"Up-regulated"
"BP","GO:0051894","positive regulation of focal adhesion assembly","4/142","21/9994",0.00019374494329124,0.0220772592384051,"COL16A1/ENPP2/FMN1/PTK2",4,"Up-regulated"
"BP","GO:0150117","positive regulation of cell-substrate junction organization","4/142","21/9994",0.00019374494329124,0.0220772592384051,"COL16A1/ENPP2/FMN1/PTK2",4,"Up-regulated"
"BP","GO:0042063","gliogenesis","12/142","246/9994",0.000194103521311843,0.0220772592384051,"CNP/CSF1/DAAM2/ENPP2/FA2H/LOC106899619/MYRF/PLP1/PTK2/QKI/SH3TC2/SOX10",12,"Up-regulated"
"BP","GO:0010001","glial cell differentiation","10/142","178/9994",0.000218112736491021,0.0235676551587403,"CNP/DAAM2/ENPP2/FA2H/LOC106899619/MYRF/PLP1/QKI/SH3TC2/SOX10",10,"Up-regulated"
