"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","FDR","geneID","Count","GeneList"
"BP","GO:0046148","pigment biosynthetic process","2/7","43/10574",0.000334873561436547,0.0533544083103508,"APRT/LOC106888173",2,"Up-regulated"
"BP","GO:0042440","pigment metabolic process","2/7","53/10574",0.000509413948691791,0.0533544083103508,"APRT/LOC106888173",2,"Up-regulated"
"BP","GO:1902115","regulation of organelle assembly","2/7","148/10574",0.00390229607207097,0.072875021519104,"CCSAP/CDK10",2,"Up-regulated"
"BP","GO:0006547","histidine metabolic process","1/7","11/10574",0.0072613796783636,0.072875021519104,"LOC106891638",1,"Up-regulated"
"BP","GO:0006548","histidine catabolic process","1/7","11/10574",0.0072613796783636,0.072875021519104,"LOC106891638",1,"Up-regulated"
"BP","GO:0033523","histone H2B ubiquitination","1/7","11/10574",0.0072613796783636,0.072875021519104,"LOC106900582",1,"Up-regulated"
"BP","GO:0043568","positive regulation of insulin-like growth factor receptor signaling pathway","1/7","11/10574",0.0072613796783636,0.072875021519104,"LOC106888173",1,"Up-regulated"
"BP","GO:0044848","biological phase","1/7","11/10574",0.0072613796783636,0.072875021519104,"LOC106888173",1,"Up-regulated"
"BP","GO:0046112","nucleobase biosynthetic process","1/7","11/10574",0.0072613796783636,0.072875021519104,"APRT",1,"Up-regulated"
"BP","GO:0052805","imidazole-containing compound catabolic process","1/7","11/10574",0.0072613796783636,0.072875021519104,"LOC106891638",1,"Up-regulated"
"BP","GO:1902018","negative regulation of cilium assembly","1/7","11/10574",0.0072613796783636,0.072875021519104,"CDK10",1,"Up-regulated"
"BP","GO:0042438","melanin biosynthetic process","1/7","12/10574",0.00791925815438821,0.072875021519104,"LOC106888173",1,"Up-regulated"
"BP","GO:0042451","purine nucleoside biosynthetic process","1/7","12/10574",0.00791925815438821,0.072875021519104,"APRT",1,"Up-regulated"
"BP","GO:0043455","regulation of secondary metabolic process","1/7","12/10574",0.00791925815438821,0.072875021519104,"LOC106888173",1,"Up-regulated"
"BP","GO:0046129","purine ribonucleoside biosynthetic process","1/7","12/10574",0.00791925815438821,0.072875021519104,"APRT",1,"Up-regulated"
"BP","GO:0052803","imidazole-containing compound metabolic process","1/7","12/10574",0.00791925815438821,0.072875021519104,"LOC106891638",1,"Up-regulated"
"BP","GO:0060295","regulation of cilium movement involved in cell motility","1/7","12/10574",0.00791925815438821,0.072875021519104,"CCSAP",1,"Up-regulated"
"BP","GO:1902019","regulation of cilium-dependent cell motility","1/7","12/10574",0.00791925815438821,0.072875021519104,"CCSAP",1,"Up-regulated"
"BP","GO:1902914","regulation of protein polyubiquitination","1/7","12/10574",0.00791925815438821,0.072875021519104,"LOC106900582",1,"Up-regulated"
"BP","GO:0043101","purine-containing compound salvage","1/7","13/10574",0.00857676290660569,0.072875021519104,"APRT",1,"Up-regulated"
"BP","GO:0006144","purine nucleobase metabolic process","1/7","14/10574",0.00923389411195108,0.072875021519104,"APRT",1,"Up-regulated"
"BP","GO:0006582","melanin metabolic process","1/7","14/10574",0.00923389411195108,0.072875021519104,"LOC106888173",1,"Up-regulated"
"BP","GO:0045683","negative regulation of epidermis development","1/7","14/10574",0.00923389411195108,0.072875021519104,"LOC106888173",1,"Up-regulated"
"BP","GO:0048820","hair follicle maturation","1/7","14/10574",0.00923389411195108,0.072875021519104,"LOC106888173",1,"Up-regulated"
"BP","GO:1901673","regulation of mitotic spindle assembly","1/7","14/10574",0.00923389411195108,0.072875021519104,"CCSAP",1,"Up-regulated"
"BP","GO:0003352","regulation of cilium movement","1/7","16/10574",0.0105470365894349,0.072875021519104,"CCSAP",1,"Up-regulated"
"BP","GO:0043174","nucleoside salvage","1/7","17/10574",0.0112030482151095,0.072875021519104,"APRT",1,"Up-regulated"
"BP","GO:0044550","secondary metabolite biosynthetic process","1/7","18/10574",0.0118586870009859,0.072875021519104,"LOC106888173",1,"Up-regulated"
"BP","GO:0051797","regulation of hair follicle development","1/7","18/10574",0.0118586870009859,0.072875021519104,"LOC106888173",1,"Up-regulated"
"BP","GO:0010837","regulation of keratinocyte proliferation","1/7","19/10574",0.0125139531236643,0.072875021519104,"LOC106888173",1,"Up-regulated"
"BP","GO:0043567","regulation of insulin-like growth factor receptor signaling pathway","1/7","20/10574",0.0131688467596786,0.072875021519104,"LOC106888173",1,"Up-regulated"
"BP","GO:0090169","regulation of spindle assembly","1/7","20/10574",0.0131688467596786,0.072875021519104,"CCSAP",1,"Up-regulated"
"BP","GO:0007625","grooming behavior","1/7","21/10574",0.013823368085497,0.072875021519104,"APRT",1,"Up-regulated"
