"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","FDR","geneID","Count","GeneList"
"BP","GO:0002335","mature B cell differentiation","2/12","21/9432",0.00030746559582438,0.053799252113112,"MALT1/PLCG2",2,"Down-regulated"
"BP","GO:0042339","keratan sulfate metabolic process","2/12","27/9432",0.000511731182787949,0.053799252113112,"GALNS/GLB1",2,"Down-regulated"
"BP","GO:0002223","stimulatory C-type lectin receptor signaling pathway","2/12","35/9432",0.000862571840633406,0.053799252113112,"MALT1/PLCG2",2,"Down-regulated"
"BP","GO:0044273","sulfur compound catabolic process","2/12","36/9432",0.000912665884061722,0.053799252113112,"GALNS/GLB1",2,"Down-regulated"
"BP","GO:1990840","response to lectin","2/12","36/9432",0.000912665884061722,0.053799252113112,"MALT1/PLCG2",2,"Down-regulated"
"BP","GO:1990858","cellular response to lectin","2/12","36/9432",0.000912665884061722,0.053799252113112,"MALT1/PLCG2",2,"Down-regulated"
"BP","GO:0006027","glycosaminoglycan catabolic process","2/12","43/9432",0.00130169669404189,0.0610696614342009,"GALNS/GLB1",2,"Down-regulated"
"BP","GO:0006026","aminoglycan catabolic process","2/12","47/9432",0.00155388792279523,0.0610696614342009,"GALNS/GLB1",2,"Down-regulated"
"BP","GO:0002366","leukocyte activation involved in immune response","4/12","443/9432",0.00175800266328326,0.0610696614342009,"GALNS/GLB1/MALT1/PLCG2",4,"Down-regulated"
"BP","GO:0002263","cell activation involved in immune response","4/12","445/9432",0.00178758185885435,0.0610696614342009,"GALNS/GLB1/MALT1/PLCG2",4,"Down-regulated"
"BP","GO:0038095","Fc-epsilon receptor signaling pathway","2/12","52/9432",0.00189933917258155,0.0610696614342009,"MALT1/PLCG2",2,"Down-regulated"
