"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","FDR","geneID","Count","GeneList"
"BP","GO:0006703","estrogen biosynthetic process","1/5","10/10215",0.00488614338177462,0.051168943919206,"HSD17B2",1,"Up-regulated"
"BP","GO:0033523","histone H2B ubiquitination","1/5","11/10215",0.00537370529094561,0.051168943919206,"LOC106900582",1,"Up-regulated"
"BP","GO:0042438","melanin biosynthetic process","1/5","11/10215",0.00537370529094561,0.051168943919206,"LOC106888173",1,"Up-regulated"
"BP","GO:0043455","regulation of secondary metabolic process","1/5","11/10215",0.00537370529094561,0.051168943919206,"LOC106888173",1,"Up-regulated"
"BP","GO:0044848","biological phase","1/5","11/10215",0.00537370529094561,0.051168943919206,"LOC106888173",1,"Up-regulated"
"BP","GO:1902018","negative regulation of cilium assembly","1/5","11/10215",0.00537370529094561,0.051168943919206,"CDK10",1,"Up-regulated"
"BP","GO:1902914","regulation of protein polyubiquitination","1/5","11/10215",0.00537370529094561,0.051168943919206,"LOC106900582",1,"Up-regulated"
"BP","GO:0043568","positive regulation of insulin-like growth factor receptor signaling pathway","1/5","12/10215",0.00586107607431929,0.051168943919206,"LOC106888173",1,"Up-regulated"
"BP","GO:0006582","melanin metabolic process","1/5","13/10215",0.00634825578809273,0.051168943919206,"LOC106888173",1,"Up-regulated"
"BP","GO:0045683","negative regulation of epidermis development","1/5","14/10215",0.00683524448845141,0.051168943919206,"LOC106888173",1,"Up-regulated"
"BP","GO:0048820","hair follicle maturation","1/5","14/10215",0.00683524448845141,0.051168943919206,"LOC106888173",1,"Up-regulated"
"BP","GO:0044550","secondary metabolite biosynthetic process","1/5","16/10215",0.00780864907361378,0.051168943919206,"LOC106888173",1,"Up-regulated"
"BP","GO:0008210","estrogen metabolic process","1/5","17/10215",0.00829506507073419,0.051168943919206,"HSD17B2",1,"Up-regulated"
"BP","GO:0051797","regulation of hair follicle development","1/5","17/10215",0.00829506507073419,0.051168943919206,"LOC106888173",1,"Up-regulated"
"BP","GO:0010837","regulation of keratinocyte proliferation","1/5","19/10215",0.009267324754763,0.051168943919206,"LOC106888173",1,"Up-regulated"
"BP","GO:0043567","regulation of insulin-like growth factor receptor signaling pathway","1/5","19/10215",0.009267324754763,0.051168943919206,"LOC106888173",1,"Up-regulated"
"BP","GO:0071634","regulation of transforming growth factor beta production","1/5","20/10215",0.00975316855392228,0.051168943919206,"LOC106888173",1,"Up-regulated"
"BP","GO:0031424","keratinization","1/5","21/10215",0.01023882173266,0.051168943919206,"LOC106888173",1,"Up-regulated"
"BP","GO:0031440","regulation of mRNA 3'-end processing","1/5","21/10215",0.01023882173266,0.051168943919206,"LOC106900582",1,"Up-regulated"
"BP","GO:0032770","positive regulation of monooxygenase activity","1/5","21/10215",0.01023882173266,0.051168943919206,"LOC106888173",1,"Up-regulated"
"BP","GO:0042634","regulation of hair cycle","1/5","21/10215",0.01023882173266,0.051168943919206,"LOC106888173",1,"Up-regulated"
"BP","GO:0071604","transforming growth factor beta production","1/5","21/10215",0.01023882173266,0.051168943919206,"LOC106888173",1,"Up-regulated"
"BP","GO:0008209","androgen metabolic process","1/5","22/10215",0.0107242843470737,0.051168943919206,"HSD17B2",1,"Up-regulated"
"BP","GO:0032402","melanosome transport","1/5","22/10215",0.0107242843470737,0.051168943919206,"LOC106888173",1,"Up-regulated"
"BP","GO:0051904","pigment granule transport","1/5","22/10215",0.0107242843470737,0.051168943919206,"LOC106888173",1,"Up-regulated"
"BP","GO:0032401","establishment of melanosome localization","1/5","23/10215",0.0112095564532512,0.051168943919206,"LOC106888173",1,"Up-regulated"
"BP","GO:0051905","establishment of pigment granule localization","1/5","23/10215",0.0112095564532512,0.051168943919206,"LOC106888173",1,"Up-regulated"
"BP","GO:0050686","negative regulation of mRNA processing","1/5","24/10215",0.0116946381072675,0.051168943919206,"LOC106900582",1,"Up-regulated"
"BP","GO:0120033","negative regulation of plasma membrane bounded cell projection assembly","1/5","25/10215",0.0121795293651876,0.051168943919206,"CDK10",1,"Up-regulated"
"BP","GO:0010390","histone monoubiquitination","1/5","27/10215",0.0131487409169435,0.051168943919206,"LOC106900582",1,"Up-regulated"
"BP","GO:0032400","melanosome localization","1/5","27/10215",0.0131487409169435,0.051168943919206,"LOC106888173",1,"Up-regulated"
"BP","GO:0043616","keratinocyte proliferation","1/5","27/10215",0.0131487409169435,0.051168943919206,"LOC106888173",1,"Up-regulated"
"BP","GO:0051875","pigment granule localization","1/5","27/10215",0.0131487409169435,0.051168943919206,"LOC106888173",1,"Up-regulated"
"BP","GO:1900087","positive regulation of G1/S transition of mitotic cell cycle","1/5","28/10215",0.0136330613228538,0.0514932966374044,"CDK10",1,"Up-regulated"
"BP","GO:0048009","insulin-like growth factor receptor signaling pathway","1/5","31/10215",0.0150848817329317,0.0553490397418846,"LOC106888173",1,"Up-regulated"
"BP","GO:0051353","positive regulation of oxidoreductase activity","1/5","33/10215",0.0160518118932325,0.0558800287285702,"LOC106888173",1,"Up-regulated"
"BP","GO:0046189","phenol-containing compound biosynthetic process","1/5","34/10215",0.0165349921073884,0.0558800287285702,"LOC106888173",1,"Up-regulated"
"BP","GO:1902116","negative regulation of organelle assembly","1/5","34/10215",0.0165349921073884,0.0558800287285702,"CDK10",1,"Up-regulated"
"BP","GO:1902808","positive regulation of cell cycle G1/S phase transition","1/5","35/10215",0.0170179824854908,0.0560376211398078,"CDK10",1,"Up-regulated"
"BP","GO:0120178","steroid hormone biosynthetic process","1/5","38/10215",0.0184658151628637,0.058199292147732,"HSD17B2",1,"Up-regulated"
"BP","GO:0019748","secondary metabolic process","1/5","40/10215",0.0194300887928571,0.058199292147732,"LOC106888173",1,"Up-regulated"
"BP","GO:0032768","regulation of monooxygenase activity","1/5","40/10215",0.0194300887928571,0.058199292147732,"LOC106888173",1,"Up-regulated"
