"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","FDR","geneID","Count","GeneList"
"BP","GO:0036498","IRE1-mediated unfolded protein response","10/432","45/10646",9.70576945163303e-06,0.0398447377488093,"ERN1/GOSR2/HSPA5/HYOU1/LOC106899643/MYDGF/SHC1/SSR1/SYVN1/WIPI1",10,"Up-regulated"
"BP","GO:0070509","calcium ion import","11/432","60/10646",2.45451446554549e-05,0.050382139029618,"ACE/ANXA6/CACNA1H/CRHR2/LOC106889770/LOC106891566/MCU/MICU1/PLN/RAMP3/TRPC4",11,"Up-regulated"
"MF","GO:0005509","calcium ion binding","27/374","248/9100",3.33563233687309e-06,0.00219449495846914,"ACAN/ADAM8/ANXA11/AOC2/ASPN/ASTN2/CABP1/CALB2/CAMKK2/CANX/CHP1/CPNE1/HSPA5/LOC106885062/LOC106887804/LOC106895965/LOC106899551/MAN1A1/MICU1/PCLO/PLCD1/RASGRP3/SHH/SYTL2/THBS1/TNNC2/VSNL1",27,"Up-regulated"
"MF","GO:0008201","heparin binding","14/374","96/9100",3.41318496461823e-05,0.00787463272467208,"ANXA6/BMP4/CCDC80/COL13A1/FN1/HBEGF/HSD17B12/LAMC2/LOC106889046/LOC106891566/LOC106900022/MSTN/RSPO1/THBS1",14,"Up-regulated"
"MF","GO:0005539","glycosaminoglycan binding","17/374","135/9100",3.59083252245047e-05,0.00787463272467208,"ACAN/ANXA6/BMP4/CCDC80/COL13A1/ENG/FN1/HBEGF/HSD17B12/LAMC2/LOC106889046/LOC106891566/LOC106900022/MSTN/RSPO1/SEMA5A/THBS1",17,"Up-regulated"
"MF","GO:0001786","phosphatidylserine binding","8/374","38/9100",0.000124910970326917,0.0199463628456331,"ANXA6/CPNE1/LOC106887804/LOC106889088/LOC106891566/PLCD1/SYTL2/THBS1",8,"Up-regulated"
"MF","GO:0005544","calcium-dependent phospholipid binding","8/374","39/9100",0.000151592357626811,0.0199463628456331,"ANXA11/ANXA6/CPNE1/LOC106887804/LOC106891566/PCLO/PLCD1/SYTL2",8,"Up-regulated"
"MF","GO:1901681","sulfur compound binding","18/374","173/9100",0.000259960237005773,0.0285044119523874,"ANXA6/BMP4/CCDC80/COL13A1/DLD/FN1/GAL3ST4/HBEGF/HSD17B12/LAMC2/LOC106889046/LOC106891566/LOC106892053/LOC106900022/MSTN/RSPO1/SEMA5A/THBS1",18,"Up-regulated"
"MF","GO:0072341","modified amino acid binding","10/374","68/9100",0.000420728873619729,0.0395421873702753,"ANXA6/CPNE1/DPEP1/LOC106887804/LOC106889088/LOC106891566/LOC106892053/PLCD1/SYTL2/THBS1",10,"Up-regulated"
"MF","GO:0046872","metal ion binding","47/374","710/9100",0.000699551238944934,0.0575288847816557,"ACAN/ACE/ADAM8/ADPRH/AKAP8/ANXA11/AOC2/APOA4/ARF1/ASPN/ASTN2/CABP1/CALB2/CAMKK2/CANX/CHP1/CPNE1/CSRP1/DPEP1/DYRK3/ERN1/FN1/HHIP/HSPA5/LOC106885062/LOC106887804/LOC106895965/LOC106898456/LOC106899551/MAN1A1/MICU1/OXSR1/PCLO/PLCD1/POMGNT1/PPARG/RASGRP3/RHO/SHH/SYTL2/THBS1/TNNC2/TRHDE/TRIM24/TRIM54/VSNL1/ZFPM2",47,"Up-regulated"
"MF","GO:0048306","calcium-dependent protein binding","8/374","50/9100",0.000891514599992725,0.065169195905901,"ANXA11/ANXA6/CABP1/CHP1/LOC106891566/LOC106899551/SYN2/TNNC2",8,"Up-regulated"
"MF","GO:0051087","protein-folding chaperone binding","12/374","105/9100",0.00120454449829965,0.0792463485723452,"CDK1/ERN1/FN1/HDAC8/HSPA5/HSPA9/HYOU1/LBR/LOC106895699/LOC106899830/SYVN1/VWF",12,"Up-regulated"
"BP","GO:0007186","G protein-coupled receptor signaling pathway","41/345","610/10646",6.51983455155722e-06,0.0105288808344748,"ACTN2/ADCY2/ADCYAP1R1/ADORA1/ADRA1B/ADRA2A/ARPP19/CASR/CCL21/CISH/CPE/CRH/FZD8/GABRB2/GABRG2/GALR2/GNG2/GPR161/GPR176/GPSM1/GRID2IP/HTR1D/KALRN/LOC106889585/LOC106900191/LOC106901305/MARCO/NECAB2/OPN3/PDE6H/PDGFRL/PDYN/PENK/PRKACB/PRKD3/PRLH/RGS11/RGS12/RGS7/RGS7BP/RORB",41,"Down-regulated"
"BP","GO:0006813","potassium ion transport","20/345","199/10646",6.90026839316792e-06,0.0105288808344748,"ACTN2/ADORA1/ADRA2A/GALR2/GRIA2/KCNA2/KCNE1/KCNJ2/KCNJ6/KCNT2/LOC106894297/LOC106896489/NETO1/RGS7/SCN4A/SLC12A8/SLC24A1/SLC24A2/SLC24A4/TMEM38B",20,"Down-regulated"
"BP","GO:0098655","monoatomic cation transmembrane transport","45/345","706/10646",8.90179317217245e-06,0.0105288808344748,"ACTN2/ADCYAP1R1/ADRA2A/CACNA1S/CACNG5/CCL21/CEMIP/CRH/GALR2/GRIA2/JPH3/KCNA2/KCNE1/KCNJ2/KCNJ6/KCNT2/LOC106889368/LOC106891178/LOC106894297/LOC106896489/LOC106898977/LOXHD1/MICU3/NETO1/PEX5L/RGS7/RHCG/SCN4A/SCNN1B/SESTD1/SLC12A3/SLC12A8/SLC17A5/SLC1A7/SLC22A16/SLC24A1/SLC24A2/SLC24A4/SLC4A8/SLC6A8/THY1/TMCO3/TMEM38B/WNT5B/YWHAH",45,"Down-regulated"
"BP","GO:0030001","metal ion transport","44/345","693/10646",1.24759343982775e-05,0.0105288808344748,"ACTN2/ADCYAP1R1/ADORA1/ADRA2A/CACNA1S/CACNG5/CASR/CCL21/CEMIP/CRH/CUBN/FGF13/GALR2/GPR161/GRIA2/JPH3/KCNA2/KCNE1/KCNJ2/KCNJ6/KCNT2/LOC106891178/LOC106894297/LOC106896489/LOC106898977/LOXHD1/MICU3/NETO1/RGS7/SCN4A/SCNN1B/SESTD1/SLC12A3/SLC12A8/SLC1A7/SLC24A1/SLC24A2/SLC24A4/SLC4A8/SLC6A8/THY1/TMEM38B/WNT5B/YWHAH",44,"Down-regulated"
"BP","GO:0098662","inorganic cation transmembrane transport","41/345","630/10646",1.4187853606739e-05,0.0105288808344748,"ACTN2/ADCYAP1R1/ADRA2A/CACNA1S/CACNG5/CCL21/CEMIP/GALR2/GRIA2/JPH3/KCNA2/KCNE1/KCNJ2/KCNJ6/KCNT2/LOC106891178/LOC106894297/LOC106896489/LOC106898977/LOXHD1/MICU3/NETO1/RGS7/RHCG/SCN4A/SCNN1B/SESTD1/SLC12A3/SLC12A8/SLC17A5/SLC1A7/SLC22A16/SLC24A1/SLC24A2/SLC24A4/SLC4A8/SLC6A8/THY1/TMEM38B/WNT5B/YWHAH",41,"Down-regulated"
"BP","GO:0098660","inorganic ion transmembrane transport","43/345","684/10646",2.01278599114729e-05,0.0124474923136741,"ACTN2/ADCYAP1R1/ADRA2A/CACNA1S/CACNG5/CCL21/CEMIP/GABRB2/GABRG2/GALR2/GRIA2/JPH3/KCNA2/KCNE1/KCNJ2/KCNJ6/KCNT2/LOC106891178/LOC106894297/LOC106896489/LOC106898977/LOXHD1/MICU3/NETO1/RGS7/RHCG/SCN4A/SCNN1B/SESTD1/SLC12A3/SLC12A8/SLC17A5/SLC1A7/SLC22A16/SLC24A1/SLC24A2/SLC24A4/SLC4A8/SLC6A8/THY1/TMEM38B/WNT5B/YWHAH",43,"Down-regulated"
"BP","GO:0071805","potassium ion transmembrane transport","17/345","169/10646",3.34620375042505e-05,0.0177373958199223,"ACTN2/GALR2/GRIA2/KCNA2/KCNE1/KCNJ2/KCNJ6/KCNT2/LOC106894297/LOC106896489/NETO1/RGS7/SLC12A8/SLC24A1/SLC24A2/SLC24A4/TMEM38B",17,"Down-regulated"
"BP","GO:0006775","fat-soluble vitamin metabolic process","7/345","31/10646",4.74296114409281e-05,0.0219986026749041,"ALDH1A2/BCO1/CUBN/FGFR4/LOC106889049/LOC106896584/LOC106902359",7,"Down-regulated"
"BP","GO:0043268","positive regulation of potassium ion transport","8/345","45/10646",8.46818731413907e-05,0.0349127020846084,"ACTN2/ADORA1/ADRA2A/GALR2/KCNE1/KCNJ2/LOC106896489/RGS7",8,"Down-regulated"
"BP","GO:0007610","behavior","36/345","580/10646",0.00012893141636074,0.0478403413338534,"ADORA1/ADRA1B/AP1S2/BCHE/CASR/CEBPA/CNTFR/CRH/DDO/FGF13/GABRG2/GALR2/GPR176/JPH3/KCNA2/LOC106887391/LOC106889368/LOC106889585/LOC106896489/LOC106896584/LOC106900781/LSAMP/LYPD1/MDK/MMP17/NETO1/NPAS2/NPTX2/NR2C2/NRG1/NTRK2/PENK/PGR/PRLH/SEZ6L/STRBP",36,"Down-regulated"
"BP","GO:0010469","regulation of signaling receptor activity","21/345","275/10646",0.000238151629825688,0.0796095187888602,"ADORA1/ADRA2A/BMP7/CACNG5/CCL21/CRH/CSF1/FGF13/LOC106896489/LOC106898977/LOC106902095/LYPD1/MDK/NETO1/NRG1/NRP1/PDYN/PENK/PLAU/PRLH/WNT1",21,"Down-regulated"
"BP","GO:0007215","glutamate receptor signaling pathway","9/345","66/10646",0.000257460571402271,0.0796095187888602,"CACNG5/CRH/FRRS1L/GRIA2/GRID2IP/KALRN/LOC106898977/NECAB2/NETO1",9,"Down-regulated"
"MF","GO:0015318","inorganic molecular entity transmembrane transporter activity","42/301","592/9100",1.84773914799912e-06,0.00051458365888046,"AQP9/CACNA1S/CACNG5/GABRB2/GABRG2/GRIA2/JPH3/KCNA2/KCNE1/KCNJ2/KCNJ6/KCNT2/LOC106885322/LOC106889368/LOC106891178/LOC106894297/LOC106898977/LOC106902892/LOXHD1/LRRC8B/PEX5L/RHCG/SCN4A/SCNN1B/SLC12A3/SLC12A8/SLC16A14/SLC16A7/SLC17A5/SLC1A7/SLC22A16/SLC24A1/SLC24A2/SLC24A4/SLC38A11/SLC38A8/SLC43A2/SLC4A8/SLC6A8/SLCO2B1/TMCO3/TMEM38B",42,"Down-regulated"
"MF","GO:0015075","monoatomic ion transmembrane transporter activity","43/301","615/9100",2.01589474612964e-06,0.00051458365888046,"AQP9/CACNA1S/CACNG5/GABRB2/GABRG2/GRIA2/JPH3/KCNA2/KCNE1/KCNJ2/KCNJ6/KCNT2/LOC106885322/LOC106889368/LOC106891178/LOC106894297/LOC106898977/LOC106902892/LOXHD1/LRRC8B/NTRK2/PEX5L/RHCG/SCN4A/SCNN1B/SLC12A3/SLC12A8/SLC16A14/SLC16A7/SLC17A5/SLC1A7/SLC22A16/SLC24A1/SLC24A2/SLC24A4/SLC38A11/SLC38A8/SLC43A2/SLC4A8/SLC6A8/SLCO2B1/TMCO3/TMEM38B",43,"Down-regulated"
"MF","GO:0015267","channel activity","28/301","338/9100",6.60959129920634e-06,0.000843592573714493,"AQP9/CACNA1S/CACNG5/GABRB2/GABRG2/GRIA2/JPH3/KCNA2/KCNE1/KCNJ2/KCNJ6/KCNT2/LOC106889368/LOC106891178/LOC106894297/LOC106898977/LOXHD1/LRRC8B/NTRK2/PEX5L/RHCG/SCN4A/SCNN1B/SLC22A16/SLC24A1/SLC24A2/SLC24A4/TMEM38B",28,"Down-regulated"
