"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","FDR","geneID","Count","GeneList"
"MF","GO:0017166","vinculin binding","1/6","11/9081",0.00724793766788989,0.0643612484538596,"UTRN",1,"Up-regulated"
"MF","GO:0004303","estradiol 17-beta-dehydrogenase [NAD(P)] activity","1/6","12/9081",0.0079046645007449,0.0643612484538596,"HSD17B2",1,"Up-regulated"
"MF","GO:0017075","syntaxin-1 binding","1/6","17/9081",0.0111828707732259,0.0643612484538596,"LOC106900582",1,"Up-regulated"
"MF","GO:0033764","steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","1/6","17/9081",0.0111828707732259,0.0643612484538596,"HSD17B2",1,"Up-regulated"
"MF","GO:0043027","cysteine-type endopeptidase inhibitor activity involved in apoptotic process","1/6","19/9081",0.012491623245163,0.0643612484538596,"DPEP1",1,"Up-regulated"
"MF","GO:0051861","glycolipid binding","1/6","20/9081",0.0131454579682405,0.0643612484538596,"DPEP1",1,"Up-regulated"
"MF","GO:0016229","steroid dehydrogenase activity","1/6","22/9081",0.0144520451853367,0.0643612484538596,"HSD17B2",1,"Up-regulated"
"MF","GO:0004693","cyclin-dependent protein serine/threonine kinase activity","1/6","28/9081",0.0183631604665252,0.0643612484538596,"CDK10",1,"Up-regulated"
"MF","GO:0097472","cyclin-dependent protein kinase activity","1/6","28/9081",0.0183631604665252,0.0643612484538596,"CDK10",1,"Up-regulated"
"MF","GO:0004869","cysteine-type endopeptidase inhibitor activity","1/6","29/9081",0.0190137537546285,0.0643612484538596,"DPEP1",1,"Up-regulated"
"MF","GO:0031624","ubiquitin conjugating enzyme binding","1/6","31/9081",0.020313862396489,0.0643612484538596,"LOC106900582",1,"Up-regulated"
"MF","GO:0043028","cysteine-type endopeptidase regulator activity involved in apoptotic process","1/6","32/9081",0.0209633780678286,0.0643612484538596,"DPEP1",1,"Up-regulated"
"MF","GO:0044390","ubiquitin-like protein conjugating enzyme binding","1/6","36/9081",0.0235578534585855,0.0667631474534812,"LOC106900582",1,"Up-regulated"
"MF","GO:0008235","metalloexopeptidase activity","1/6","41/9081",0.0267928881737923,0.0705076004573482,"DPEP1",1,"Up-regulated"
"MF","GO:0003730","mRNA 3'-UTR binding","1/6","50/9081",0.0325934438253721,0.0800540725535455,"LOC106900582",1,"Up-regulated"
"MF","GO:0008238","exopeptidase activity","1/6","65/9081",0.0421970059842226,0.0834348655254783,"DPEP1",1,"Up-regulated"
"MF","GO:0072341","modified amino acid binding","1/6","70/9081",0.0453804831712739,0.0834348655254783,"DPEP1",1,"Up-regulated"
"MF","GO:0004866","endopeptidase inhibitor activity","1/6","72/9081",0.0466514026772769,0.0834348655254783,"DPEP1",1,"Up-regulated"
"MF","GO:0019905","syntaxin binding","1/6","72/9081",0.0466514026772769,0.0834348655254783,"LOC106900582",1,"Up-regulated"
"MF","GO:0030414","peptidase inhibitor activity","1/6","73/9081",0.0472863334780245,0.0834348655254783,"DPEP1",1,"Up-regulated"
"MF","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","1/6","77/9081",0.0498225339852142,0.0834348655254783,"HSD17B2",1,"Up-regulated"
"MF","GO:0061135","endopeptidase regulator activity","1/6","77/9081",0.0498225339852142,0.0834348655254783,"DPEP1",1,"Up-regulated"
"MF","GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","1/6","88/9081",0.0567680919132297,0.0909328703415579,"HSD17B2",1,"Up-regulated"
"MF","GO:0061134","peptidase regulator activity","1/6","101/9081",0.0649218815743283,0.0996607831184865,"DPEP1",1,"Up-regulated"
"MF","GO:0008237","metallopeptidase activity","1/6","107/9081",0.0686653088395512,0.0999446029395213,"DPEP1",1,"Up-regulated"
"MF","GO:0000149","SNARE binding","1/6","110/9081",0.0705323340744621,0.0999446029395213,"LOC106900582",1,"Up-regulated"
"MF","GO:0070492","oligosaccharide binding","1/7","10/9081",0.00768551433448272,0.0391647892017835,"LGALS1",1,"Down-regulated"
"MF","GO:0048018","receptor ligand activity","2/7","184/9081",0.00801951611217965,0.0391647892017835,"CSPG5/STC1",2,"Down-regulated"
"MF","GO:0030546","signaling receptor activator activity","2/7","187/9081",0.00827469908306586,0.0391647892017835,"CSPG5/STC1",2,"Down-regulated"
"MF","GO:0030545","signaling receptor regulator activity","2/7","202/9081",0.00960586237846299,0.0391647892017835,"CSPG5/STC1",2,"Down-regulated"
"MF","GO:0031489","myosin V binding","1/7","15/9081",0.0115092472978766,0.0391647892017835,"LOC106900021",1,"Down-regulated"
"MF","GO:0000030","mannosyltransferase activity","1/7","20/9081",0.0153203440112859,0.0391647892017835,"LOC106897801",1,"Down-regulated"
"MF","GO:0046965","nuclear retinoid X receptor binding","1/7","20/9081",0.0153203440112859,0.0391647892017835,"LOC106900021",1,"Down-regulated"
"MF","GO:0043236","laminin binding","1/7","25/9081",0.0191188392929627,0.0409874793720238,"LGALS1",1,"Down-regulated"
"MF","GO:0046966","nuclear thyroid hormone receptor binding","1/7","27/9081",0.0206347167894128,0.0409874793720238,"LOC106900021",1,"Down-regulated"
"MF","GO:0042974","nuclear retinoic acid receptor binding","1/7","30/9081",0.0229047678843662,0.0409874793720238,"LOC106900021",1,"Down-regulated"
"MF","GO:0035255","ionotropic glutamate receptor binding","1/7","35/9081",0.0266781644502883,0.0422728007846203,"LOC106900021",1,"Down-regulated"
"MF","GO:0048029","monosaccharide binding","1/7","43/9081",0.0326896186464282,0.0422728007846203,"LGALS1",1,"Down-regulated"
