"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","FDR","geneID","Count","GeneList"
"BP","GO:0036159","inner dynein arm assembly","1/4","10/10432",0.00382939586858766,0.0288096579044885,"CCDC40",1,"Up-regulated"
"BP","GO:0044848","biological phase","1/4","11/10432",0.00421172962569016,0.0288096579044885,"LOC106888173",1,"Up-regulated"
"BP","GO:0043455","regulation of secondary metabolic process","1/4","12/10432",0.00459395331645884,0.0288096579044885,"LOC106888173",1,"Up-regulated"
"BP","GO:0043568","positive regulation of insulin-like growth factor receptor signaling pathway","1/4","12/10432",0.00459395331645884,0.0288096579044885,"LOC106888173",1,"Up-regulated"
"BP","GO:0060287","epithelial cilium movement involved in determination of left/right asymmetry","1/4","12/10432",0.00459395331645884,0.0288096579044885,"CCDC40",1,"Up-regulated"
"BP","GO:0042438","melanin biosynthetic process","1/4","13/10432",0.00497606696201847,0.0288096579044885,"LOC106888173",1,"Up-regulated"
"BP","GO:0045683","negative regulation of epidermis development","1/4","14/10432",0.0053580705834938,0.0288096579044885,"LOC106888173",1,"Up-regulated"
"BP","GO:0048820","hair follicle maturation","1/4","14/10432",0.0053580705834938,0.0288096579044885,"LOC106888173",1,"Up-regulated"
"BP","GO:0006582","melanin metabolic process","1/4","15/10432",0.00573996420200673,0.0288096579044885,"LOC106888173",1,"Up-regulated"
"BP","GO:0003352","regulation of cilium movement","1/4","17/10432",0.00650342151462202,0.0288096579044885,"CCDC40",1,"Up-regulated"
"BP","GO:0044550","secondary metabolite biosynthetic process","1/4","18/10432",0.00688498525095815,0.0288096579044885,"LOC106888173",1,"Up-regulated"
"BP","GO:0051797","regulation of hair follicle development","1/4","18/10432",0.00688498525095815,0.0288096579044885,"LOC106888173",1,"Up-regulated"
"BP","GO:0043567","regulation of insulin-like growth factor receptor signaling pathway","1/4","19/10432",0.00726643906879942,0.0288096579044885,"LOC106888173",1,"Up-regulated"
"BP","GO:0070286","axonemal dynein complex assembly","1/4","20/10432",0.00764778298925683,0.0288096579044885,"CCDC40",1,"Up-regulated"
"BP","GO:0010837","regulation of keratinocyte proliferation","1/4","21/10432",0.00802901703344072,0.0288096579044885,"LOC106888173",1,"Up-regulated"
"BP","GO:0032402","melanosome transport","1/4","22/10432",0.00841014122245864,0.0288096579044885,"LOC106888173",1,"Up-regulated"
"BP","GO:0042634","regulation of hair cycle","1/4","22/10432",0.00841014122245864,0.0288096579044885,"LOC106888173",1,"Up-regulated"
"BP","GO:0051904","pigment granule transport","1/4","22/10432",0.00841014122245864,0.0288096579044885,"LOC106888173",1,"Up-regulated"
"BP","GO:0071634","regulation of transforming growth factor beta production","1/4","22/10432",0.00841014122245864,0.0288096579044885,"LOC106888173",1,"Up-regulated"
"BP","GO:0032401","establishment of melanosome localization","1/4","23/10432",0.00879115557741639,0.0288096579044885,"LOC106888173",1,"Up-regulated"
"BP","GO:0032770","positive regulation of monooxygenase activity","1/4","23/10432",0.00879115557741639,0.0288096579044885,"LOC106888173",1,"Up-regulated"
"BP","GO:0051905","establishment of pigment granule localization","1/4","23/10432",0.00879115557741639,0.0288096579044885,"LOC106888173",1,"Up-regulated"
"BP","GO:0071604","transforming growth factor beta production","1/4","23/10432",0.00879115557741639,0.0288096579044885,"LOC106888173",1,"Up-regulated"
"BP","GO:0060632","regulation of microtubule-based movement","1/4","24/10432",0.00917206011941796,0.0288096579044885,"CCDC40",1,"Up-regulated"
"BP","GO:0031424","keratinization","1/4","26/10432",0.00993353984895506,0.0288096579044885,"LOC106888173",1,"Up-regulated"
"BP","GO:0032400","melanosome localization","1/4","27/10432",0.0103141150786883,0.0288096579044885,"LOC106888173",1,"Up-regulated"
"BP","GO:0051875","pigment granule localization","1/4","27/10432",0.0103141150786883,0.0288096579044885,"LOC106888173",1,"Up-regulated"
"BP","GO:0003351","epithelial cilium movement involved in extracellular fluid movement","1/4","29/10432",0.0110749363735617,0.0288096579044885,"CCDC40",1,"Up-regulated"
"BP","GO:0043616","keratinocyte proliferation","1/4","30/10432",0.0114551824808871,0.0288096579044885,"LOC106888173",1,"Up-regulated"
"BP","GO:0006858","extracellular transport","1/4","31/10432",0.011835318922925,0.0288096579044885,"CCDC40",1,"Up-regulated"
"BP","GO:0048009","insulin-like growth factor receptor signaling pathway","1/4","31/10432",0.011835318922925,0.0288096579044885,"LOC106888173",1,"Up-regulated"
"BP","GO:0060325","face morphogenesis","1/4","31/10432",0.011835318922925,0.0288096579044885,"CRISPLD1",1,"Up-regulated"
"BP","GO:0044458","motile cilium assembly","1/4","32/10432",0.0122153457207624,0.028833670919822,"CCDC40",1,"Up-regulated"
"BP","GO:0051353","positive regulation of oxidoreductase activity","1/4","35/10432",0.0133547684599181,0.0289314085340744,"LOC106888173",1,"Up-regulated"
"BP","GO:0048793","pronephros development","1/4","36/10432",0.0137343568917889,0.0289314085340744,"CCDC40",1,"Up-regulated"
"BP","GO:0046189","phenol-containing compound biosynthetic process","1/4","37/10432",0.014113835784866,0.0289314085340744,"LOC106888173",1,"Up-regulated"
"BP","GO:0060323","head morphogenesis","1/4","37/10432",0.014113835784866,0.0289314085340744,"CRISPLD1",1,"Up-regulated"
"BP","GO:0061512","protein localization to cilium","1/4","37/10432",0.014113835784866,0.0289314085340744,"CCDC40",1,"Up-regulated"
"BP","GO:0030317","flagellated sperm motility","1/4","43/10432",0.0163884100087445,0.0302975392051166,"CCDC40",1,"Up-regulated"
"BP","GO:0032768","regulation of monooxygenase activity","1/4","43/10432",0.0163884100087445,0.0302975392051166,"LOC106888173",1,"Up-regulated"
"BP","GO:0019748","secondary metabolic process","1/4","44/10432",0.016767122720263,0.0302975392051166,"LOC106888173",1,"Up-regulated"
"BP","GO:0046148","pigment biosynthetic process","1/4","44/10432",0.016767122720263,0.0302975392051166,"LOC106888173",1,"Up-regulated"
"BP","GO:0060324","face development","1/4","45/10432",0.0171457260615335,0.0302975392051166,"CRISPLD1",1,"Up-regulated"
"BP","GO:0097722","sperm motility","1/4","45/10432",0.0171457260615335,0.0302975392051166,"CCDC40",1,"Up-regulated"
"BP","GO:0001895","retina homeostasis","1/4","46/10432",0.0175242200536153,0.0302975392051166,"LOC106888173",1,"Up-regulated"
"BP","GO:0033059","cellular pigmentation","1/4","48/10432",0.0182808800744386,0.0302975392051166,"LOC106888173",1,"Up-regulated"
"BP","GO:0035082","axoneme assembly","1/4","48/10432",0.0182808800744386,0.0302975392051166,"CCDC40",1,"Up-regulated"
"BP","GO:0060294","cilium movement involved in cell motility","1/4","50/10432",0.019037102951165,0.0308935442628555,"CCDC40",1,"Up-regulated"
"BP","GO:0010171","body morphogenesis","1/4","52/10432",0.0197928888521939,0.0314645279282996,"CRISPLD1",1,"Up-regulated"
"BP","GO:0042440","pigment metabolic process","1/4","54/10432",0.0205482379458924,0.0319608959123282,"LOC106888173",1,"Up-regulated"
"BP","GO:0002181","cytoplasmic translation","1/4","55/10432",0.0209257487425987,0.0319608959123282,"RPS29",1,"Up-regulated"
"BP","GO:0001539","cilium or flagellum-dependent cell motility","1/4","58/10432",0.0220576263846043,0.0324183585394383,"CCDC40",1,"Up-regulated"
"BP","GO:0060285","cilium-dependent cell motility","1/4","58/10432",0.0220576263846043,0.0324183585394383,"CCDC40",1,"Up-regulated"
"BP","GO:0051341","regulation of oxidoreductase activity","1/4","62/10432",0.0235652696135877,0.0339081566282376,"LOC106888173",1,"Up-regulated"
"BP","GO:0045682","regulation of epidermis development","1/4","63/10432",0.0239419078895327,0.0339081566282376,"LOC106888173",1,"Up-regulated"
"BP","GO:0001942","hair follicle development","1/4","66/10432",0.0250711689786124,0.0346812417388157,"LOC106888173",1,"Up-regulated"
"BP","GO:0022404","molting cycle process","1/4","68/10432",0.0258234651325506,0.0346812417388157,"LOC106888173",1,"Up-regulated"
"BP","GO:0022405","hair cycle process","1/4","68/10432",0.0258234651325506,0.0346812417388157,"LOC106888173",1,"Up-regulated"
"BP","GO:0001947","heart looping","1/4","70/10432",0.0265753258249273,0.0350860679936596,"CCDC40",1,"Up-regulated"
