"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","FDR","geneID","Count","GeneList"
"MF","GO:0000339","RNA cap binding","1/7","12/9098",0.00919936710710523,0.045500756263508,"LOC106896136",1,"Up-regulated"
"MF","GO:0004303","estradiol 17-beta-dehydrogenase [NAD(P)] activity","1/7","12/9098",0.00919936710710523,0.045500756263508,"HSD17B2",1,"Up-regulated"
"MF","GO:0008266","poly(U) RNA binding","1/7","16/9098",0.0122496582084924,0.045500756263508,"LOC106896136",1,"Up-regulated"
"MF","GO:0033764","steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","1/7","17/9098",0.0130109720592455,0.045500756263508,"HSD17B2",1,"Up-regulated"
"MF","GO:0048027","mRNA 5'-UTR binding","1/7","19/9098",0.0145320909914578,0.045500756263508,"RSL1D1",1,"Up-regulated"
"MF","GO:0008187","poly-pyrimidine tract binding","1/7","20/9098",0.0152918966267765,0.045500756263508,"LOC106896136",1,"Up-regulated"
"MF","GO:0016229","steroid dehydrogenase activity","1/7","22/9098",0.0168100016195738,0.045500756263508,"HSD17B2",1,"Up-regulated"
"MF","GO:0000049","tRNA binding","1/7","36/9098",0.0273806774711345,0.0648489729579501,"LOC106896136",1,"Up-regulated"
"MF","GO:0016903","oxidoreductase activity, acting on the aldehyde or oxo group of donors","1/7","41/9098",0.0311322353862272,0.065541548181531,"PDHB",1,"Up-regulated"
"MF","GO:0003730","mRNA 3'-UTR binding","1/7","50/9098",0.0378537893438858,0.0717229692831521,"RSL1D1",1,"Up-regulated"
"MF","GO:0002039","p53 binding","1/7","61/9098",0.0460147085853344,0.0735173312918649,"PLK3",1,"Up-regulated"
"MF","GO:0016491","oxidoreductase activity","2/7","477/9098",0.0483341924088551,0.0735173312918649,"HSD17B2/PDHB",2,"Up-regulated"
"MF","GO:0003727","single-stranded RNA binding","1/7","67/9098",0.0504410578585851,0.0735173312918649,"LOC106896136",1,"Up-regulated"
"MF","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","1/7","77/9098",0.0577791903266118,0.078197400442031,"HSD17B2",1,"Up-regulated"
"MF","GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","1/7","90/9098",0.067246054379193,0.0817158431142575,"HSD17B2",1,"Up-regulated"
"MF","GO:0003723","RNA binding","2/7","581/9098",0.0690044897409285,0.0817158431142575,"LOC106896136/RSL1D1",2,"Up-regulated"
"MF","GO:0003735","structural constituent of ribosome","1/7","103/9098",0.076631272001134,0.0854094672458459,"RPS29",1,"Up-regulated"
