"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","FDR","geneID","Count","GeneList"
"BP","GO:0003352","regulation of cilium movement","2/8","16/10459",6.11088210641918e-05,0.0160169436262987,"CCDC40/CCSAP",2,"Up-regulated"
"BP","GO:0060632","regulation of microtubule-based movement","2/8","23/10459",0.000128493040590662,0.0168393511089868,"CCDC40/CCSAP",2,"Up-regulated"
"BP","GO:0060325","face morphogenesis","2/8","32/10459",0.000251040883112889,0.0219330455772313,"CRISPLD1/DLX5",2,"Up-regulated"
"BP","GO:0060323","head morphogenesis","2/8","38/10459",0.000354993488924248,0.0232614154584573,"CRISPLD1/DLX5",2,"Up-regulated"
"BP","GO:0060324","face development","2/8","46/10459",0.00052104460862175,0.0249606099776849,"CRISPLD1/DLX5",2,"Up-regulated"
"BP","GO:0060294","cilium movement involved in cell motility","2/8","51/10459",0.000640638520417601,0.0249606099776849,"CCDC40/CCSAP",2,"Up-regulated"
"BP","GO:0010171","body morphogenesis","2/8","54/10459",0.000718196748910758,0.0249606099776849,"CRISPLD1/DLX5",2,"Up-regulated"
"BP","GO:0001539","cilium or flagellum-dependent cell motility","2/8","59/10459",0.000857081185980747,0.0249606099776849,"CCDC40/CCSAP",2,"Up-regulated"
"BP","GO:0060285","cilium-dependent cell motility","2/8","59/10459",0.000857081185980747,0.0249606099776849,"CCDC40/CCSAP",2,"Up-regulated"
"BP","GO:0061371","determination of heart left/right asymmetry","2/8","81/10459",0.00160936917045253,0.0421824129939663,"CCDC40/CCSAP",2,"Up-regulated"
"BP","GO:0003341","cilium movement","2/8","91/10459",0.00202628129958167,0.0482817266598886,"CCDC40/CCSAP",2,"Up-regulated"
"BP","GO:0007368","determination of left/right symmetry","2/8","141/10459",0.00479107623382264,0.0887757510290619,"CCDC40/CCSAP",2,"Up-regulated"
"BP","GO:0060972","left/right pattern formation","2/8","144/10459",0.00499211254885827,0.0887757510290619,"CCDC40/CCSAP",2,"Up-regulated"
"BP","GO:0009855","determination of bilateral symmetry","2/8","157/10459",0.00590802908416647,0.0887757510290619,"CCDC40/CCSAP",2,"Up-regulated"
"BP","GO:0009799","specification of symmetry","2/8","158/10459",0.00598147592430381,0.0887757510290619,"CCDC40/CCSAP",2,"Up-regulated"
"BP","GO:0036159","inner dynein arm assembly","1/8","10/10459",0.00762591113195188,0.0887757510290619,"CCDC40",1,"Up-regulated"
