"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","FDR","geneID","Count","GeneList"
"MF","GO:0043295","glutathione binding","1/6","11/8422",0.00781338640750695,0.0955626931775602,"LOC106892053",1,"Up-regulated"
"MF","GO:1900750","oligopeptide binding","1/6","12/8422",0.00852116427952643,0.0955626931775602,"LOC106892053",1,"Up-regulated"
"MF","GO:0004364","glutathione transferase activity","1/6","16/8422",0.0113480698148353,0.0955626931775602,"LOC106892053",1,"Up-regulated"
"BP","GO:0019731","antibacterial humoral response","4/10","18/9825",1.64480096466648e-09,8.32788698952186e-07,"APP/LOC106894049/LOC106894882/LOC106894903",4,"Down-regulated"
"BP","GO:0019730","antimicrobial humoral response","4/10","42/9825",5.94613189164556e-08,1.50531023151659e-05,"APP/LOC106894049/LOC106894882/LOC106894903",4,"Down-regulated"
"BP","GO:0009617","response to bacterium","6/10","381/9825",6.01854842601965e-07,0.000101576203260191,"APP/LOC106894049/LOC106894882/LOC106894903/LOC106898670/PLCG2",6,"Down-regulated"
"BP","GO:0042742","defense response to bacterium","4/10","102/9825",2.19199319689923e-06,0.000277460191502245,"APP/LOC106894049/LOC106894882/LOC106894903",4,"Down-regulated"
"BP","GO:0006959","humoral immune response","4/10","108/9825",2.75615097085181e-06,0.0002790965509431,"APP/LOC106894049/LOC106894882/LOC106894903",4,"Down-regulated"
"BP","GO:0098542","defense response to other organism","6/10","549/9825",5.13074014692217e-06,0.000432962458012204,"APP/LOC106894049/LOC106894882/LOC106894903/LOC106898670/PLCG2",6,"Down-regulated"
"BP","GO:0002092","positive regulation of receptor internalization","2/10","28/9825",0.000347520450291901,0.025136441592542,"APP/PLCG2",2,"Down-regulated"
"BP","GO:0051480","regulation of cytosolic calcium ion concentration","3/10","200/9825",0.000897258334830292,0.0384832952861039,"APP/LOC106898670/PLCG2",3,"Down-regulated"
"BP","GO:0050918","positive chemotaxis","2/10","45/9825",0.000901805777839662,0.0384832952861039,"APP/LOC106898670",2,"Down-regulated"
"BP","GO:0006898","receptor-mediated endocytosis","3/10","201/9825",0.000910361951977396,0.0384832952861039,"APP/LOC106898670/PLCG2",3,"Down-regulated"
"BP","GO:0002090","regulation of receptor internalization","2/10","46/9825",0.000942284887737902,0.0384832952861039,"APP/PLCG2",2,"Down-regulated"
"BP","GO:0007204","positive regulation of cytosolic calcium ion concentration","3/10","206/9825",0.000977720478323899,0.0384832952861039,"APP/LOC106898670/PLCG2",3,"Down-regulated"
"BP","GO:0048260","positive regulation of receptor-mediated endocytosis","2/10","48/9825",0.00102583871476528,0.0384832952861039,"APP/PLCG2",2,"Down-regulated"
"BP","GO:0001816","cytokine production","4/10","497/9825",0.00106409111705859,0.0384832952861039,"APP/LOC106898670/PLCG2/VTCN1",4,"Down-regulated"
