"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","FDR","geneID","Count","GeneList"
"BP","GO:0010038","response to metal ion","14/108","345/10646",9.58432043301426e-06,0.022215445887892,"ANXA11/CDK1/CSPG4/ENTPD6/FN1/LOC106892053/NDRG1/NGB/PLCD1/PLN/PPARGC1A/SLC30A3/TNFRSF11B/TPH2",14,"Up-regulated"
"BP","GO:0010447","response to acidic pH","4/108","20/10646",4.28213538232824e-05,0.0357959467864958,"ACAN/CHP1/NOX1/PKD2L1",4,"Up-regulated"
"BP","GO:0010035","response to inorganic substance","17/108","574/10646",6.08770055645224e-05,0.0357959467864958,"ANXA11/BMP4/CDK1/CSPG4/DRD3/ENTPD6/FN1/GJA3/LOC106892053/NDRG1/NGB/PLCD1/PLN/PPARGC1A/SLC30A3/TNFRSF11B/TPH2",17,"Up-regulated"
"BP","GO:0009268","response to pH","5/108","42/10646",6.17732051719729e-05,0.0357959467864958,"ACAN/CHP1/GJA3/NOX1/PKD2L1",5,"Up-regulated"
"BP","GO:0002063","chondrocyte development","4/108","26/10646",0.000126081961866107,0.0584489431640354,"ACAN/CHST11/LCNL1/SULF1",4,"Up-regulated"
"BP","GO:0071468","cellular response to acidic pH","3/108","11/10646",0.000157904913367053,0.0610011612691669,"CHP1/NOX1/PKD2L1",3,"Up-regulated"
"MF","GO:0005509","calcium ion binding","12/94","248/9100",8.46671611758913e-06,0.0029410698092678,"ACAN/ANXA11/ASPN/CHP1/LOC106885062/LOC106887804/MICU1/PKD2L1/PLCD1/SYTL2/TNNC2/VSNL1",12,"Up-regulated"
"MF","GO:0004364","glutathione transferase activity","3/94","17/9100",0.000653528021538028,0.0700885269820775,"LOC106892051/LOC106892053/LOC106892054",3,"Up-regulated"
"MF","GO:0005544","calcium-dependent phospholipid binding","4/94","39/9100",0.00066591278602016,0.0700885269820775,"ANXA11/LOC106887804/PLCD1/SYTL2",4,"Up-regulated"
"MF","GO:0016765","transferase activity, transferring alkyl or aryl (other than methyl) groups","4/94","41/9100",0.000807080007672407,0.0700885269820775,"FDFT1/LOC106892051/LOC106892053/LOC106892054",4,"Up-regulated"
"MF","GO:0031690","adrenergic receptor binding","3/94","20/9100",0.00107129981606464,0.0744271451160699,"ADRA2C/BDKRB2/SLC9A3R1",3,"Up-regulated"
"BP","GO:0021700","developmental maturation","8/64","217/10646",4.34493977570017e-05,0.0823251746974769,"AP1M1/CCL21/GATA3/GRB14/KCNE1/LOC106885613/PGR/WNT1",8,"Down-regulated"
