"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","FDR","geneID","Count","GeneList"
"BP","GO:0036159","inner dynein arm assembly","1/3","11/10634",0.00310033602609816,0.0309468876004271,"CCDC40",1,"Up-regulated"
"BP","GO:0046112","nucleobase biosynthetic process","1/3","11/10634",0.00310033602609816,0.0309468876004271,"APRT",1,"Up-regulated"
"BP","GO:0042451","purine nucleoside biosynthetic process","1/3","12/10634",0.00338186657226425,0.0309468876004271,"APRT",1,"Up-regulated"
"BP","GO:0046129","purine ribonucleoside biosynthetic process","1/3","12/10634",0.00338186657226425,0.0309468876004271,"APRT",1,"Up-regulated"
"BP","GO:0060287","epithelial cilium movement involved in determination of left/right asymmetry","1/3","12/10634",0.00338186657226425,0.0309468876004271,"CCDC40",1,"Up-regulated"
"BP","GO:0043101","purine-containing compound salvage","1/3","13/10634",0.00366334410947777,0.0309468876004271,"APRT",1,"Up-regulated"
"BP","GO:0006144","purine nucleobase metabolic process","1/3","14/10634",0.00394476864272986,0.0309468876004271,"APRT",1,"Up-regulated"
"BP","GO:0003352","regulation of cilium movement","1/3","17/10634",0.00478872426862731,0.0309468876004271,"CCDC40",1,"Up-regulated"
"BP","GO:0043174","nucleoside salvage","1/3","17/10634",0.00478872426862731,0.0309468876004271,"APRT",1,"Up-regulated"
"BP","GO:0048732","gland development","2/3","465/10634",0.0055583347813959,0.0309468876004271,"APRT/CCDC40",2,"Up-regulated"
"BP","GO:0007625","grooming behavior","1/3","22/10634",0.00619425736505053,0.0309468876004271,"APRT",1,"Up-regulated"
"BP","GO:0070286","axonemal dynein complex assembly","1/3","22/10634",0.00619425736505053,0.0309468876004271,"CCDC40",1,"Up-regulated"
"BP","GO:0042455","ribonucleoside biosynthetic process","1/3","24/10634",0.00675609985538339,0.0309468876004271,"APRT",1,"Up-regulated"
"BP","GO:0060632","regulation of microtubule-based movement","1/3","24/10634",0.00675609985538339,0.0309468876004271,"CCDC40",1,"Up-regulated"
"BP","GO:0009112","nucleobase metabolic process","1/3","26/10634",0.00731773054947249,0.0309468876004271,"APRT",1,"Up-regulated"
"BP","GO:0003351","epithelial cilium movement involved in extracellular fluid movement","1/3","29/10634",0.00815977955999114,0.0309468876004271,"CCDC40",1,"Up-regulated"
"BP","GO:0006858","extracellular transport","1/3","31/10634",0.00872088093815471,0.0309468876004271,"CCDC40",1,"Up-regulated"
"BP","GO:0043094","cellular metabolic compound salvage","1/3","31/10634",0.00872088093815471,0.0309468876004271,"APRT",1,"Up-regulated"
"BP","GO:0044458","motile cilium assembly","1/3","33/10634",0.00928177065982105,0.0309468876004271,"CCDC40",1,"Up-regulated"
"BP","GO:0009163","nucleoside biosynthetic process","1/3","35/10634",0.00984244876491869,0.0309468876004271,"APRT",1,"Up-regulated"
"BP","GO:0048793","pronephros development","1/3","37/10634",0.0104029152933743,0.0309468876004271,"CCDC40",1,"Up-regulated"
"BP","GO:0061512","protein localization to cilium","1/3","37/10634",0.0104029152933743,0.0309468876004271,"CCDC40",1,"Up-regulated"
"BP","GO:1901659","glycosyl compound biosynthetic process","1/3","37/10634",0.0104029152933743,0.0309468876004271,"APRT",1,"Up-regulated"
"BP","GO:0007595","lactation","1/3","40/10634",0.0112432184671971,0.0320530351038514,"APRT",1,"Up-regulated"
"BP","GO:0046148","pigment biosynthetic process","1/3","43/10634",0.0120830458181693,0.0330693885549897,"APRT",1,"Up-regulated"
"BP","GO:0030317","flagellated sperm motility","1/3","45/10634",0.0126426664393355,0.0332701748403567,"CCDC40",1,"Up-regulated"
"BP","GO:0097722","sperm motility","1/3","47/10634",0.0132020756834984,0.0334555524143234,"CCDC40",1,"Up-regulated"
"BP","GO:0035082","axoneme assembly","1/3","50/10634",0.0140407933052034,0.0339346424898552,"CCDC40",1,"Up-regulated"
"BP","GO:0060294","cilium movement involved in cell motility","1/3","52/10634",0.0145996742815416,0.0339346424898552,"CCDC40",1,"Up-regulated"
"BP","GO:0042440","pigment metabolic process","1/3","53/10634",0.0148790355532442,0.0339346424898552,"APRT",1,"Up-regulated"
"BP","GO:0002181","cytoplasmic translation","1/3","55/10634",0.0154375996886704,0.0339972704117596,"RPS29",1,"Up-regulated"
"BP","GO:0046128","purine ribonucleoside metabolic process","1/3","60/10634",0.0168330862136064,0.0339972704117596,"APRT",1,"Up-regulated"
"BP","GO:0001539","cilium or flagellum-dependent cell motility","1/3","61/10634",0.0171120251904702,0.0339972704117596,"CCDC40",1,"Up-regulated"
"BP","GO:0060285","cilium-dependent cell motility","1/3","61/10634",0.0171120251904702,0.0339972704117596,"CCDC40",1,"Up-regulated"
"BP","GO:0042278","purine nucleoside metabolic process","1/3","62/10634",0.0173909114029386,0.0339972704117596,"APRT",1,"Up-regulated"
"BP","GO:0001947","heart looping","1/3","74/10634",0.0207334321464182,0.0387942764413994,"CCDC40",1,"Up-regulated"
"BP","GO:0001578","microtubule bundle formation","1/3","76/10634",0.0212897809109039,0.0387942764413994,"CCDC40",1,"Up-regulated"
