"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","FDR","geneID","Count","GeneList"
"BP","GO:0030216","keratinocyte differentiation","2/8","93/10625",0.00205074760988779,0.0970875598330312,"LOC106888173/SCEL",2,"Up-regulated"
"BP","GO:0009913","epidermal cell differentiation","2/8","153/10625",0.00544923658220795,0.0970875598330312,"LOC106888173/SCEL",2,"Up-regulated"
"BP","GO:0030324","lung development","2/8","166/10625",0.00638643910991496,0.0970875598330312,"CCDC40/GGCX",2,"Up-regulated"
"BP","GO:0030323","respiratory tube development","2/8","168/10625",0.00653678423219637,0.0970875598330312,"CCDC40/GGCX",2,"Up-regulated"
"BP","GO:0032388","positive regulation of intracellular transport","2/8","168/10625",0.00653678423219637,0.0970875598330312,"LOC106888173/PLK3",2,"Up-regulated"
"BP","GO:0033631","cell-cell adhesion mediated by integrin","1/8","10/10625",0.00750712076907156,0.0970875598330312,"PIEZO1",1,"Up-regulated"
"BP","GO:0036159","inner dynein arm assembly","1/8","10/10625",0.00750712076907156,0.0970875598330312,"CCDC40",1,"Up-regulated"
"BP","GO:0048308","organelle inheritance","1/8","10/10625",0.00750712076907156,0.0970875598330312,"PLK3",1,"Up-regulated"
"BP","GO:0043568","positive regulation of insulin-like growth factor receptor signaling pathway","1/8","11/10625",0.00825511351837382,0.0970875598330312,"LOC106888173",1,"Up-regulated"
"BP","GO:0044848","biological phase","1/8","11/10625",0.00825511351837382,0.0970875598330312,"LOC106888173",1,"Up-regulated"
"BP","GO:0043588","skin development","2/8","195/10625",0.00872450220605236,0.0970875598330312,"LOC106888173/SCEL",2,"Up-regulated"
"BP","GO:0033623","regulation of integrin activation","1/8","12/10625",0.00900261296173677,0.0970875598330312,"PIEZO1",1,"Up-regulated"
"BP","GO:0060287","epithelial cilium movement involved in determination of left/right asymmetry","1/8","12/10625",0.00900261296173677,0.0970875598330312,"CCDC40",1,"Up-regulated"
"BP","GO:0061684","chaperone-mediated autophagy","1/8","12/10625",0.00900261296173677,0.0970875598330312,"PLK3",1,"Up-regulated"
"BP","GO:0060541","respiratory system development","2/8","199/10625",0.00907330395841849,0.0970875598330312,"CCDC40/GGCX",2,"Up-regulated"
"BP","GO:0042438","melanin biosynthetic process","1/8","13/10625",0.00974961937804741,0.0970875598330312,"LOC106888173",1,"Up-regulated"
"BP","GO:0043455","regulation of secondary metabolic process","1/8","13/10625",0.00974961937804741,0.0970875598330312,"LOC106888173",1,"Up-regulated"
"BP","GO:0009612","response to mechanical stimulus","2/8","211/10625",0.0101572756168622,0.0970875598330312,"PIEZO1/SCEL",2,"Up-regulated"
"BP","GO:0048820","hair follicle maturation","1/8","14/10625",0.0104961330460628,0.0970875598330312,"LOC106888173",1,"Up-regulated"
"BP","GO:0071107","response to parathyroid hormone","1/8","14/10625",0.0104961330460628,0.0970875598330312,"GGCX",1,"Up-regulated"
"BP","GO:0006582","melanin metabolic process","1/8","15/10625",0.011242154244407,0.0970875598330312,"LOC106888173",1,"Up-regulated"
"BP","GO:0045683","negative regulation of epidermis development","1/8","15/10625",0.011242154244407,0.0970875598330312,"LOC106888173",1,"Up-regulated"
"BP","GO:0060070","canonical Wnt signaling pathway","2/8","224/10625",0.0113944083641706,0.0970875598330312,"LOC106888173/SCEL",2,"Up-regulated"
"BP","GO:0003352","regulation of cilium movement","1/8","17/10625",0.012732720345927,0.0970875598330312,"CCDC40",1,"Up-regulated"
"BP","GO:0033622","integrin activation","1/8","18/10625",0.0134772658056962,0.0970875598330312,"PIEZO1",1,"Up-regulated"
"BP","GO:0033630","positive regulation of cell adhesion mediated by integrin","1/8","18/10625",0.0134772658056962,0.0970875598330312,"PIEZO1",1,"Up-regulated"
"BP","GO:0044550","secondary metabolite biosynthetic process","1/8","18/10625",0.0134772658056962,0.0970875598330312,"LOC106888173",1,"Up-regulated"
"BP","GO:0051797","regulation of hair follicle development","1/8","18/10625",0.0134772658056962,0.0970875598330312,"LOC106888173",1,"Up-regulated"
"BP","GO:0008544","epidermis development","2/8","251/10625",0.0141681520562753,0.0970875598330312,"LOC106888173/SCEL",2,"Up-regulated"
"BP","GO:0043567","regulation of insulin-like growth factor receptor signaling pathway","1/8","19/10625",0.0142213199089823,0.0970875598330312,"LOC106888173",1,"Up-regulated"
"BP","GO:0070286","axonemal dynein complex assembly","1/8","20/10625",0.0149648829337538,0.0970875598330312,"CCDC40",1,"Up-regulated"
"BP","GO:0010837","regulation of keratinocyte proliferation","1/8","21/10625",0.0157079551578493,0.0970875598330312,"LOC106888173",1,"Up-regulated"
"BP","GO:0018200","peptidyl-glutamic acid modification","1/8","22/10625",0.0164505368589749,0.0970875598330312,"GGCX",1,"Up-regulated"
"BP","GO:0042634","regulation of hair cycle","1/8","22/10625",0.0164505368589749,0.0970875598330312,"LOC106888173",1,"Up-regulated"
"BP","GO:0071634","regulation of transforming growth factor beta production","1/8","22/10625",0.0164505368589749,0.0970875598330312,"LOC106888173",1,"Up-regulated"
"BP","GO:0032402","melanosome transport","1/8","23/10625",0.0171926283147068,0.0970875598330312,"LOC106888173",1,"Up-regulated"
"BP","GO:0051904","pigment granule transport","1/8","23/10625",0.0171926283147068,0.0970875598330312,"LOC106888173",1,"Up-regulated"
"BP","GO:0071604","transforming growth factor beta production","1/8","23/10625",0.0171926283147068,0.0970875598330312,"LOC106888173",1,"Up-regulated"
"BP","GO:0032401","establishment of melanosome localization","1/8","24/10625",0.0179342298024905,0.0970875598330312,"LOC106888173",1,"Up-regulated"
"BP","GO:0032770","positive regulation of monooxygenase activity","1/8","24/10625",0.0179342298024905,0.0970875598330312,"LOC106888173",1,"Up-regulated"
"BP","GO:0051905","establishment of pigment granule localization","1/8","24/10625",0.0179342298024905,0.0970875598330312,"LOC106888173",1,"Up-regulated"
"BP","GO:0060632","regulation of microtubule-based movement","1/8","24/10625",0.0179342298024905,0.0970875598330312,"CCDC40",1,"Up-regulated"
"BP","GO:0031424","keratinization","1/8","25/10625",0.0186753415996401,0.0987484402820629,"LOC106888173",1,"Up-regulated"
