"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","FDR","geneID","Count","GeneList"
"BP","GO:0036159","inner dynein arm assembly","1/6","10/10593",0.00565209795325883,0.0765577261574763,"CCDC40",1,"Up-regulated"
"BP","GO:0044848","biological phase","1/6","11/10593",0.00621584050379098,0.0765577261574763,"LOC106888173",1,"Up-regulated"
"BP","GO:0042438","melanin biosynthetic process","1/6","12/10593",0.00677931668570131,0.0765577261574763,"LOC106888173",1,"Up-regulated"
"BP","GO:0043568","positive regulation of insulin-like growth factor receptor signaling pathway","1/6","12/10593",0.00677931668570131,0.0765577261574763,"LOC106888173",1,"Up-regulated"
"BP","GO:0060287","epithelial cilium movement involved in determination of left/right asymmetry","1/6","12/10593",0.00677931668570131,0.0765577261574763,"CCDC40",1,"Up-regulated"
"BP","GO:0009414","response to water deprivation","1/6","13/10593",0.00734252659968748,0.0765577261574763,"SLC4A1",1,"Up-regulated"
"BP","GO:0043455","regulation of secondary metabolic process","1/6","13/10593",0.00734252659968748,0.0765577261574763,"LOC106888173",1,"Up-regulated"
"BP","GO:0006582","melanin metabolic process","1/6","14/10593",0.00790547034641731,0.0765577261574763,"LOC106888173",1,"Up-regulated"
"BP","GO:0045683","negative regulation of epidermis development","1/6","14/10593",0.00790547034641731,0.0765577261574763,"LOC106888173",1,"Up-regulated"
"BP","GO:0048820","hair follicle maturation","1/6","14/10593",0.00790547034641731,0.0765577261574763,"LOC106888173",1,"Up-regulated"
"BP","GO:0050678","regulation of epithelial cell proliferation","2/6","259/10593",0.00837079064161871,0.0765577261574763,"LOC106888173/WFDC1",2,"Up-regulated"
"BP","GO:0003352","regulation of cilium movement","1/6","17/10593",0.00959270558932579,0.0765577261574763,"CCDC40",1,"Up-regulated"
"BP","GO:0044550","secondary metabolite biosynthetic process","1/6","17/10593",0.00959270558932579,0.0765577261574763,"LOC106888173",1,"Up-regulated"
"BP","GO:0051797","regulation of hair follicle development","1/6","18/10593",0.0101545856731446,0.0765577261574763,"LOC106888173",1,"Up-regulated"
"BP","GO:0009415","response to water","1/6","20/10593",0.0112775489482516,0.0765577261574763,"SLC4A1",1,"Up-regulated"
"BP","GO:0010837","regulation of keratinocyte proliferation","1/6","20/10593",0.0112775489482516,0.0765577261574763,"LOC106888173",1,"Up-regulated"
"BP","GO:0043567","regulation of insulin-like growth factor receptor signaling pathway","1/6","20/10593",0.0112775489482516,0.0765577261574763,"LOC106888173",1,"Up-regulated"
"BP","GO:0070286","axonemal dynein complex assembly","1/6","20/10593",0.0112775489482516,0.0765577261574763,"CCDC40",1,"Up-regulated"
"BP","GO:0050673","epithelial cell proliferation","2/6","315/10593",0.0122150368657774,0.0765577261574763,"LOC106888173/WFDC1",2,"Up-regulated"
"BP","GO:0010447","response to acidic pH","1/6","22/10593",0.0123994503698254,0.0765577261574763,"SLC4A1",1,"Up-regulated"
"BP","GO:0042634","regulation of hair cycle","1/6","22/10593",0.0123994503698254,0.0765577261574763,"LOC106888173",1,"Up-regulated"
"BP","GO:0071634","regulation of transforming growth factor beta production","1/6","22/10593",0.0123994503698254,0.0765577261574763,"LOC106888173",1,"Up-regulated"
"BP","GO:0032402","melanosome transport","1/6","23/10593",0.0129600031366193,0.0765577261574763,"LOC106888173",1,"Up-regulated"
"BP","GO:0032770","positive regulation of monooxygenase activity","1/6","23/10593",0.0129600031366193,0.0765577261574763,"LOC106888173",1,"Up-regulated"
"BP","GO:0051904","pigment granule transport","1/6","23/10593",0.0129600031366193,0.0765577261574763,"LOC106888173",1,"Up-regulated"
"BP","GO:0071604","transforming growth factor beta production","1/6","23/10593",0.0129600031366193,0.0765577261574763,"LOC106888173",1,"Up-regulated"
"BP","GO:0032401","establishment of melanosome localization","1/6","24/10593",0.0135202907412723,0.0765577261574763,"LOC106888173",1,"Up-regulated"
"BP","GO:0051905","establishment of pigment granule localization","1/6","24/10593",0.0135202907412723,0.0765577261574763,"LOC106888173",1,"Up-regulated"
"BP","GO:0060632","regulation of microtubule-based movement","1/6","24/10593",0.0135202907412723,0.0765577261574763,"CCDC40",1,"Up-regulated"
"BP","GO:0031424","keratinization","1/6","25/10593",0.0140803132841386,0.0765584888913659,"LOC106888173",1,"Up-regulated"
"BP","GO:0032400","melanosome localization","1/6","28/10593",0.0157587915451364,0.0765584888913659,"LOC106888173",1,"Up-regulated"
"BP","GO:0046685","response to arsenic-containing substance","1/6","28/10593",0.0157587915451364,0.0765584888913659,"SLC4A1",1,"Up-regulated"
"BP","GO:0051875","pigment granule localization","1/6","28/10593",0.0157587915451364,0.0765584888913659,"LOC106888173",1,"Up-regulated"
"BP","GO:0003351","epithelial cilium movement involved in extracellular fluid movement","1/6","29/10593",0.0163177548438328,0.0765584888913659,"CCDC40",1,"Up-regulated"
"BP","GO:0043616","keratinocyte proliferation","1/6","29/10593",0.0163177548438328,0.0765584888913659,"LOC106888173",1,"Up-regulated"
"BP","GO:0006858","extracellular transport","1/6","31/10593",0.0174348878600885,0.0777539338882516,"CCDC40",1,"Up-regulated"
"BP","GO:0044458","motile cilium assembly","1/6","32/10593",0.0179930577779864,0.0777539338882516,"CCDC40",1,"Up-regulated"
"BP","GO:0048009","insulin-like growth factor receptor signaling pathway","1/6","32/10593",0.0179930577779864,0.0777539338882516,"LOC106888173",1,"Up-regulated"
"BP","GO:0051353","positive regulation of oxidoreductase activity","1/6","35/10593",0.0196659823721997,0.079355483310331,"LOC106888173",1,"Up-regulated"
"BP","GO:0015701","bicarbonate transport","1/6","36/10593",0.0202230958506774,0.079355483310331,"SLC4A1",1,"Up-regulated"
"BP","GO:0046189","phenol-containing compound biosynthetic process","1/6","37/10593",0.020779945469404,0.079355483310331,"LOC106888173",1,"Up-regulated"
"BP","GO:0048793","pronephros development","1/6","37/10593",0.020779945469404,0.079355483310331,"CCDC40",1,"Up-regulated"
"BP","GO:0061512","protein localization to cilium","1/6","37/10593",0.020779945469404,0.079355483310331,"CCDC40",1,"Up-regulated"
"BP","GO:0019755","one-carbon compound transport","1/6","40/10593",0.0224489121667822,0.0835832317291172,"SLC4A1",1,"Up-regulated"
"BP","GO:0032768","regulation of monooxygenase activity","1/6","43/10593",0.0241155077241468,0.0835832317291172,"LOC106888173",1,"Up-regulated"
"BP","GO:0046148","pigment biosynthetic process","1/6","43/10593",0.0241155077241468,0.0835832317291172,"LOC106888173",1,"Up-regulated"
