"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","FDR","geneID","Count","GeneList"
"BP","GO:0060456","positive regulation of digestive system process","2/17","14/10432",0.000224863531251562,0.0895443844370439,"ADRB1/LOC106902860",2,"Up-regulated"
"BP","GO:0002027","regulation of heart rate","3/17","88/10432",0.000362103555999252,0.0895443844370439,"ADRB1/KCNE3/LOC106902860",3,"Up-regulated"
"BP","GO:0032414","positive regulation of ion transmembrane transporter activity","3/17","89/10432",0.000374357523516925,0.0895443844370439,"ADRB1/HTR3A/KCNE3",3,"Up-regulated"
"BP","GO:0043270","positive regulation of monoatomic ion transport","4/17","241/10432",0.000521681430375752,0.0895443844370439,"ADRB1/HTR3A/KCNE3/LOC106902860",4,"Up-regulated"
"BP","GO:0032411","positive regulation of transporter activity","3/17","100/10432",0.000527157184421099,0.0895443844370439,"ADRB1/HTR3A/KCNE3",3,"Up-regulated"
"BP","GO:0035809","regulation of urine volume","2/17","22/10432",0.000566447160154668,0.0895443844370439,"ADRB1/LOC106902860",2,"Up-regulated"
"BP","GO:0045932","negative regulation of muscle contraction","2/17","25/10432",0.000733533895675317,0.0895443844370439,"ADRB1/KCNE3",2,"Up-regulated"
"BP","GO:0032970","regulation of actin filament-based process","4/17","269/10432",0.000789291329200489,0.0895443844370439,"ADRB1/CDK10/KCNE3/SFRP1",4,"Up-regulated"
"BP","GO:0034695","response to prostaglandin E","2/17","27/10432",0.000856591623809924,0.0895443844370439,"LOC106902860/SFRP1",2,"Up-regulated"
"BP","GO:0006937","regulation of muscle contraction","3/17","127/10432",0.00105764796048804,0.0895443844370439,"ADRB1/KCNE3/LOC106902860",3,"Up-regulated"
"BP","GO:0086004","regulation of cardiac muscle cell contraction","2/17","30/10432",0.00105854123467526,0.0895443844370439,"ADRB1/KCNE3",2,"Up-regulated"
"BP","GO:0034694","response to prostaglandin","2/17","31/10432",0.00113046066731152,0.0895443844370439,"LOC106902860/SFRP1",2,"Up-regulated"
"BP","GO:0044058","regulation of digestive system process","2/17","34/10432",0.00135993273871948,0.0900111419436324,"ADRB1/LOC106902860",2,"Up-regulated"
"BP","GO:0034767","positive regulation of monoatomic ion transmembrane transport","3/17","144/10432",0.00151984490581478,0.0900111419436324,"ADRB1/HTR3A/KCNE3",3,"Up-regulated"
"BP","GO:0045777","positive regulation of blood pressure","2/17","37/10432",0.00160983382324437,0.0900111419436324,"ADRB1/LOC106902860",2,"Up-regulated"
"BP","GO:0098801","regulation of renal system process","2/17","37/10432",0.00160983382324437,0.0900111419436324,"ADRB1/LOC106902860",2,"Up-regulated"
"BP","GO:1903115","regulation of actin filament-based movement","2/17","37/10432",0.00160983382324437,0.0900111419436324,"ADRB1/KCNE3",2,"Up-regulated"
"BP","GO:0070125","mitochondrial translational elongation","3/19","73/10432",0.000293941274122057,0.0471173397565734,"MRPL2/MRPS10/MRPS33",3,"Down-regulated"
"BP","GO:0070126","mitochondrial translational termination","3/19","75/10432",0.000318392480993902,0.0471173397565734,"MRPL2/MRPS10/MRPS33",3,"Down-regulated"
"BP","GO:0006415","translational termination","3/19","84/10432",0.000444650391742498,0.0471173397565734,"MRPL2/MRPS10/MRPS33",3,"Down-regulated"
"BP","GO:0006414","translational elongation","3/19","97/10432",0.000677820897574332,0.0538689239651179,"MRPL2/MRPS10/MRPS33",3,"Down-regulated"
"BP","GO:0032543","mitochondrial translation","3/19","116/10432",0.00114001611513693,0.0724810245834426,"MRPL2/MRPS10/MRPS33",3,"Down-regulated"
"BP","GO:0140053","mitochondrial gene expression","3/19","136/10432",0.00180231488749348,0.0954910694777249,"MRPL2/MRPS10/MRPS33",3,"Down-regulated"
"MF","GO:0003735","structural constituent of ribosome","5/13","103/8908",2.24161517500968e-07,7.07878476318848e-06,"MRPL2/MRPS10/MRPS33/RPS12/RPS29",5,"Down-regulated"
"MF","GO:0005198","structural molecule activity","5/13","405/8908",0.000180130202163719,0.00284416108679557,"MRPL2/MRPS10/MRPS33/RPS12/RPS29",5,"Down-regulated"
"MF","GO:0016702","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen","1/13","10/8908",0.0145054385526673,0.0949440559750722,"BCO1",1,"Down-regulated"
"MF","GO:0016701","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen","1/13","11/8908",0.0159452485435431,0.0949440559750722,"BCO1",1,"Down-regulated"
"MF","GO:0016646","oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor","1/13","13/8908",0.018819045012248,0.0949440559750722,"MTHFD1",1,"Down-regulated"
"MF","GO:0047617","acyl-CoA hydrolase activity","1/13","14/8908",0.0202530362899139,0.0949440559750722,"ACOT11",1,"Down-regulated"
"MF","GO:0016289","CoA hydrolase activity","1/13","15/8908",0.0216850927918514,0.0949440559750722,"ACOT11",1,"Down-regulated"
"MF","GO:0008138","protein tyrosine/serine/threonine phosphatase activity","1/13","17/8908",0.0245434110385608,0.0949440559750722,"PALD1",1,"Down-regulated"
"MF","GO:0016788","hydrolase activity, acting on ester bonds","3/13","483/8908",0.030157142057563,0.0949440559750722,"ACOT11/PALD1/RNASET2",3,"Down-regulated"
"MF","GO:0016645","oxidoreductase activity, acting on the CH-NH group of donors","1/13","22/8908",0.0316555152731977,0.0949440559750722,"MTHFD1",1,"Down-regulated"
"MF","GO:0016814","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines","1/13","23/8908",0.0330721794979835,0.0949440559750722,"MTHFD1",1,"Down-regulated"
