"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","FDR","geneID","Count","GeneList"
"BP","GO:0033523","histone H2B ubiquitination","1/5","11/10835",0.00506677915162757,0.082545519912737,"LOC106900582",1,"Up-regulated"
"BP","GO:1902018","negative regulation of cilium assembly","1/5","11/10835",0.00506677915162757,0.082545519912737,"CDK10",1,"Up-regulated"
"BP","GO:0035641","locomotory exploration behavior","1/5","12/10835",0.0055263750592629,0.082545519912737,"PENK",1,"Up-regulated"
"BP","GO:1902914","regulation of protein polyubiquitination","1/5","12/10835",0.0055263750592629,0.082545519912737,"LOC106900582",1,"Up-regulated"
"BP","GO:0038111","interleukin-7-mediated signaling pathway","1/5","14/10835",0.00644505734471068,0.082545519912737,"CISH",1,"Up-regulated"
"BP","GO:0098760","response to interleukin-7","1/5","15/10835",0.00690414381668869,0.082545519912737,"CISH",1,"Up-regulated"
"BP","GO:0098761","cellular response to interleukin-7","1/5","15/10835",0.00690414381668869,0.082545519912737,"CISH",1,"Up-regulated"
"BP","GO:0071871","response to epinephrine","1/5","16/10835",0.00736306057093272,0.082545519912737,"PENK",1,"Up-regulated"
"BP","GO:0007205","protein kinase C-activating G protein-coupled receptor signaling pathway","1/5","18/10835",0.00828038511445173,0.082545519912737,"CISH",1,"Up-regulated"
"BP","GO:0001964","startle response","1/5","19/10835",0.00873879299782288,0.082545519912737,"PENK",1,"Up-regulated"
"BP","GO:0071305","cellular response to vitamin D","1/5","20/10835",0.00919703135165129,0.082545519912737,"PENK",1,"Up-regulated"
"BP","GO:0031440","regulation of mRNA 3'-end processing","1/5","22/10835",0.0101129996587771,0.082545519912737,"LOC106900582",1,"Up-regulated"
"BP","GO:0048520","positive regulation of behavior","1/5","25/10835",0.0114856818232685,0.082545519912737,"PENK",1,"Up-regulated"
"BP","GO:0050686","negative regulation of mRNA processing","1/5","25/10835",0.0114856818232685,0.082545519912737,"LOC106900582",1,"Up-regulated"
"BP","GO:0098586","cellular response to virus","1/5","25/10835",0.0114856818232685,0.082545519912737,"PENK",1,"Up-regulated"
"BP","GO:0035640","exploration behavior","1/5","26/10835",0.0119429039870877,0.082545519912737,"PENK",1,"Up-regulated"
"BP","GO:0120033","negative regulation of plasma membrane bounded cell projection assembly","1/5","26/10835",0.0119429039870877,0.082545519912737,"CDK10",1,"Up-regulated"
"BP","GO:0010390","histone monoubiquitination","1/5","27/10835",0.0123999569503646,0.082545519912737,"LOC106900582",1,"Up-regulated"
"BP","GO:0046627","negative regulation of insulin receptor signaling pathway","1/5","30/10835",0.0137701011065567,0.082545519912737,"CISH",1,"Up-regulated"
"BP","GO:1900087","positive regulation of G1/S transition of mitotic cell cycle","1/5","30/10835",0.0137701011065567,0.082545519912737,"CDK10",1,"Up-regulated"
"BP","GO:0043434","response to peptide hormone","2/5","422/10835",0.0139949346628088,0.082545519912737,"CISH/LOC106900582",2,"Up-regulated"
"BP","GO:1900077","negative regulation of cellular response to insulin stimulus","1/5","34/10835",0.0155945940221337,0.082545519912737,"CISH",1,"Up-regulated"
"BP","GO:0071295","cellular response to vitamin","1/5","35/10835",0.0160502950711003,0.082545519912737,"PENK",1,"Up-regulated"
