"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","FDR","geneID","Count","GeneList"
"BP","GO:0042632","cholesterol homeostasis","2/7","59/10492",0.000641135391995462,0.0789608851194411,"FGFR4/LOC106885180",2,"Up-regulated"
"BP","GO:0055092","sterol homeostasis","2/7","59/10492",0.000641135391995462,0.0789608851194411,"FGFR4/LOC106885180",2,"Up-regulated"
"BP","GO:0010038","response to metal ion","3/7","329/10492",0.000973545419891583,0.0799332028963616,"HSD17B2/PLCG2/ACO1",3,"Up-regulated"
"BP","GO:0055088","lipid homeostasis","2/7","92/10492",0.00155214988379906,0.0889431178810782,"FGFR4/LOC106885180",2,"Up-regulated"
"BP","GO:0006694","steroid biosynthetic process","2/7","143/10492",0.00370394135853065,0.0889431178810782,"HSD17B2/FGFR4",2,"Up-regulated"
"BP","GO:0098771","inorganic ion homeostasis","3/7","540/10492",0.00406102395536447,0.0889431178810782,"PLCG2/ACO1/FGFR4",3,"Up-regulated"
"BP","GO:0010035","response to inorganic substance","3/7","541/10492",0.0040824646225702,0.0889431178810782,"HSD17B2/PLCG2/ACO1",3,"Up-regulated"
"BP","GO:0042445","hormone metabolic process","2/7","163/10492",0.00478595729407907,0.0889431178810782,"HSD17B2/FGFR4",2,"Up-regulated"
"BP","GO:0006661","phosphatidylinositol biosynthetic process","2/7","165/10492",0.00490135937069194,0.0889431178810782,"PLCG2/FGFR4",2,"Up-regulated"
"BP","GO:0050801","monoatomic ion homeostasis","3/7","583/10492",0.00504804281164716,0.0889431178810782,"PLCG2/ACO1/FGFR4",3,"Up-regulated"
"BP","GO:0008610","lipid biosynthetic process","3/7","600/10492",0.00547583512147622,0.0889431178810782,"HSD17B2/PLCG2/FGFR4",3,"Up-regulated"
"BP","GO:0046488","phosphatidylinositol metabolic process","2/7","185/10492",0.00612636559754889,0.0889431178810782,"PLCG2/FGFR4",2,"Up-regulated"
"BP","GO:1901617","organic hydroxy compound biosynthetic process","2/7","187/10492",0.00625590689433828,0.0889431178810782,"PLCG2/FGFR4",2,"Up-regulated"
"BP","GO:0032959","inositol trisphosphate biosynthetic process","1/7","10/10492",0.0066546010688866,0.0889431178810782,"PLCG2",1,"Up-regulated"
"BP","GO:1904251","regulation of bile acid metabolic process","1/7","10/10492",0.0066546010688866,0.0889431178810782,"FGFR4",1,"Up-regulated"
"BP","GO:0006702","androgen biosynthetic process","1/7","11/10492",0.00731796853621314,0.0889431178810782,"HSD17B2",1,"Up-regulated"
