"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","FDR","geneID","Count","GeneList"
"BP","GO:0008211","glucocorticoid metabolic process","2/6","21/10920",5.25918800459114e-05,0.00124284811155568,"LOC106897604/STAR",2,"Up-regulated"
"BP","GO:0010893","positive regulation of steroid biosynthetic process","2/6","22/10920",5.78369279783094e-05,0.00124284811155568,"LOC106897604/STAR",2,"Up-regulated"
"BP","GO:0042537","benzene-containing compound metabolic process","2/6","22/10920",5.78369279783094e-05,0.00124284811155568,"LOC106897604/STAR",2,"Up-regulated"
"BP","GO:1901605","alpha-amino acid metabolic process","3/6","183/10920",8.92242582116115e-05,0.00151211637600731,"BCAT1/DPEP1/LOC106898755",3,"Up-regulated"
"BP","GO:0045940","positive regulation of steroid metabolic process","2/6","29/10920",0.000101478960308641,0.00153516146607531,"LOC106897604/STAR",2,"Up-regulated"
"BP","GO:0008207","C21-steroid hormone metabolic process","2/6","30/10920",0.000108700873995395,0.00153516146607531,"LOC106897604/STAR",2,"Up-regulated"
"BP","GO:0071371","cellular response to gonadotropin stimulus","2/6","32/10920",0.000123883381279707,0.00161499792599456,"LOC106897604/STAR",2,"Up-regulated"
"BP","GO:0006520","amino acid metabolic process","3/6","254/10920",0.000236155866538357,0.00278481630770681,"BCAT1/DPEP1/LOC106898755",3,"Up-regulated"
"BP","GO:0120178","steroid hormone biosynthetic process","2/6","45/10920",0.000246482188725603,0.00278481630770681,"LOC106897604/STAR",2,"Up-regulated"
"BP","GO:0034698","response to gonadotropin","2/6","53/10920",0.000342412304560896,0.00362686717330949,"LOC106897604/STAR",2,"Up-regulated"
"BP","GO:0046889","positive regulation of lipid biosynthetic process","2/6","72/10920",0.000632179965386276,0.00595210376767195,"LOC106897604/STAR",2,"Up-regulated"
"BP","GO:0042446","hormone biosynthetic process","2/6","77/10920",0.000722806932755741,0.00644719757194871,"LOC106897604/STAR",2,"Up-regulated"
"BP","GO:0050810","regulation of steroid biosynthetic process","2/6","82/10920",0.000819379079106703,0.00694315956506206,"LOC106897604/STAR",2,"Up-regulated"
"BP","GO:0120254","olefinic compound metabolic process","2/6","87/10920",0.000921874093627729,0.00710151813751504,"LOC106897604/STAR",2,"Up-regulated"
"BP","GO:0043434","response to peptide hormone","3/6","430/10920",0.00110952146403159,0.008175421313917,"DPEP1/LOC106900582/STAR",3,"Up-regulated"
"BP","GO:0043648","dicarboxylic acid metabolic process","2/6","100/10920",0.00121592051972588,0.00840711805126039,"LOC106897604/STAR",2,"Up-regulated"
"BP","GO:0009063","amino acid catabolic process","2/6","101/10920",0.00124018045787226,0.00840711805126039,"BCAT1/LOC106898755",2,"Up-regulated"
"BP","GO:0019218","regulation of steroid metabolic process","2/6","104/10920",0.00131436080681229,0.00840811575457163,"LOC106897604/STAR",2,"Up-regulated"
"BP","GO:0051591","response to cAMP","2/6","105/10920",0.00133955384537119,0.00840811575457163,"LOC106897604/STAR",2,"Up-regulated"
"BP","GO:1901652","response to peptide","3/6","483/10920",0.00155607426926649,0.00941834426134982,"DPEP1/LOC106900582/STAR",3,"Up-regulated"
"BP","GO:0071236","cellular response to antibiotic","2/6","119/10920",0.00171662365562036,0.0100318115627905,"LOC106897604/STAR",2,"Up-regulated"
"BP","GO:0045834","positive regulation of lipid metabolic process","2/6","125/10920",0.00189207524552957,0.0106885654221144,"LOC106897604/STAR",2,"Up-regulated"
"BP","GO:0071222","cellular response to lipopolysaccharide","2/6","129/10920",0.0020136316366693,0.0110083087777167,"LOC106897604/STAR",2,"Up-regulated"
"BP","GO:0008584","male gonad development","2/6","134/10920",0.00217071968749207,0.0111411518133768,"LOC106897604/STAR",2,"Up-regulated"
