"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","FDR","geneID","Count","GeneList"
"BP","GO:0019731","antibacterial humoral response","3/7","18/9825",1.79909252373535e-07,3.03005056629112e-05,"LOC106894049/LOC106894882/LOC106894903",3,"Up-regulated"
"BP","GO:0019730","antimicrobial humoral response","3/7","42/9825",2.51255741235207e-06,0.000211583782092806,"LOC106894049/LOC106894882/LOC106894903",3,"Up-regulated"
"BP","GO:0042742","defense response to bacterium","3/7","102/9825",3.68935820496955e-05,0.00184364835951639,"LOC106894049/LOC106894882/LOC106894903",3,"Up-regulated"
"BP","GO:0006959","humoral immune response","3/7","108/9825",4.37866485385143e-05,0.00184364835951639,"LOC106894049/LOC106894882/LOC106894903",3,"Up-regulated"
"BP","GO:0009617","response to bacterium","4/7","381/9825",7.09995146822619e-05,0.00239156259982356,"LOC106894049/LOC106894250/LOC106894882/LOC106894903",4,"Up-regulated"
"BP","GO:0098542","defense response to other organism","4/7","549/9825",0.00029477056006425,0.00827426133513685,"LOC106894049/LOC106894250/LOC106894882/LOC106894903",4,"Up-regulated"
"MF","GO:0033293","monocarboxylic acid binding","3/7","50/8422",6.77793880565022e-06,5.70773794160019e-05,"LOC106894049/LOC106894882/LOC106894903",3,"Up-regulated"
"MF","GO:0019842","vitamin binding","3/7","68/8422",1.721951200351e-05,7.25032084358315e-05,"LOC106894049/LOC106894882/LOC106894903",3,"Up-regulated"
"MF","GO:0031406","carboxylic acid binding","3/7","139/8422",0.000146703146453777,0.0003360080088368,"LOC106894049/LOC106894882/LOC106894903",3,"Up-regulated"
"MF","GO:0043177","organic acid binding","3/7","143/8422",0.00015960380419748,0.0003360080088368,"LOC106894049/LOC106894882/LOC106894903",3,"Up-regulated"
"MF","GO:1901681","sulfur compound binding","3/7","166/8422",0.000248334514909137,0.000418247604057494,"LOC106894049/LOC106894882/LOC106894903",3,"Up-regulated"
"MF","GO:0033218","amide binding","3/7","263/8422",0.000959968915757802,0.00134732479404604,"LOC106894049/LOC106894882/LOC106894903",3,"Up-regulated"
"MF","GO:0004709","MAP kinase kinase kinase activity","1/7","22/8422",0.0181491844054892,0.0218336052998366,"MAP3K15",1,"Up-regulated"
"MF","GO:0016831","carboxy-lyase activity","1/7","26/8422",0.0214185148217553,0.0225458050755319,"GADL1",1,"Up-regulated"
"MF","GO:0016830","carbon-carbon lyase activity","1/7","41/8422",0.0335955419393061,0.0314344252063683,"GADL1",1,"Up-regulated"
"MF","GO:0097110","scaffold protein binding","1/7","56/8422",0.0456424585445853,0.0384357545638613,"LOC106900179",1,"Up-regulated"
"MF","GO:0016829","lyase activity","1/7","125/8422",0.0994151268938073,0.0761072741770773,"GADL1",1,"Up-regulated"
"BP","GO:0006720","isoprenoid metabolic process","2/6","97/9825",0.00141022731200624,0.044827553192892,"LOC106894543/LOC106897801",2,"Down-regulated"
"BP","GO:1901568","fatty acid derivative metabolic process","2/6","99/9825",0.00146848881149129,0.044827553192892,"DPEP1/LOC106894543",2,"Down-regulated"
"BP","GO:0006643","membrane lipid metabolic process","2/6","166/9825",0.00407059313151792,0.0755528066373504,"DPEP1/LOC106894543",2,"Down-regulated"
"BP","GO:0000302","response to reactive oxygen species","2/6","204/9825",0.0060908314083122,0.0755528066373504,"DPEP1/LOC106894543",2,"Down-regulated"
"BP","GO:0001561","fatty acid alpha-oxidation","1/6","11/9825",0.00670048336158113,0.0755528066373504,"LOC106894543",1,"Down-regulated"
"BP","GO:0050667","homocysteine metabolic process","1/6","15/9825",0.00912772742551293,0.0755528066373504,"DPEP1",1,"Down-regulated"
"BP","GO:0071732","cellular response to nitric oxide","1/6","15/9825",0.00912772742551293,0.0755528066373504,"DPEP1",1,"Down-regulated"
"BP","GO:0006488","dolichol-linked oligosaccharide biosynthetic process","1/6","16/9825",0.00973376551271443,0.0755528066373504,"LOC106897801",1,"Down-regulated"
"BP","GO:0006490","oligosaccharide-lipid intermediate biosynthetic process","1/6","17/9825",0.0103394946805118,0.0755528066373504,"LOC106897801",1,"Down-regulated"
"BP","GO:0006066","alcohol metabolic process","2/6","271/9825",0.010565860037972,0.0755528066373504,"LOC106894543/LOC106897801",2,"Down-regulated"
"BP","GO:0006691","leukotriene metabolic process","1/6","19/9825",0.0115500267618018,0.0755528066373504,"DPEP1",1,"Down-regulated"
"BP","GO:0019348","dolichol metabolic process","1/6","19/9825",0.0115500267618018,0.0755528066373504,"LOC106897801",1,"Down-regulated"
"BP","GO:1902170","cellular response to reactive nitrogen species","1/6","19/9825",0.0115500267618018,0.0755528066373504,"DPEP1",1,"Down-regulated"
"BP","GO:0071731","response to nitric oxide","1/6","23/9825",0.0139673894323651,0.0833995719087386,"DPEP1",1,"Down-regulated"
"BP","GO:0016093","polyprenol metabolic process","1/6","24/9825",0.0145709596898026,0.0833995719087386,"LOC106897801",1,"Down-regulated"
"BP","GO:0097502","mannosylation","1/6","26/9825",0.0157771765925897,0.0849916014585328,"LOC106897801",1,"Down-regulated"
"BP","GO:0006505","GPI anchor metabolic process","1/6","32/9825",0.019388447448249,0.0956944619851578,"DPEP1",1,"Down-regulated"
"BP","GO:0006979","response to oxidative stress","2/6","382/9825",0.0203841791233717,0.0956944619851578,"DPEP1/LOC106894543",2,"Down-regulated"
"BP","GO:1901615","organic hydroxy compound metabolic process","2/6","393/9825",0.0215112414113448,0.0956944619851578,"LOC106894543/LOC106897801",2,"Down-regulated"
"BP","GO:0000096","sulfur amino acid metabolic process","1/6","37/9825",0.0223893986993873,0.0956944619851578,"DPEP1",1,"Down-regulated"
"BP","GO:0006749","glutathione metabolic process","1/6","38/9825",0.022988669603331,0.0956944619851578,"DPEP1",1,"Down-regulated"
"MF","GO:0004028","3-chloroallyl aldehyde dehydrogenase activity","1/5","11/8422",0.00651502181679631,0.0284974407104367,"LOC106894543",1,"Down-regulated"
"MF","GO:0008569","minus-end-directed microtubule motor activity","1/5","11/8422",0.00651502181679631,0.0284974407104367,"DNAH14",1,"Down-regulated"
"MF","GO:0045503","dynein light chain binding","1/5","11/8422",0.00651502181679631,0.0284974407104367,"DNAH14",1,"Down-regulated"
"MF","GO:0004029","aldehyde dehydrogenase (NAD+) activity","1/5","15/8422",0.00887568370817637,0.0284974407104367,"LOC106894543",1,"Down-regulated"
"MF","GO:0004030","aldehyde dehydrogenase [NAD(P)+] activity","1/5","15/8422",0.00887568370817637,0.0284974407104367,"LOC106894543",1,"Down-regulated"
