"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","FDR","geneID","Count","GeneList"
"BP","GO:0032402","melanosome transport","2/9","22/10215",0.000157957356017511,0.0110069914517061,"LOC106888173/RAB27B",2,"Up-regulated"
"BP","GO:0051904","pigment granule transport","2/9","22/10215",0.000157957356017511,0.0110069914517061,"LOC106888173/RAB27B",2,"Up-regulated"
"BP","GO:0032401","establishment of melanosome localization","2/9","23/10215",0.000172921838203492,0.0110069914517061,"LOC106888173/RAB27B",2,"Up-regulated"
"BP","GO:0051905","establishment of pigment granule localization","2/9","23/10215",0.000172921838203492,0.0110069914517061,"LOC106888173/RAB27B",2,"Up-regulated"
"BP","GO:0032400","melanosome localization","2/9","27/10215",0.000239465081201239,0.0110069914517061,"LOC106888173/RAB27B",2,"Up-regulated"
"BP","GO:0051875","pigment granule localization","2/9","27/10215",0.000239465081201239,0.0110069914517061,"LOC106888173/RAB27B",2,"Up-regulated"
"BP","GO:0033059","cellular pigmentation","2/9","47/10215",0.000730783592777694,0.0287917746327452,"LOC106888173/RAB27B",2,"Up-regulated"
"MF","GO:0004303","estradiol 17-beta-dehydrogenase [NAD(P)] activity","1/8","11/8713",0.0100593589277032,0.0983743830188075,"HSD17B2",1,"Up-regulated"
"MF","GO:0004890","GABA-A receptor activity","1/8","13/8713",0.0118787888240233,0.0983743830188075,"HTR3A",1,"Up-regulated"
"MF","GO:0019789","SUMO transferase activity","1/8","13/8713",0.0118787888240233,0.0983743830188075,"PIAS3",1,"Up-regulated"
"MF","GO:0051378","serotonin binding","1/8","13/8713",0.0118787888240233,0.0983743830188075,"HTR3A",1,"Up-regulated"
"MF","GO:0016917","GABA receptor activity","1/8","14/8713",0.0127874060297024,0.0983743830188075,"HTR3A",1,"Up-regulated"
"MF","GO:0099589","serotonin receptor activity","1/8","14/8713",0.0127874060297024,0.0983743830188075,"HTR3A",1,"Up-regulated"
"MF","GO:0031489","myosin V binding","1/8","15/8713",0.0136952920800256,0.0983743830188075,"RAB27B",1,"Up-regulated"
"MF","GO:0033764","steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","1/8","15/8713",0.0136952920800256,0.0983743830188075,"HSD17B2",1,"Up-regulated"
"MF","GO:0043176","amine binding","1/8","15/8713",0.0136952920800256,0.0983743830188075,"HTR3A",1,"Up-regulated"
"MF","GO:0017075","syntaxin-1 binding","1/8","16/8713",0.0146024474793542,0.0983743830188075,"LOC106900582",1,"Up-regulated"
"MF","GO:0003735","structural constituent of ribosome","2/7","102/8713",0.00274285086619534,0.0290759878725838,"RPS12/RPS29",2,"Down-regulated"
"MF","GO:0005198","structural molecule activity","3/7","392/8713",0.00276221884789546,0.0290759878725838,"LOC106898077/RPS12/RPS29",3,"Down-regulated"
"MF","GO:0031489","myosin V binding","1/7","15/8713",0.0119930057356694,0.0664776583051209,"LOC106900021",1,"Down-regulated"
"MF","GO:0046965","nuclear retinoid X receptor binding","1/7","20/8713",0.0159631780608889,0.0664776583051209,"LOC106900021",1,"Down-regulated"
"MF","GO:0019212","phosphatase inhibitor activity","1/7","27/8713",0.0214984417421746,0.0664776583051209,"STYX",1,"Down-regulated"
"MF","GO:0046966","nuclear thyroid hormone receptor binding","1/7","27/8713",0.0214984417421746,0.0664776583051209,"LOC106900021",1,"Down-regulated"
"MF","GO:0042974","nuclear retinoic acid receptor binding","1/7","30/8713",0.0238625149139928,0.0664776583051209,"LOC106900021",1,"Down-regulated"
"MF","GO:0035255","ionotropic glutamate receptor binding","1/7","35/8713",0.0277917579856931,0.0664776583051209,"LOC106900021",1,"Down-regulated"
"MF","GO:0016836","hydro-lyase activity","1/7","40/8713",0.031707436366132,0.0664776583051209,"CA4",1,"Down-regulated"
"MF","GO:0030331","nuclear estrogen receptor binding","1/7","43/8713",0.0340503485895898,0.0664776583051209,"LOC106900021",1,"Down-regulated"
"MF","GO:0017022","myosin binding","1/7","47/8713",0.0371666717444231,0.0664776583051209,"LOC106900021",1,"Down-regulated"
"MF","GO:0016835","carbon-oxygen lyase activity","1/7","48/8713",0.0379444046428524,0.0664776583051209,"CA4",1,"Down-regulated"
"MF","GO:0035254","glutamate receptor binding","1/7","52/8713",0.0410499540034122,0.0664776583051209,"LOC106900021",1,"Down-regulated"
"MF","GO:0005200","structural constituent of cytoskeleton","1/7","66/8713",0.0518518080933099,0.0727744674993823,"LOC106898077",1,"Down-regulated"
"MF","GO:0019208","phosphatase regulator activity","1/7","66/8713",0.0518518080933099,0.0727744674993823,"STYX",1,"Down-regulated"
