"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","FDR","geneID","Count","GeneList"
"MF","GO:0017075","syntaxin-1 binding","1/5","17/9081",0.00932726958138819,0.0690153229273895,"LOC106900582",1,"Up-regulated"
"MF","GO:0043027","cysteine-type endopeptidase inhibitor activity involved in apoptotic process","1/5","19/9081",0.0104200035964558,0.0690153229273895,"DPEP1",1,"Up-regulated"
"MF","GO:0051861","glycolipid binding","1/5","20/9081",0.0109660088913153,0.0690153229273895,"DPEP1",1,"Up-regulated"
"MF","GO:0004693","cyclin-dependent protein serine/threonine kinase activity","1/5","28/9081",0.0153253806801705,0.0690153229273895,"CDK10",1,"Up-regulated"
"MF","GO:0097472","cyclin-dependent protein kinase activity","1/5","28/9081",0.0153253806801705,0.0690153229273895,"CDK10",1,"Up-regulated"
"MF","GO:0004869","cysteine-type endopeptidase inhibitor activity","1/5","29/9081",0.0158692195287953,0.0690153229273895,"DPEP1",1,"Up-regulated"
"MF","GO:0031624","ubiquitin conjugating enzyme binding","1/5","31/9081",0.0169561763527404,0.0690153229273895,"LOC106900582",1,"Up-regulated"
"MF","GO:0043028","cysteine-type endopeptidase regulator activity involved in apoptotic process","1/5","32/9081",0.017499294487352,0.0690153229273895,"DPEP1",1,"Up-regulated"
"MF","GO:0044390","ubiquitin-like protein conjugating enzyme binding","1/5","36/9081",0.019669367034306,0.0690153229273895,"LOC106900582",1,"Up-regulated"
"MF","GO:0008235","metalloexopeptidase activity","1/5","41/9081",0.022376563703967,0.0706628327493695,"DPEP1",1,"Up-regulated"
"MF","GO:0003730","mRNA 3'-UTR binding","1/5","50/9081",0.0272344445113092,0.0774470610493986,"LOC106900582",1,"Up-regulated"
"MF","GO:0008238","exopeptidase activity","1/5","65/9081",0.0352879842761962,0.0774470610493986,"DPEP1",1,"Up-regulated"
"MF","GO:0072341","modified amino acid binding","1/5","70/9081",0.0379606112883059,0.0774470610493986,"DPEP1",1,"Up-regulated"
"MF","GO:0004866","endopeptidase inhibitor activity","1/5","72/9081",0.0390280020767397,0.0774470610493986,"DPEP1",1,"Up-regulated"
"MF","GO:0019905","syntaxin binding","1/5","72/9081",0.0390280020767397,0.0774470610493986,"LOC106900582",1,"Up-regulated"
"MF","GO:0030414","peptidase inhibitor activity","1/5","73/9081",0.0395613420689274,0.0774470610493986,"DPEP1",1,"Up-regulated"
"MF","GO:0061135","endopeptidase regulator activity","1/5","77/9081",0.0416923345315929,0.0774470610493986,"DPEP1",1,"Up-regulated"
"MF","GO:0042562","hormone binding","1/5","97/9081",0.0522906342436587,0.0889159320439991,"LOC106885081",1,"Up-regulated"
"MF","GO:0061134","peptidase regulator activity","1/5","101/9081",0.054398996899009,0.0889159320439991,"DPEP1",1,"Up-regulated"
"MF","GO:0008237","metallopeptidase activity","1/5","107/9081",0.0575545036266885,0.0889159320439991,"DPEP1",1,"Up-regulated"
"MF","GO:0000149","SNARE binding","1/5","110/9081",0.0591290948092594,0.0889159320439991,"LOC106900582",1,"Up-regulated"
"MF","GO:0003735","structural constituent of ribosome","3/11","103/9081",0.000218881652139861,0.00691205217283772,"MRPL2/RPS12/RPS29",3,"Down-regulated"
