"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","FDR","geneID","Count","GeneList"
"BP","GO:0098900","regulation of action potential","3/19","48/10593",8.04135455577294e-05,0.0608603571115868,"ADRA1A/HCN1/KCNE3",3,"Up-regulated"
"BP","GO:2001259","positive regulation of cation channel activity","3/19","61/10593",0.000164878696802904,0.062393570000678,"HCN1/KCNE3/PLCG2",3,"Up-regulated"
"BP","GO:0006027","glycosaminoglycan catabolic process","3/25","49/10593",0.000199158570723376,0.0544404802430568,"CD44/CSPG5/GALNS",3,"Down-regulated"
"BP","GO:0006026","aminoglycan catabolic process","3/25","51/10593",0.000224412784547786,0.0544404802430568,"CD44/CSPG5/GALNS",3,"Down-regulated"
"BP","GO:1901136","carbohydrate derivative catabolic process","4/25","133/10593",0.000244840554107407,0.0544404802430568,"CD44/CSPG5/GALNS/NPL",4,"Down-regulated"
"BP","GO:0006887","exocytosis","7/25","610/10593",0.000391737154375831,0.0544404802430568,"CD44/GALNS/LOC106887443/LOC106897760/LOC106902924/RNASET2/SYTL2",7,"Down-regulated"
"BP","GO:0002366","leukocyte activation involved in immune response","6/25","449/10593",0.000499164550255067,0.0544404802430568,"CD40/CD44/GALNS/LOC106887443/LOC106897760/RNASET2",6,"Down-regulated"
"BP","GO:0002263","cell activation involved in immune response","6/25","451/10593",0.000511121513966095,0.0544404802430568,"CD40/CD44/GALNS/LOC106887443/LOC106897760/RNASET2",6,"Down-regulated"
"BP","GO:0002443","leukocyte mediated immunity","6/25","462/10593",0.000580965378504038,0.0544404802430568,"CD40/CD44/GALNS/LOC106887443/LOC106897760/RNASET2",6,"Down-regulated"
"BP","GO:0043312","neutrophil degranulation","5/25","311/10593",0.000691819574050676,0.0544404802430568,"CD44/GALNS/LOC106887443/LOC106897760/RNASET2",5,"Down-regulated"
"BP","GO:0002283","neutrophil activation involved in immune response","5/25","313/10593",0.00071223072135158,0.0544404802430568,"CD44/GALNS/LOC106887443/LOC106897760/RNASET2",5,"Down-regulated"
"BP","GO:0042119","neutrophil activation","5/25","318/10593",0.000765243367662119,0.0544404802430568,"CD44/GALNS/LOC106887443/LOC106897760/RNASET2",5,"Down-regulated"
"BP","GO:0036230","granulocyte activation","5/25","322/10593",0.00080974821399067,0.0544404802430568,"CD44/GALNS/LOC106887443/LOC106897760/RNASET2",5,"Down-regulated"
"BP","GO:0002446","neutrophil mediated immunity","5/25","325/10593",0.000844382958871902,0.0544404802430568,"CD44/GALNS/LOC106887443/LOC106897760/RNASET2",5,"Down-regulated"
"BP","GO:0043299","leukocyte degranulation","5/25","345/10593",0.00110451343947211,0.0622280490842448,"CD44/GALNS/LOC106887443/LOC106897760/RNASET2",5,"Down-regulated"
"BP","GO:0002275","myeloid cell activation involved in immune response","5/25","350/10593",0.00117798225800001,0.0622280490842448,"CD44/GALNS/LOC106887443/LOC106897760/RNASET2",5,"Down-regulated"
"BP","GO:1903510","mucopolysaccharide metabolic process","3/25","92/10593",0.00126962756564989,0.0622280490842448,"CD44/CSPG5/GALNS",3,"Down-regulated"
"BP","GO:0002444","myeloid leukocyte mediated immunity","5/25","357/10593",0.00128689298786465,0.0622280490842448,"CD44/GALNS/LOC106887443/LOC106897760/RNASET2",5,"Down-regulated"
"BP","GO:0031055","chromatin remodeling at centromere","2/25","26/10593",0.0016786333853214,0.0763960085579707,"CENPN/HELLS",2,"Down-regulated"
