"gene","alt_allele_count","ref_allele_count","total_count","alt_allele_allelic_ratio","pvalue","padjust"
"ACSF3",664,817,1481,0.448345712356516,7.71855249398353e-05,0.000134302813395313
"ANKRD11",1093,955,2048,0.53369140625,0.00245927112782996,0.00403691675700389
"APRT",631,895,1526,0.413499344692005,1.48860222763752e-11,4.04713730638952e-11
"ARY1",933,1394,2327,0.400945423291792,1.10045508386129e-21,4.78697961479663e-21
"ARY2",291,418,709,0.410437235543018,2.09471301005068e-06,4.14181890623657e-06
"ARYL",98,122,220,0.445454545454545,0.120785526442971,0.15453442353733
"ATMIN",591,1023,1614,0.366171003717472,3.71276992468592e-27,2.15340655631783e-26
"ATP2C2",28,25,53,0.528301886792453,0.7838463022095,0.831641808441786
"BANP",81,54,135,0.6,0.0248758264566432,0.0360699483621326
"BCO1",17318,8687,26005,0.665948855989233,4.94065645841247e-324,2.17388884170148e-322
"CA5A",7296,9141,16437,0.443876619821135,5.319671584703e-47,9.25622855738322e-46
"CBFA2T3",30,41,71,0.422535211267606,0.235097562408343,0.276398485534133
"CDH13",10,9,19,0.526315789473684,1,1
"CDK10",675,307,982,0.687372708757637,2.0495636435406e-32,1.48593364156694e-31
"CDT1",37,186,223,0.165919282511211,4.37086373176955e-25,2.37665715414969e-24
"CENPN",49,7,56,0.875,7.45521031020324e-09,1.80167582496578e-08
"CHMP1A",2417,1602,4019,0.601393381438169,5.51776965455775e-38,6.00057449933155e-37
"CHTF8",101,127,228,0.442982456140351,0.0975759372553043,0.126703082704649
"CIDEC",680,665,1345,0.505576208178439,0.702669740444085,0.764153342732942
"CMIP",575,324,899,0.639599555061179,4.76065404076118e-17,1.80076913715749e-16
"COG8",601,443,1044,0.575670498084291,1.12807542753705e-06,2.33672767132675e-06
"COTL1",627,545,1172,0.534982935153584,0.0179421390623019,0.0264570525155978
"COX4I1",3861,4304,8165,0.472872014696877,9.94772985874469e-07,2.11085975051412e-06
"CRISPLD2",12,49,61,0.19672131147541,1.96987841808663e-06,3.98556796217528e-06
"CTU2",367,604,971,0.377960865087539,2.71905529551323e-14,8.94733259014911e-14
"CYB5B",1737,999,2736,0.634868421052632,1.27144488618234e-45,1.8435950849644e-44
"CYBA",778,770,1548,0.502583979328165,0.858797022250215,0.889468344473437
"DBNDD1",9,2,11,0.818181818181818,0.0654296875,0.0889434814453126
"DPEP1",356,2705,3061,0.116301862136557,4.94065645841247e-324,2.17388884170148e-322
