"gene","alt_allele_count","ref_allele_count","total_count","alt_allele_allelic_ratio","pvalue","padjust"
"ACSF3",503,556,1059,0.474976392823418,0.110017035258134,0.164152401813724
"ANKRD11",2253,2308,4561,0.493970620477965,0.423955313417369,0.545915061112777
"APRT",3280,1377,4657,0.704316083315439,5.50152139864821e-176,5.17143011472932e-174
"ARY1",32,20,52,0.615384615384615,0.126347075813922,0.185572267601697
"ARY2",59,108,167,0.353293413173653,0.000184896627819246,0.000445648282436131
"ARYL",4,2,6,0.666666666666667,0.6875,0.828525641025641
"ATMIN",1231,1394,2625,0.468952380952381,0.00156248564802422,0.00341566630033201
"ATP2C2",72,138,210,0.342857142857143,6.16368350595034e-06,1.75571590775555e-05
"BANP",146,91,237,0.616033755274262,0.000428489158136744,0.000982389777191559
"BCO1",177,549,726,0.243801652892562,3.82009062185598e-45,8.97721296136156e-44
"CA5A",3860,3075,6935,0.556596971881759,4.32723124938156e-21,3.12892105724513e-20
"CBFA2T3",116,99,215,0.53953488372093,0.275154429921654,0.364288963558246
"CDH13",23,33,56,0.410714285714286,0.228805541234357,0.315685674069476
"CDH15",2,0,2,1,0.5,0.618421052631579
"CDK10",1198,651,1849,0.647917793401839,1.80854055577271e-37,2.12503515303293e-36
"CDT1",296,345,641,0.461778471138846,0.0578904757648181,0.0922322834219136
"CENPN",39,60,99,0.393939393939394,0.0438752935870152,0.073647814235347
"CHMP1A",4878,3951,8829,0.55249745158002,5.96585144160506e-23,4.67325029592396e-22
"CHTF8",316,510,826,0.382566585956416,1.5217732739064e-11,6.21942120640007e-11
"CIDEC",0,1,1,0,1,1
"CMIP",1168,624,1792,0.651785714285714,3.12461559012963e-38,4.89523109120309e-37
"COG8",830,781,1611,0.515207945375543,0.231726718199935,0.315685674069476
"COTL1",1338,1240,2578,0.519006982156711,0.0560572974801741,0.0922322834219136
"COX4I1",1386,1542,2928,0.473360655737705,0.00416916520243729,0.00870892286731345
"CPNE7",4,81,85,0.0470588235294118,1.09974231125596e-19,7.38398408986146e-19
"CRISPLD2",4,19,23,0.173913043478261,0.00259947776794434,0.00555342977697199
"CTU2",546,824,1370,0.398540145985401,5.9503329256556e-14,2.79665647505813e-13
"CYB5B",1956,1235,3191,0.612973989345033,1.62668401545995e-37,2.12503515303293e-36
"CYBA",611,709,1320,0.462878787878788,0.00756545019010343,0.0154598329971679
