"gene","alt_allele_count","ref_allele_count","total_count","alt_allele_allelic_ratio","pvalue","padjust"
"ACSF3",1271,1129,2400,0.529583333333333,0.00399091119297858,0.00743760722327826
"ANKRD11",5112,5324,10436,0.489842851667305,0.0388750194056888,0.0601462564389902
"APRT",49,36,85,0.576470588235294,0.192760435341559,0.259120585213243
"ARY1",50,73,123,0.40650406504065,0.0468500791864559,0.0711427128386923
"ARY2",125,47,172,0.726744186046512,2.31364906594427e-09,7.90496764197624e-09
"ARYL",6,7,13,0.461538461538462,1,1
"ATMIN",2638,2923,5561,0.474375112389858,0.000139436567274264,0.000300889434644464
"ATP2C2",1,0,1,1,1,1
"BANP",765,535,1300,0.588461538461538,1.92114279546631e-10,7.46454222307185e-10
"BCO1",11,11,22,0.5,1,1
"CA5A",271,328,599,0.452420701168614,0.0220532189736481,0.0354581167811598
"CBFA2T3",1235,650,1885,0.655172413793103,6.73149750790903e-42,6.89978494560675e-41
"CDK10",4096,3539,7635,0.536476751800917,1.94185668618968e-10,7.46454222307185e-10
"CDT1",11,15,26,0.423076923076923,0.557197093963623,0.681942712015181
"CENPN",77,13,90,0.855555555555556,3.17527535598744e-12,1.44651432883872e-11
"CHMP1A",4871,5192,10063,0.484050481963629,0.00142169513180946,0.00298920514893271
"CHTF8",9,52,61,0.147540983606557,1.8028023783881e-08,5.91319180111296e-08
"CIDEC",3,3,6,0.5,1,1
"CMIP",454,328,782,0.580562659846547,7.49525259011837e-06,2.04870237463235e-05
"COG8",483,306,789,0.612167300380228,3.14307485672331e-10,1.12057451413614e-09
"COTL1",434,509,943,0.460233297985154,0.0159176912651939,0.0263947504512907
"COX4I1",2986,2487,5473,0.545587429197881,1.62661243978607e-11,7.02011684539252e-11
"CRISPLD2",14,31,45,0.311111111111111,0.0160943600312748,0.0263947504512907
"CTU2",329,332,661,0.497730711043873,0.938002089332378,1
"CYB5B",56,21,77,0.727272727272727,8.21592190300738e-05,0.00019814870471959
"CYBA",86,31,117,0.735042735042735,3.6814415409701e-07,1.0781364512841e-06
"DBNDD1",0,1,1,0,1,1
"DPEP1",0,2,2,0,0.5,0.621212121212121
"EMC8",646,511,1157,0.558340535868626,8.02632271412653e-05,0.00019814870471959
"FANCA",16,8,24,0.666666666666667,0.151589632034302,0.210683895369708
"FBXO31",307,127,434,0.707373271889401,2.76976206537585e-18,1.5141365957388e-17
"GALNS",93,298,391,0.237851662404092,3.88929881287113e-26,2.89929547868575e-25
"GAN",4,0,4,1,0.125,0.179824561403509
"GAS8",6,8,14,0.428571428571429,0.79052734375,0.926046316964285
"GINS2",27,232,259,0.104247104247104,7.94015745282458e-42,7.23436567924018e-41
"GSE1",149,101,250,0.596,0.00287868410821453,0.0056202880207998
"HAS3",3,5,8,0.375,0.7265625,0.863451086956522
"HSBP1",1086,1404,2490,0.436144578313253,2.00268205984854e-10,7.46454222307185e-10
"HSD17B2",2012,1,2013,0.999503229011426,0,0
"IRF8",62,130,192,0.322916666666667,1.03701228696911e-06,2.93224163901609e-06
"JPH3",13,1,14,0.928571428571429,0.0018310546875,0.003662109375
"KIAA0513",18,12,30,0.6,0.361594608053565,0.463293091568631
"KLHDC4",329,324,653,0.503828483920367,0.875629015268248,1
"KLHL36",25,54,79,0.316455696202532,0.00146607194734233,0.00300544749205179
"LOC106888097",16,4,20,0.8,0.0118179321289063,0.0201889673868815
"LOC106888173",8,0,8,1,0.0078125,0.0136303191489362
"LOC106888312",18,4,22,0.818181818181818,0.00434350967407227,0.00791483985053169
"LOC106888384",5,487,492,0.0101626016260163,3.71985135419956e-137,6.10055622088727e-136
