"gene","alt_allele_count","ref_allele_count","total_count","alt_allele_allelic_ratio","pvalue","padjust"
"ACSF3",831,751,1582,0.525284450063211,0.046976464735083,0.0740476478027579
"ANKRD11",7115,6879,13994,0.508432185222238,0.0469697259881598,0.0740476478027579
"APRT",3814,1869,5683,0.671124406123526,1.35633823205574e-149,6.30697277905917e-148
"ARY1",61,103,164,0.371951219512195,0.00129558261700112,0.00267753740846897
"ARY2",391,766,1157,0.337942955920484,1.34205535432943e-28,1.24811147952637e-27
"ARYL",1,3,4,0.25,0.625,0.700301204819277
"ATMIN",2025,1561,3586,0.564696040156163,9.76033669869169e-15,5.04284062765738e-14
"ATP2C2",44,39,83,0.530120481927711,0.660883647761215,0.723084461668153
"BANP",97,66,163,0.595092024539877,0.0185090273915619,0.0312970826802775
"BCO1",79,139,218,0.362385321100917,5.83278452063256e-05,0.00015954381188789
"CA5A",2025,2483,4508,0.449201419698314,9.60967501754838e-12,4.46849888316e-11
"CBFA2T3",278,115,393,0.707379134860051,1.10009392259457e-16,6.82058232008631e-16
"CDH13",24,47,71,0.338028169014085,0.00855453850269339,0.0162361649132752
"CDH15",4,11,15,0.266666666666667,0.11846923828125,0.162024105296416
"CDK10",2348,1038,3386,0.693443591258122,5.58066888540247e-115,1.73000735447477e-113
"CDT1",139,255,394,0.352791878172589,5.38533137709525e-09,2.00334327227943e-08
"CENPN",8,29,37,0.216216216216216,0.000752897060010583,0.00175048566452461
"CHMP1A",3852,2694,6546,0.588450962419798,1.2706268772294e-46,1.96947165970558e-45
"CHTF8",169,242,411,0.411192214111922,0.000370919333470235,0.000884499949044406
"CMIP",2044,1517,3561,0.573996068520079,1.04219823618184e-18,8.07703633040923e-18
"COG8",582,483,1065,0.546478873239437,0.00265701733715195,0.00537179592076373
"COTL1",3888,3153,7041,0.552194290583724,2.03657033259345e-18,1.45693108408608e-17
"COX4I1",2041,2151,4192,0.486879770992366,0.092264411170758,0.130008943013341
"CPNE7",954,1152,2106,0.452991452991453,1.74116247753628e-05,5.39760368036246e-05
"CRISPLD2",19,107,126,0.150793650793651,4.52365727757831e-16,2.62937579259239e-15
"CTU2",445,498,943,0.471898197242842,0.0903351254778731,0.129248717991418
"CYB5B",842,766,1608,0.52363184079602,0.0614043905305259,0.090644576497443
"CYBA",221,795,1016,0.21751968503937,1.50897836359196e-76,3.50837469535131e-75
"DBNDD1",71,72,143,0.496503496503497,1,1
"DPEP1",34,0,34,1,1.16415321826935e-10,5.15553568090712e-10
"DUSP15",0,4,4,0,0.125,0.166071428571429
"EMC8",728,983,1711,0.425482174167154,7.6687440605441e-10,3.10083998969827e-09
"FANCA",37,13,50,0.74,0.00093622291085183,0.00207306501688619
"FBXO31",62,71,133,0.466165413533835,0.488022343830867,0.574478507056955
"FOXC2",251,196,447,0.561521252796421,0.0105653417856788,0.0192662114915319
"FOXF1",1,4,5,0.2,0.375,0.458881578947368
"FOXL1",1,0,1,1,1,1
"GALNS",719,648,1367,0.525969275786394,0.0582815975113398,0.0874223962670097
"GAN",335,234,569,0.588752196836555,2.63971815415701e-05,7.67168088551882e-05
"GAS8",298,310,608,0.490131578947368,0.655554060373788,0.723084461668153
"GINS2",87,303,390,0.223076923076923,4.26737891359618e-29,4.40962487738272e-28
"GSE1",449,419,868,0.517281105990783,0.324957680032292,0.402947523240042
"HAS3",35,29,64,0.546875,0.532308776027845,0.603716050860848
"HSBP1",7867,9615,17482,0.450005720169317,6.39091879282823e-40,8.49079211047179e-39
"HSD17B2",11,1,12,0.916666666666667,0.00634765625,0.012298583984375
"IRF8",274,229,503,0.544731610337972,0.04967047120488,0.076989230367564
"JPH3",943,792,1735,0.543515850144092,0.000314289313845538,0.00076918174177987
"KCNG4",1,0,1,1,1,1
"KIAA0513",640,440,1080,0.592592592592593,1.26130293662691e-09,4.88754887942926e-09
"KLHDC4",416,676,1092,0.380952380952381,3.41850381133836e-15,1.87012267326157e-14
"KLHL36",1948,1677,3625,0.537379310344828,7.24265065227379e-06,2.32264314021194e-05
