"gene","alt_allele_count","ref_allele_count","total_count","alt_allele_allelic_ratio","pvalue","padjust"
"ACSF3",721,574,1295,0.556756756756757,4.88261378248541e-05,0.000134273008866744
"ANKRD11",6081,5652,11733,0.518281769368448,7.75969190805886e-05,0.00020540360933097
"APRT",2287,1249,3536,0.646776018099548,4.35900755951888e-69,1.9615534017835e-67
"ARY1",58,106,164,0.353658536585366,0.000220706245025236,0.000533616967936729
"ARY2",128,149,277,0.462093862815884,0.229424464629358,0.317664643332957
"ARYL",6,5,11,0.545454545454545,1,1
"ATMIN",1590,1377,2967,0.535894843276036,9.87725211492683e-05,0.000253986482955261
"ATP2C2",56,45,101,0.554455445544555,0.319727320700266,0.423168512691528
"BANP",62,60,122,0.508196721311475,0.927910799605541,1
"BCO1",38,73,111,0.342342342342342,0.00115101879152768,0.00240910909854631
"CA5A",1754,2419,4173,0.420321111909897,7.00852657373996e-25,6.30767391636596e-24
"CBFA2T3",238,117,355,0.670422535211268,1.27034925905457e-10,7.14571458218197e-10
"CDH13",41,23,64,0.640625,0.0327657590988234,0.0546095984980389
"CDH15",11,10,21,0.523809523809524,1,1
"CDK10",1631,986,2617,0.623232709209018,1.07224725755705e-36,1.60837088633558e-35
"CDT1",115,144,259,0.444015444015444,0.0816883904750416,0.128981669171118
"CENPN",13,39,52,0.25,0.000409541453782582,0.00092146827101081
"CHMP1A",2910,2067,4977,0.584689572031344,5.50381925777602e-33,5.50381925777602e-32
"CHTF8",53,86,139,0.381294964028777,0.00643481053959607,0.0125898467079054
"CMIP",1597,1317,2914,0.548043925875086,2.31288717088498e-07,8.32639381518593e-07
"COG8",472,376,848,0.556603773584906,0.00109302382409435,0.0023421939087736
"COTL1",3041,2828,5869,0.518146191855512,0.00564800404410204,0.0112960080882041
"COX4I1",1704,2052,3756,0.453674121405751,1.46278632480823e-08,6.26908424917814e-08
"CPNE7",9691,7925,17616,0.550124886466848,2.04533751188198e-40,3.68160752138756e-39
"CRISPLD2",9,73,82,0.109756097560976,1.37673709022159e-13,8.85045272285309e-13
"CTU2",467,470,937,0.498399146211313,0.947910176263543,1
"CYB5B",1008,754,1762,0.572077185017026,1.56643059261973e-09,8.29286784328093e-09
"CYBA",69,447,516,0.133720930232558,8.18973771840913e-69,2.45692131552274e-67
"DBNDD1",51,50,101,0.504950495049505,1,1
"DPEP1",24,3,27,0.888888888888889,4.92334365844728e-05,0.000134273008866744
"DUSP15",0,1,1,0,1,1
"EMC8",780,677,1457,0.535346602608099,0.00751428750816514,0.0143890611858481
"FANCA",16,15,31,0.516129032258065,1,1
"FBXO31",85,89,174,0.488505747126437,0.82017085740298,0.911300952669978
"FOXC2",64,55,119,0.53781512605042,0.463488176622764,0.579360220778456
"GALNS",567,449,1016,0.558070866141732,0.000238418472544693,0.000550196475103138
"GAN",252,134,386,0.652849740932642,1.96113512148159e-09,9.80567560740794e-09
"GAS8",167,140,307,0.543973941368078,0.137707541046783,0.210062350749331
"GINS2",37,176,213,0.173708920187793,7.09440230311639e-23,5.80451097527705e-22
