"gene","alt_allele_count","ref_allele_count","total_count","alt_allele_allelic_ratio","pvalue","padjust"
"ACSF3",506,427,933,0.542336548767417,0.0106228199156471,0.023774882668353
"ANKRD11",4552,3724,8276,0.550024166263896,9.187766379527e-20,7.19708366396281e-19
"APRT",1534,895,2429,0.631535611362701,9.29150025936643e-39,1.74680204876089e-37
"ARY1",116,170,286,0.405594405594406,0.00167734160326815,0.00450486030592017
"ARY2",244,430,674,0.362017804154303,7.44354255085336e-13,3.88718333211231e-12
"ARYL",10,1,11,0.909090909090909,0.01171875,0.0256177325581395
"ATMIN",1228,991,2219,0.553402433528617,5.31708853060192e-07,1.78502257813065e-06
"ATP2C2",20,41,61,0.327868852459016,0.00985344819525931,0.0225908324476677
"BANP",96,59,155,0.619354838709677,0.00369303661496801,0.00913540636334192
"BCO1",71,230,301,0.235880398671096,9.86034752713258e-21,8.42611515954966e-20
"CA5A",4772,5605,10377,0.459863158909126,3.03853939036056e-16,2.04016216209923e-15
"CBFA2T3",208,118,326,0.638036809815951,7.06997198903327e-07,2.29164609299699e-06
"CDH13",46,52,98,0.469387755102041,0.613734467630139,0.703549267771135
"CDH15",12,20,32,0.375,0.215327149722725,0.297658118734355
"CDK10",1430,626,2056,0.695525291828794,5.05189624925007e-72,2.37439123714753e-70
"CDT1",187,182,369,0.506775067750677,0.835083339050065,0.91276551012449
"CENPN",30,18,48,0.625,0.111402891061019,0.168901157415093
"CHMP1A",2953,2081,5034,0.586611044894716,8.31696704551408e-35,1.30299150379721e-33
"CHTF8",116,147,263,0.44106463878327,0.0641259267055482,0.107639948398599
"CIDEC",9,0,9,1,0.00390625,0.00941506410256411
"CMIP",1494,1483,2977,0.501847497480685,0.854583706136144,0.914662627626926
"COG8",614,441,1055,0.581990521327014,1.11527863712198e-07,4.03216122651794e-07
"COTL1",2695,2521,5216,0.516679447852761,0.0165942129468862,0.0339099134132023
"COX4I1",1880,2013,3893,0.482918058052915,0.0343661992157926,0.0609513721940473
"CPNE7",188,244,432,0.435185185185185,0.00806658791804479,0.0189564816074053
"CRISPLD2",28,181,209,0.133971291866029,1.30408878640105e-28,1.53230432402123e-27
"CTU2",378,384,762,0.496062992125984,0.856279906714569,0.914662627626926
"CYB5B",750,664,1414,0.53041018387553,0.0237595944899352,0.0475191889798705
"CYBA",189,447,636,0.297169811320755,4.80015651851447e-25,5.01349680822623e-24
"DBNDD1",98,72,170,0.576470588235294,0.0548651823854742,0.0937695844406287
"DPEP1",30,1,31,0.967741935483871,2.98023223876954e-08,1.1672576268514e-07
"DUSP15",0,7,7,0,0.015625,0.0326388888888889
"EMC8",521,507,1028,0.506809338521401,0.685160471479729,0.757706874342289
"FANCA",17,11,28,0.607142857142857,0.344928450882435,0.432310325105986
"FBXO31",104,126,230,0.452173913043478,0.166004151965553,0.232901347533761
"FOXC2",108,78,186,0.580645161290323,0.0331911777200044,0.0603843214150279
"FOXF1",0,4,4,0,0.125,0.186507936507937
"FOXL1",1,0,1,1,1,1
"GALNS",760,754,1514,0.501981505944518,0.897757885777474,0.948193722057107
"GAN",169,109,278,0.607913669064748,0.000383758055328718,0.00106097815296763
"GAS8",237,264,501,0.473053892215569,0.245373029460187,0.334118760017393
"GINS2",58,211,269,0.215613382899628,1.36043293491213e-21,1.2788069588174e-20
"GSE1",374,316,690,0.542028985507246,0.0299366968056068,0.0562809899945407
"HAS3",16,17,33,0.484848484848485,1,1
"HSBP1",4293,5672,9965,0.430807827395886,1.77103590618691e-43,4.16193437953923e-42
"HSD17B2",22,0,22,1,4.76837158203125e-07,1.66009973596644e-06
"IRF8",259,278,537,0.482309124767225,0.437330358046971,0.520367767802725
"JPH3",582,405,987,0.589665653495441,1.94660478024836e-08,7.9556891018846e-08
"KCNG4",32,37,69,0.463768115942029,0.630456491786801,0.708574632086066
"KIAA0513",758,690,1448,0.523480662983425,0.0782496068465785,0.122591050726306
"KLHDC4",242,432,674,0.359050445103858,2.33275016732124e-13,1.28987362193057e-12
"KLHL36",1074,983,2057,0.522119591638308,0.0471869119805337,0.0821401801142623
