"gene","alt_allele_count","ref_allele_count","total_count","alt_allele_allelic_ratio","pvalue","padjust"
"ACSF3",758,852,1610,0.470807453416149,0.0204333846186727,0.0340556410311212
"ANKRD11",2233,2115,4348,0.513569457221711,0.0759919789861555,0.111065200056689
"APRT",2466,1495,3961,0.622570058066145,4.00475333978159e-54,4.75564459099064e-53
"ARY1",12,30,42,0.285714285714286,0.00791589733489674,0.0147452989571606
"ARY2",888,518,1406,0.631578947368421,4.23783121381753e-23,2.36819979595685e-22
"ARYL",1,0,1,1,1,1
"ATMIN",854,1099,1953,0.437275985663082,3.23437074519914e-08,1.05953524411696e-07
"ATP2C2",41,51,92,0.445652173913043,0.348141290319207,0.42401823820929
"BANP",159,105,264,0.602272727272727,0.00106790943238431,0.0023057135471934
"BCO1",314,682,996,0.315261044176707,5.82256221619136e-32,4.25494931183215e-31
"CA5A",3580,5589,9169,0.39044606827353,2.04471028248648e-98,4.8561869209054e-97
"CBFA2T3",177,78,255,0.694117647058824,5.13993778568819e-10,1.87805419092453e-09
"CDH13",194,246,440,0.440909090909091,0.0149494469793573,0.0253606689828382
"CDH15",23,4,27,0.851851851851852,0.000310748815536499,0.000720027743316279
"CDK10",1228,640,1868,0.657387580299786,1.05997447058794e-42,9.15432497325951e-42
"CDT1",234,311,545,0.429357798165138,0.00111296930672213,0.00234960186974672
"CENPN",59,41,100,0.59,0.0886260801140677,0.125663844937857
"CHMP1A",3419,2562,5981,0.571643537869921,1.44537931533444e-28,8.58193968479821e-28
"CHTF8",141,277,418,0.337320574162679,2.71278009733518e-11,1.07380878852851e-10
"CIDEC",7,19,26,0.269230769230769,0.0289592742919922,0.0458521842956543
"CMIP",1266,270,1536,0.82421875,3.95897817860037e-154,1.88051463483518e-152
"COG8",766,527,1293,0.592420726991493,3.19558603622113e-11,1.21432269376403e-10
"COTL1",1357,2098,3455,0.392764109985528,1.30148159216598e-36,1.03033959379807e-35
"COX4I1",1590,1571,3161,0.503005378044923,0.748856596708469,0.836957372791819
"CPNE7",5,11,16,0.3125,0.210113525390625,0.277233123779297
"CRISPLD2",663,1846,2509,0.264248704663212,4.85639688109472e-128,1.53785901234666e-126
"CTU2",632,694,1326,0.476621417797888,0.0938641944141945,0.13113380101983
"CYB5B",1790,1615,3405,0.525697503671072,0.00285941941482071,0.00565926759183266
"CYBA",1745,1842,3587,0.486478951770282,0.108944550227172,0.14999611987799
"DBNDD1",33,30,63,0.523809523809524,0.801306492504069,0.874989848136627
"DPEP1",325,48,373,0.871313672922252,1.15044454046316e-51,1.09292231344e-50
"DUSP15",10,5,15,0.666666666666667,0.3017578125,0.379105226079421
"EMC8",483,473,956,0.505230125523013,0.771007312339824,0.851694124096317
"FANCA",40,45,85,0.470588235294118,0.664645490413215,0.760738814328378
"FBXO31",194,154,348,0.557471264367816,0.0364105021963928,0.0558079620558884
"FOXC2",202,215,417,0.484412470023981,0.556824151778536,0.645101151450742
"FOXF1",22,4,26,0.846153846153846,0.000533521175384521,0.00120677408717927
"FOXL1",0,3,3,0,0.25,0.325342465753425
"GALNS",846,976,1822,0.464324917672887,0.00250056706575484,0.00505433768610021
"GAN",74,48,122,0.60655737704918,0.0232163602213538,0.0380267969142863
"GAS8",178,140,318,0.559748427672956,0.0378328367124208,0.05704951567746
"GINS2",59,249,308,0.191558441558442,6.31805343748692e-29,4.00143384374172e-28
"GSE1",351,253,604,0.58112582781457,7.65707889160564e-05,0.000191426972290141
