"gene","alt_allele_count","ref_allele_count","total_count","alt_allele_allelic_ratio","pvalue","padjust"
"ACSF3",1095,829,1924,0.569126819126819,1.44098421615205e-09,3.38631290795731e-09
"ANKRD11",175,216,391,0.447570332480818,0.0429471033925818,0.0620378948612295
"APRT",1414,2071,3485,0.405738880918221,7.55497239365671e-29,3.38174954763682e-28
"ARY1",41,57,98,0.418367346938776,0.129292583953573,0.166486340981314
"ARY2",36,795,831,0.0433212996389892,2.32400395611097e-187,4.36912743748862e-186
"ARYL",7,19,26,0.269230769230769,0.0289592742919922,0.0432090759277344
"ATMIN",1958,3070,5028,0.389419252187749,9.02300629122458e-56,5.65441727583407e-55
"ATP2C2",31,4,35,0.885714285714286,3.4654513001442e-06,6.51504844427109e-06
"BANP",45,55,100,0.45,0.368201617326697,0.427295704058142
"BCO1",839,1396,2235,0.375391498881432,2.99110063831662e-32,1.56201922223201e-31
"CA5A",1202,821,2023,0.594167078596144,2.38275203703214e-17,7.72340315451799e-17
"CBFA2T3",0,2,2,0,0.5,0.566265060240964
"CDH13",23,32,55,0.418181818181818,0.280609717698355,0.333890043843612
"CDH15",13,17,30,0.433333333333333,0.584664711728693,0.624528214801104
"CDK10",5146,2448,7594,0.67764024229655,6.45968323284285e-215,2.02403407962409e-213
"CDT1",874,1276,2150,0.406511627906977,4.20000933715631e-18,1.41000313461676e-17
"CENPN",8772,753,9525,0.920944881889764,4.94065645841247e-324,2.32210853545386e-322
"CHMP1A",9227,10032,19259,0.479100680201464,6.86098146289991e-09,1.5355529940776e-08
"CHTF8",3740,5375,9115,0.410312671420735,5.19325837201775e-66,3.48690204978335e-65
"CIDEC",73,151,224,0.325892857142857,2.03905443419798e-07,4.07810886839596e-07
"CMIP",386,469,855,0.451461988304094,0.00501259721864142,0.00812386445779817
"COG8",474,303,777,0.61003861003861,9.19396120886094e-10,2.21598039393059e-09
"COTL1",502,253,755,0.664900662251656,8.30705090751944e-20,3.12345114122731e-19
"COX4I1",1829,1869,3698,0.494591671173607,0.521314217870602,0.576512193880431
"CPNE7",34,133,167,0.203592814371257,4.88584499791517e-15,1.48151428969041e-14
"CRISPLD2",22,77,99,0.222222222222222,2.49283387092705e-08,5.44945078760796e-08
"CTU2",880,499,1379,0.638143582306019,7.12560759336391e-25,3.04457778989185e-24
"CYB5B",3668,1869,5537,0.662452591656131,2.55757941912172e-131,4.0068744232907e-130
"CYBA",1074,2378,3452,0.311123986095017,1.15385505201125e-111,1.05893559789783e-110
"DBNDD1",242,172,414,0.584541062801932,0.00067780078875381,0.00115842316623378
"DPEP1",754,189,943,0.799575821845175,1.74122794259649e-80,1.25904174310823e-79
"DUSP15",0,3,3,0,0.25,0.30921052631579
"EMC8",779,451,1230,0.633333333333333,6.62456264426859e-21,2.5946203690052e-20
"FANCA",177,260,437,0.405034324942792,8.3720427686763e-05,0.000145735559306587
"FBXO31",3177,2552,5729,0.554547041368476,1.55502935218639e-16,4.87242530351736e-16
