"gene","alt_allele_count","ref_allele_count","total_count","alt_allele_allelic_ratio","pvalue","padjust"
"ACSF3",795,691,1486,0.534993270524899,0.00752057633219849,0.0137715732209825
"ANKRD11",4947,4966,9913,0.499041662463432,0.856535021741688,0.875359967274472
"APRT",2724,1614,4338,0.627939142461964,2.63783835459164e-64,8.17729889923409e-63
"ARY1",59,142,201,0.293532338308458,4.4435915448929e-09,1.96787625559543e-08
"ARY2",502,828,1330,0.377443609022556,3.35467648753818e-19,2.07989942227367e-18
"ARYL",7,2,9,0.777777777777778,0.1796875,0.228916952054795
"ATMIN",1742,1354,3096,0.56266149870801,3.30431693251791e-12,1.53650737362083e-11
"ATP2C2",40,36,76,0.526315789473684,0.731008882222607,0.763863214007893
"BANP",103,52,155,0.664516129032258,5.12048349437296e-05,0.00014430453484142
"BCO1",74,202,276,0.268115942028986,6.78352934809575e-15,3.50482349651614e-14
"CA5A",3113,4175,7288,0.427140504939627,1.39388373433308e-35,1.6203898411622e-34
"CBFA2T3",137,87,224,0.611607142857143,0.00101622819558146,0.00214793686793355
"CDH13",78,29,107,0.728971962616822,2.3518927469992e-06,7.81164376681876e-06
"CDH15",16,7,23,0.695652173913043,0.0931396484375001,0.127382166245405
"CDK10",2035,1035,3070,0.662866449511401,5.65289559318775e-74,2.6285964508323e-72
"CDT1",233,275,508,0.458661417322835,0.0687939018397527,0.0999661386108906
"CENPN",15,28,43,0.348837209302326,0.0659940344557982,0.0974197651490354
"CHMP1A",3664,2952,6616,0.553808948004837,2.14198798395358e-18,1.24503051567302e-17
"CHTF8",223,239,462,0.482683982683983,0.485303412256982,0.560240963855422
"CMIP",1908,1356,3264,0.584558823529412,4.15098871923834e-22,2.75744250635119e-21
"COG8",536,513,1049,0.510962821734986,0.496992689867144,0.560240963855422
"COTL1",3435,2763,6198,0.554211035818006,1.44677138516606e-17,7.91469051884964e-17
"COX4I1",2150,2314,4464,0.48163082437276,0.0146927796380411,0.0239724299357512
"CPNE7",714,1217,1931,0.369756602796478,1.49309045222363e-30,1.15714510047331e-29
"CRISPLD2",18,62,80,0.225,8.14266662499523e-07,2.91256921586368e-06
"CTU2",509,566,1075,0.473488372093023,0.0875922002345112,0.12158320331059
"CYB5B",916,933,1849,0.495402920497566,0.709834357375253,0.750165854953392
"CYBA",218,684,902,0.241685144124169,1.15815807770417e-56,2.15417402452975e-55
"DBNDD1",109,92,201,0.54228855721393,0.259033547217241,0.31697526172636
"DPEP1",20,3,23,0.869565217391304,0.00048828125,0.00113525390625
"DUSP15",0,4,4,0,0.125,0.168478260869565
"EMC8",655,565,1220,0.536885245901639,0.0108026009673612,0.0182662161811744
"FANCA",33,11,44,0.75,0.00126003381626561,0.00260406988694892
"FBXO31",77,109,186,0.413978494623656,0.0227676033538806,0.035289785198515
"FOXC2",19,10,29,0.655172413793103,0.136045947670937,0.179580125849453
"FOXF1",0,2,2,0,0.5,0.560240963855422
"GALNS",744,749,1493,0.498325519089082,0.917553716204438,0.927527126163182
"GAN",218,149,367,0.594005449591281,0.000372216393042002,0.000910950646129109
"GAS8",358,467,825,0.433939393939394,0.000166483509429688,0.000430082399360028
"GINS2",57,271,328,0.173780487804878,1.6425929304869e-34,1.6973460281698e-33
"GSE1",282,223,505,0.558415841584158,0.00978351460975263,0.0168493862723518
"HAS3",17,11,28,0.607142857142857,0.344928450882435,0.416601895221643
"HSBP1",6780,8588,15368,0.441176470588235,3.1042470707104e-48,4.12421396537238e-47
"HSD17B2",76,0,76,1,2.64697796016969e-23,1.89360730996754e-22
"IRF8",342,419,761,0.449408672798949,0.00583356158904185,0.0113025255787686
"JPH3",651,532,1183,0.550295857988166,0.000596135487527082,0.0013522097643907
"KCNG4",24,8,32,0.75,0.00700036669149997,0.0132864102512142
"KIAA0513",573,404,977,0.586489252814739,7.13570791680429e-08,2.76508681776166e-07
"KLHDC4",341,441,782,0.436061381074169,0.00039319574718411,0.00093762062790057
"KLHL36",1362,1237,2599,0.524047710657945,0.0149870612989938,0.0240309776001108
"LOC106888094",214,110,324,0.660493827160494,7.89242055448719e-09,3.19128309377091e-08
"LOC106888097",364,318,682,0.533724340175953,0.0847883897024991,0.119474549126249
"LOC106888173",3216,662,3878,0.829293450232078,0,0
"LOC106888185",87,48,135,0.644444444444444,0.000999484375215231,0.00214793686793355
"LOC106888312",6,25,31,0.193548387096774,0.000877910293638708,0.00194394422162857
"LOC106888384",61,127,188,0.324468085106383,1.68609654700306e-06,5.80766588412164e-06
"MC1R",0,3,3,0,0.25,0.31
"MLYCD",573,533,1106,0.518083182640145,0.240902737549225,0.302756143136188
