"gene","alt_allele_count","ref_allele_count","total_count","alt_allele_allelic_ratio","pvalue","padjust"
"ACSF3",700,636,1336,0.523952095808383,0.0847411953139331,0.118637673439506
"ANKRD11",5471,5224,10695,0.511547452080411,0.0173684392048684,0.0282237137079112
"APRT",2932,1755,4687,0.625560059739706,7.9965148014658e-67,2.42560948977796e-65
"ARY1",74,126,200,0.37,0.000289275263787055,0.000642049975722488
"ARY2",205,636,841,0.243757431629013,4.50312716369865e-52,8.19569143793155e-51
"ARYL",10,8,18,0.555555555555556,0.814529418945313,0.861885780511901
"ATMIN",1410,1207,2617,0.53878486816966,7.79892089640712e-05,0.000197139389325847
"ATP2C2",48,31,79,0.607594936708861,0.0711634086952911,0.102791590337643
"BANP",112,86,198,0.565656565656566,0.075356147360544,0.107147022028273
"BCO1",130,207,337,0.385756676557863,3.2271126947368e-05,8.63727221238379e-05
"CA5A",3238,4337,7575,0.427458745874587,1.30646099402942e-36,1.48609938070846e-35
"CBFA2T3",268,101,369,0.726287262872629,1.40373983641833e-18,7.98377031962928e-18
"CDH13",43,34,77,0.558441558441558,0.362031797739663,0.422370430696273
"CDH15",27,19,46,0.58695652173913,0.301995613189661,0.366421344003455
"CDK10",2285,900,3185,0.717425431711146,2.9087105628823e-137,1.32346330611145e-135
"CDT1",190,218,408,0.465686274509804,0.181250868760636,0.235626129388827
"CENPN",31,60,91,0.340659340659341,0.00311268984839375,0.00602669736603897
"CHMP1A",3450,2663,6113,0.564371012596107,7.74671839803557e-24,5.03536695872312e-23
"CHTF8",180,168,348,0.517241379310345,0.555479509586311,0.610371721167056
"CMIP",2009,1556,3565,0.563534361851332,3.44902443655515e-14,1.74367346514733e-13
"COG8",503,382,885,0.568361581920904,5.3543552510755e-05,0.000139213236527963
"COTL1",3325,2703,6028,0.551592568015926,1.1905541656886e-15,6.37296641633308e-15
"COX4I1",2237,2476,4713,0.474644600042436,0.000525379156843966,0.00111184891332095
"CPNE7",91,189,280,0.325,4.74986717563565e-09,1.96471778628565e-08
"CRISPLD2",15,109,124,0.120967741935484,8.67025754698125e-19,5.25995624516863e-18
"CTU2",516,417,933,0.553054662379421,0.00132251039778871,0.00261627056953854
"CYB5B",1002,789,1791,0.559463986599665,5.30136645640412e-07,1.85547825974144e-06
"CYBA",159,602,761,0.208935611038108,1.97268853826353e-61,4.48786642454952e-60
"DBNDD1",123,101,224,0.549107142857143,0.160430239119683,0.21158190956364
"DPEP1",44,3,47,0.936170212765957,2.46473064180464e-10,1.12145244202111e-09
"EMC8",570,474,1044,0.545977011494253,0.00326125662321121,0.00618279901483793
"FANCA",46,29,75,0.613333333333333,0.0639499164670669,0.0938619741694047
"FBXO31",51,73,124,0.411290322580645,0.0588758732807351,0.0878312207958507
"FOXC2",30,19,49,0.612244897959184,0.152407771961478,0.205900807629673
"FOXL1",1,0,1,1,1,1
"GALNS",877,813,1690,0.518934911242604,0.12537683109621,0.172868054996289
"GAN",240,165,405,0.592592592592593,0.00022719986669164,0.00051687969672348
"GAS8",379,362,741,0.511470985155196,0.556712668756765,0.610371721167056
"GINS2",105,337,442,0.237556561085973,1.97509445538563e-29,1.49777996200077e-28
"GSE1",287,239,526,0.545627376425855,0.0403313985065142,0.0611692877348798
"HAS3",25,27,52,0.480769230769231,0.889883965276538,0.909881357754663
"HSBP1",4658,6016,10674,0.436387483605022,1.65135341542355e-39,2.14675944005062e-38
"HSD17B2",12,0,12,1,0.00048828125,0.00105794270833333
"IRF8",364,372,736,0.494565217391304,0.796409919761353,0.852627090568036
"JPH3",655,563,1218,0.537766830870279,0.00909407950058144,0.0156143629160927
"KCNG4",22,14,36,0.611111111111111,0.24298495403491,0.29880582185374
